"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"90","P","Matthew McMurry","1","2:01.779","2:01.779","Green","Track","0.000","27.055","22.242","7.285","5.947","5.645","10.263","6.588","5.776","4.789","0.436","2.766","187.656"
"32","P","Hugo de Sadeleer","1","2:13.750","2:13.750","Green","Track","613.624","28.169","23.327","7.416","6.004","5.880","10.624","6.569","5.826","4.821","0.434","2.779","188.521"
"59","GTD","Matteo Cairoli","1","2:14.209","2:14.209","Green","Track","0.000","29.882","22.119","8.163","6.811","7.197","11.383","7.218","6.298","5.187","0.468","2.992","174.825"
"911","GTLM","Patrick Pilet","1","2:16.939","2:16.939","Green","Track","613.186","27.164","21.641","7.857","6.484","6.065","10.450","7.114","6.262","5.149","0.463","2.959","176.713"
"78","P","Alex Brundle","1","2:17.835","2:17.835","Green","Track","578.235","27.810","23.137","7.445","6.020","5.582","9.877","6.549","5.764","4.788","0.431","2.765","189.833"
"22","P","Johannes van Overbeek","1","2:19.788","2:19.788","Green","Track","629.147","30.263","24.188","7.501","5.949","5.920","10.984","6.548","5.701","4.717","0.426","2.740","192.061"
"912","GTLM","Gianmaria Bruni","1","2:22.228","2:22.228","Green","Track","531.151","27.132","22.525","8.008","6.517","6.103","10.703","7.118","6.234","5.141","0.463","2.957","176.713"
"29","GTD","Christopher Mies","1","2:24.210","2:24.210","Green","Track","531.012","27.622","22.049","8.037","6.541","6.181","11.082","7.275","6.355","5.214","0.468","2.992","174.825"
"2","P","Scott Sharp","1","2:25.139","2:25.139","Green","Pit","0.000","28.468","22.725","7.192","5.890","5.946","10.560","6.513","5.740","8.738","0.000","0.000","0.000"
"5","P","Filipe Albuquerque","1","2:28.904","2:28.904","Green","Track","473.417","29.209","22.276","7.234","5.930","6.724","10.666","6.475","5.751","4.785","0.432","2.759","189.394"
"10","P","Jordan Taylor","1","2:36.778","2:36.778","Green","Track","459.591","29.818","24.131","8.067","6.515","6.291","10.845","7.103","6.232","5.081","0.456","2.934","179.426"
"44","GTD","John Potter","1","2:36.832","2:36.832","Green","Track","464.800","30.161","23.985","8.213","6.657","6.139","11.451","7.382","6.415","5.255","0.473","3.004","172.977"
"31","P","Felipe Nasr","1","2:41.660","2:41.660","Green","Track","382.127","29.815","22.243","7.367","5.953","5.782","10.079","6.533","5.738","4.765","0.431","2.750","189.833"
"99","P","Stephen Simpson","1","2:51.301","2:51.301","Green","Pit","528.843","31.671","26.436","8.144","6.592","6.485","11.616","6.836","5.944","0.000","0.000","0.000","0.000"
"11","GTD","Mirko Bortolotti","1","3:00.104","3:00.104","Green","Pit","348.790","34.112","25.939","8.363","6.622","7.539","12.207","7.363","6.369","5.268","0.518","0.000","157.950"
"52","P","Gustavo Yacaman","1","3:00.306","3:00.306","Green","Pit","120.464","31.970","26.013","7.906","6.211","5.820","10.761","6.792","5.809","4.809","0.433","0.000","188.957"
"37","P","Lance Stroll","1","3:02.388","3:02.388","Green","Pit","622.261","29.476","22.924","7.261","6.313","5.782","10.954","6.621","5.846","0.000","0.000","0.000","0.000"
"38","P","James French","1","3:02.780","3:02.780","Green","Pit","184.467","33.323","26.440","8.840","7.079","6.828","11.127","6.908","5.878","0.000","0.000","0.000","0.000"
"48","GTD","Bryce Miller","1","3:05.592","3:05.592","Green","Pit","371.382","31.745","23.217","8.116","6.591","6.236","12.124","7.326","6.343","0.000","0.000","0.000","0.000"
