"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"71","GTD","JC Perez","1","2:23.602","2:23.602","Green","Track","0.000","30.554","23.063","8.150","6.559","6.162","11.588","7.395","6.417","5.323","0.479","3.054","170.810"
"69","GTD","Ryan Eversley","1","2:31.812","2:31.812","Green","Pit","0.000","29.558","21.674","8.062","6.704","6.552","10.958","7.359","6.473","9.001","0.000","0.000","0.000"
"33","GTD","Jeroen Bleekemolen","1","2:32.862","2:32.862","Green","Track","31.688","31.345","23.806","8.015","6.504","6.341","11.339","7.354","6.381","5.299","0.477","3.039","171.527"
"75","GTD","Thomas Jaeger","1","2:33.751","2:33.751","Green","Track","30.761","30.735","23.671","8.112","6.513","6.123","11.477","7.396","6.399","5.277","0.475","3.028","172.249"
"63","GTD","Alessandro Balzan","1","2:35.579","2:35.579","Green","Track","30.423","30.702","25.123","8.098","6.551","6.183","11.310","7.394","6.386","5.291","0.481","3.050","170.100"
"93","GTD","Lawson Aschenbach","1","2:45.041","2:45.041","Green","Track","29.307","33.264","29.226","8.409","6.685","7.222","11.720","7.329","6.403","5.303","0.482","3.060","169.747"
"82","GTD","Miguel Molina","1","2:53.442","2:53.442","Green","Track","0.000","37.909","23.958","8.065","6.478","7.321","12.135","7.323","6.344","5.272","0.476","3.031","171.887"
"96","GTD","Jens Klingmann","1","2:58.733","2:58.733","Green","Track","34.848","39.752","24.702","8.163","6.554","6.178","12.895","7.423","6.421","5.366","0.488","3.101","167.660"
"29","GTD","Kelvin van der Linde","1","3:01.049","3:01.049","Green","Track","0.000","28.199","21.983","8.003","6.506","6.041","10.419","7.233","6.332","5.229","0.469","2.985","174.452"
"44","GTD","Andy Lally","1","3:08.640","3:08.640","Green","Track","0.000","28.929","23.008","8.002","6.500","5.983","11.516","7.375","6.391","5.215","0.469","2.989","174.452"
"64","GTD","Townsend Bell","1","3:18.456","3:18.456","Green","Track","28.283","33.060","24.628","11.841","10.048","11.475","15.783","7.705","6.526","5.369","0.484","3.080","169.046"
"73","GTD","Patrick Lindsey","1","3:38.160","3:38.160","Green","Track","27.998","28.779","22.768","7.902","6.481","6.112","11.212","7.297","6.380","5.288","0.476","3.042","171.887"
"19","GTD","Christian Engelhart","1","3:42.623","3:42.623","Green","Track","0.000","30.461","23.041","7.922","6.449","6.023","11.199","7.561","6.429","5.227","0.468","2.982","174.825"
"11","GTD","Mirko Bortolotti","1","3:44.570","3:44.570","Green","Track","0.000","28.944","22.672","7.915","6.400","5.960","11.044","7.195","6.270","5.153","0.463","2.951","176.713"
"86","GTD","Alvaro Parente","1","3:55.319","3:55.319","Green","Track","31.736","30.881","24.359","8.095","6.582","6.186","11.043","7.311","6.413","5.346","0.485","3.057","168.697"
"15","GTD","Jack Hawksworth","1","4:13.458","4:13.458","Green","Track","0.000","29.442","22.411","8.079","6.631","6.137","10.405","7.270","6.454","5.326","0.480","3.047","170.455"
"71","GTD","JC Perez","2","1:52.756","4:16.358","Green","Track","12.307","25.151","21.680","7.879","6.481","6.050","10.809","7.277","6.368","5.266","0.474","3.014","172.612"
"33","GTD","Jeroen Bleekemolen","2","1:51.537","4:24.399","Green","Track","12.002","24.948","21.463","7.786","6.428","5.999","10.592","7.230","6.342","5.259","0.474","3.014","172.612"
"75","GTD","Thomas Jaeger","2","1:51.682","4:25.433","Green","Track","11.993","25.278","21.380","7.821","6.433","5.990","10.488","7.237","6.345","5.240","0.472","3.005","173.344"
"63","GTD","Alessandro Balzan","2","1:54.168","4:29.747","Green","Track","12.398","26.002","21.686","7.874","6.483","6.094","11.255","7.224","6.334","5.287","0.477","3.054","171.527"
"93","GTD","Lawson Aschenbach","2","1:51.455","4:36.496","Green","Track","12.139","24.801","21.416","7.830","6.435","6.104","10.478","7.194","6.305","5.249","0.474","3.030","172.612"
"69","GTD","Ryan Eversley","2","2:05.991","4:37.803","Green","Track","27.970","24.971","20.947","7.761","6.382","5.954","9.934","7.172","6.259","5.181","0.464","2.996","176.332"
"51","GTD","Pedro Lamy","1","4:41.839","4:41.839","Green","Track","0.000","31.083","24.437","8.604","7.251","6.686","11.603","7.284","6.338","5.234","0.472","3.005","173.344"
"82","GTD","Miguel Molina","2","1:51.866","4:45.308","Green","Track","12.366","25.438","21.322","7.861","6.395","5.970","10.335","7.185","6.291","5.231","0.471","3.001","173.712"
"96","GTD","Jens Klingmann","2","1:50.909","4:49.642","Green","Track","11.990","24.716","21.394","7.869","6.454","6.052","10.074","7.221","6.335","5.297","0.476","3.031","171.887"
"29","GTD","Kelvin van der Linde","2","1:50.338","4:51.387","Green","Track","12.016","24.586","20.800","7.825","6.413","5.939","10.150","7.237","6.457","5.263","0.484","3.168","169.046"
"14","GTD","Dominik Baumann","1","4:58.153","4:58.153","Green","Track","0.000","30.473","22.833","7.995","6.508","6.101","10.629","7.254","6.371","5.272","0.473","3.012","172.977"
"44","GTD","Andy Lally","2","1:51.143","4:59.783","Green","Track","11.647","24.733","21.076","7.859","6.418","5.920","11.139","7.358","6.356","5.194","0.467","2.976","175.200"
"64","GTD","Townsend Bell","2","1:51.781","5:10.237","Green","Track","12.315","25.328","20.982","7.867","6.492","6.059","10.212","7.269","6.401","5.322","0.481","3.053","170.100"
"73","GTD","Patrick Lindsey","2","1:51.446","5:29.606","Green","Track","12.174","24.927","21.210","7.801","6.425","6.025","10.410","7.275","6.421","5.266","0.475","3.037","172.249"
"19","GTD","Christian Engelhart","2","1:50.530","5:33.153","Green","Track","11.810","25.096","21.235","7.715","6.341","5.896","10.498","7.116","6.247","5.156","0.463","2.957","176.713"
"11","GTD","Mirko Bortolotti","2","1:50.250","5:34.820","Green","Track","12.059","24.958","21.081","7.742","6.317","5.862","10.326","7.127","6.238","5.135","0.461","2.944","177.480"
"58","GTD","Patrick Long","1","5:45.006","5:45.006","Green","Track","0.000","29.892","23.157","8.030","6.526","6.273","11.805","7.350","6.412","5.286","0.475","3.033","172.249"
"86","GTD","Alvaro Parente","2","1:57.566","5:52.885","Green","Track","11.963","26.854","23.855","7.907","6.481","7.567","10.536","7.207","6.355","5.311","0.483","3.047","169.396"
"15","GTD","Jack Hawksworth","2","1:48.500","6:01.958","Green","Track","11.510","24.303","20.666","7.766","6.442","6.024","9.608","7.122","6.319","5.253","0.473","3.014","172.977"
"71","GTD","JC Perez","3","1:50.946","6:07.304","Green","Track","12.084","24.373","21.294","7.796","6.442","6.014","10.549","7.246","6.375","5.278","0.475","3.020","172.249"
"33","GTD","Jeroen Bleekemolen","3","1:49.319","6:13.718","Green","Track","11.598","24.413","20.754","7.763","6.387","5.962","10.187","7.201","6.323","5.244","0.472","3.015","173.344"
"75","GTD","Thomas Jaeger","3","1:49.262","6:14.695","Green","Track","11.618","24.371","20.730","7.800","6.402","5.959","10.176","7.205","6.309","5.219","0.469","3.004","174.452"
"63","GTD","Alessandro Balzan","3","1:48.747","6:18.494","Green","Track","11.601","24.171","20.633","7.822","6.396","5.996","9.840","7.198","6.310","5.267","0.474","3.039","172.612"
"93","GTD","Lawson Aschenbach","3","1:49.339","6:25.835","Green","Track","11.744","24.382","20.680","7.775","6.389","6.005","10.177","7.136","6.303","5.243","0.473","3.032","172.977"
"69","GTD","Ryan Eversley","3","1:48.302","6:26.105","Green","Track","11.482","24.174","20.553","7.721","6.330","5.891","10.167","7.137","6.245","5.165","0.464","2.973","176.332"
"82","GTD","Miguel Molina","3","1:49.308","6:34.616","Green","Track","11.735","24.616","20.791","7.772","6.326","5.908","10.092","7.146","6.271","5.197","0.468","2.986","174.825"
"51","GTD","Pedro Lamy","2","1:53.851","6:35.690","Green","Track","12.155","25.212","21.265","7.837","6.388","6.031","10.321","7.556","7.306","5.952","0.529","3.299","154.666"
"96","GTD","Jens Klingmann","3","1:49.427","6:39.069","Green","Track","11.789","24.279","20.882","7.819","6.404","6.034","9.905","7.200","6.324","5.292","0.475","3.024","172.249"
"29","GTD","Kelvin van der Linde","3","1:50.418","6:41.805","Green","Track","12.231","24.525","20.780","7.907","6.417","5.969","10.216","7.329","6.425","5.181","0.464","2.974","176.332"
"44","GTD","Andy Lally","3","1:48.173","6:47.956","Green","Track","11.405","24.240","20.637","7.787","6.363","5.877","9.925","7.130","6.258","5.150","0.463","2.938","176.713"
"14","GTD","Dominik Baumann","2","1:53.122","6:51.275","Green","Track","11.826","24.546","22.355","7.856","6.711","7.214","10.492","7.150","6.295","5.217","0.469","2.991","174.452"
"64","GTD","Townsend Bell","3","1:49.351","6:59.588","Green","Track","11.654","24.411","20.667","7.831","6.467","6.050","9.924","7.193","6.351","5.288","0.476","3.039","171.887"
"73","GTD","Patrick Lindsey","3","1:49.387","7:18.993","Green","Track","11.727","24.456","20.695","7.742","6.413","6.001","10.026","7.196","6.386","5.246","0.473","3.026","172.977"
"19","GTD","Christian Engelhart","3","1:48.764","7:21.917","Green","Track","11.441","24.601","20.890","7.732","6.322","5.861","10.064","7.075","6.227","5.144","0.462","2.945","177.096"
