NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:23.940;0;;55.015;0;56.586;0;32.339;0;172.1;2:23.940;16:42:23.940;0:55.015;0:56.586;0:32.339;278.6;Neel JANI;0:00:19.011;LMP1;;Rebellion Racing;Rebellion;
1;0;2;2:03.471;0;;34.762;0;56.704;0;32.005;0;204.2;4:27.411;16:44:27.411;0:34.762;0:56.704;0:32.005;307.8;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;3;1:59.580;2;;34.284;0;54.576;1;30.720;1;210.9;6:26.991;16:46:26.991;0:34.284;0:54.576;0:30.720;312.3;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;4;2:01.215;0;;34.074;0;56.025;0;31.116;0;208.0;8:28.206;16:48:28.206;0:34.074;0:56.025;0:31.116;315.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;5;2:03.016;0;;33.864;2;56.620;0;32.532;0;205.0;10:31.222;16:50:31.222;0:33.864;0:56.620;0:32.532;314.1;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;6;2:01.441;0;;33.938;0;56.608;0;30.895;0;207.6;12:32.663;16:52:32.663;0:33.938;0:56.608;0:30.895;314.1;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;7;2:11.979;0;B;34.678;0;57.275;0;40.026;0;191.0;14:44.642;16:54:44.642;0:34.678;0:57.275;0:40.026;313.2;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;8;10:00.793;0;;8:31.499;0;57.696;0;31.598;0;42.0;24:45.435;17:04:45.435;8:31.499;0:57.696;0:31.598;284.4;André LOTTERER;0:08:04.741;LMP1;;Rebellion Racing;Rebellion;
1;1;9;2:01.292;0;;34.565;0;55.560;0;31.167;0;207.9;26:46.727;17:06:46.727;0:34.565;0:55.560;0:31.167;311.4;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;1;10;2:00.987;0;;34.538;0;54.915;0;31.534;0;208.4;28:47.714;17:08:47.714;0:34.538;0:54.915;0:31.534;311.4;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;1;11;1:59.626;0;;34.707;0;53.976;2;30.943;0;210.8;30:47.340;17:10:47.340;0:34.707;0:53.976;0:30.943;310.5;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;1;12;2:00.812;0;;34.751;0;54.781;0;31.280;0;208.7;32:48.152;17:12:48.152;0:34.751;0:54.781;0:31.280;310.5;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;1;13;2:26.067;0;B;34.211;0;54.883;0;56.973;0;172.6;35:14.219;17:15:14.219;0:34.211;0:54.883;0:56.973;312.3;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;1;14;16:32.850;0;B;14:53.888;0;57.565;0;41.397;0;25.4;51:47.069;17:31:47.069;14:53.888;0:57.565;0:41.397;304.4;André LOTTERER;0:14:29.517;LMP1;;Rebellion Racing;Rebellion;
1;1;15;13:30.399;0;;12:03.273;0;56.100;0;31.026;0;31.1;1:05:17.468;17:45:17.468;12:03.273;0:56.100;0:31.026;254.4;André LOTTERER;0:11:36.424;LMP1;;Rebellion Racing;Rebellion;
1;1;16;1:59.961;0;;34.523;0;54.730;0;30.708;2;210.2;1:07:17.429;17:47:17.429;0:34.523;0:54.730;0:30.708;309.6;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;1;17;2:06.524;0;;35.764;0;57.334;0;33.426;0;199.3;1:09:23.953;17:49:23.953;0:35.764;0:57.334;0:33.426;305.2;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;1;18;2:03.606;0;;35.627;0;57.237;0;30.742;0;204.0;1:11:27.559;17:51:27.559;0:35.627;0:57.237;0:30.742;309.6;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;1;19;2:00.410;0;;34.680;0;54.972;0;30.758;0;209.4;1:13:27.969;17:53:27.969;0:34.680;0:54.972;0:30.758;310.5;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;1;20;1:59.995;0;;34.331;0;54.745;0;30.919;0;210.1;1:15:27.964;17:55:27.964;0:34.331;0:54.745;0:30.919;313.2;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;1;21;2:07.243;0;B;33.980;1;55.682;0;37.581;0;198.2;1:17:35.207;17:57:35.207;0:33.980;0:55.682;0:37.581;313.2;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
