NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
51;1;1;4:09.828;0;;2:24.199;0;1:06.682;0;38.947;0;99.2;4:09.828;15:04:09.828;2:24.199;1:06.682;0:38.947;249.7;James CALADO;0:01:46.270;LMGTE Pro;;AF Corse;Ferrari;
51;1;2;2:14.573;0;;39.051;1;1:00.604;0;34.918;1;187.4;6:24.401;15:06:24.401;0:39.051;1:00.604;0:34.918;262.4;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;1;3;2:14.383;2;;39.102;0;1:00.352;2;34.929;0;187.6;8:38.784;15:08:38.784;0:39.102;1:00.352;0:34.929;262.4;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;1;4;2:27.449;0;B;40.327;0;1:04.120;0;43.002;0;171.0;11:06.233;15:11:06.233;0:40.327;1:04.120;0:43.002;250.3;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;0;5;3:15.679;0;;1:31.800;0;1:07.620;0;36.259;0;128.9;14:21.912;15:14:21.912;1:31.800;1:07.620;0:36.259;212.5;Alessandro PIER GUIDI;0:01:00.812;LMGTE Pro;;AF Corse;Ferrari;
51;0;6;2:14.731;0;;38.919;0;1:00.902;0;34.910;0;187.1;16:36.643;15:16:36.643;0:38.919;1:00.902;0:34.910;264.9;Alessandro PIER GUIDI;;LMGTE Pro;;AF Corse;Ferrari;
51;0;7;2:14.388;0;;38.918;2;1:00.577;1;34.893;2;187.6;18:51.031;15:18:51.031;0:38.918;1:00.577;0:34.893;265.6;Alessandro PIER GUIDI;;LMGTE Pro;;AF Corse;Ferrari;
51;0;8;2:33.667;0;B;42.758;0;1:06.130;0;44.779;0;164.1;21:24.698;15:21:24.698;0:42.758;1:06.130;0:44.779;222.5;Alessandro PIER GUIDI;;LMGTE Pro;;AF Corse;Ferrari;
54;2;1;4:10.906;0;;2:25.424;0;1:06.005;0;39.477;0;98.7;4:10.906;15:04:10.906;2:25.424;1:06.005;0:39.477;249.1;Giancarlo FISICHELLA;0:01:48.435;LMGTE Am;;Spirit of Race;Ferrari;
54;2;2;2:16.989;0;;39.825;0;1:01.635;2;35.529;2;184.1;6:27.895;15:06:27.895;0:39.825;1:01.635;0:35.529;259.2;Giancarlo FISICHELLA;;LMGTE Am;;Spirit of Race;Ferrari;
54;2;3;2:18.424;0;;39.714;0;1:01.638;0;37.072;0;182.2;8:46.319;15:08:46.319;0:39.714;1:01.638;0:37.072;258.6;Giancarlo FISICHELLA;;LMGTE Am;;Spirit of Race;Ferrari;
54;2;4;2:16.919;2;;39.564;2;1:01.803;0;35.552;0;184.2;11:03.238;15:11:03.238;0:39.564;1:01.803;0:35.552;259.9;Giancarlo FISICHELLA;;LMGTE Am;;Spirit of Race;Ferrari;
54;2;5;2:28.457;0;B;40.228;0;1:04.308;0;43.921;0;169.8;13:31.695;15:13:31.695;0:40.228;1:04.308;0:43.921;257.4;Giancarlo FISICHELLA;;LMGTE Am;;Spirit of Race;Ferrari;
54;0;6;4:18.793;0;;2:29.194;0;1:11.107;0;38.492;0;97.4;17:50.488;15:17:50.488;2:29.194;1:11.107;0:38.492;250.3;Thomas FLOHR;0:01:56.812;LMGTE Am;;Spirit of Race;Ferrari;
54;0;7;2:21.923;0;;41.204;0;1:03.951;0;36.768;0;177.7;20:12.411;15:20:12.411;0:41.204;1:03.951;0:36.768;253.8;Thomas FLOHR;;LMGTE Am;;Spirit of Race;Ferrari;
54;0;8;2:21.507;0;;40.876;0;1:03.925;0;36.706;0;178.2;22:33.918;15:22:33.918;0:40.876;1:03.925;0:36.706;255.0;Thomas FLOHR;;LMGTE Am;;Spirit of Race;Ferrari;
54;0;9;2:20.916;0;;40.554;1;1:03.898;1;36.464;0;178.9;24:54.834;15:24:54.834;0:40.554;1:03.898;0:36.464;256.2;Thomas FLOHR;;LMGTE Am;;Spirit of Race;Ferrari;
54;0;10;2:20.851;0;;40.619;0;1:03.920;0;36.312;1;179.0;27:15.685;15:27:15.685;0:40.619;1:03.920;0:36.312;257.4;Thomas FLOHR;;LMGTE Am;;Spirit of Race;Ferrari;
56;2;1;3:17.977;0;;1:34.739;0;1:05.150;0;38.088;0;125.1;3:17.977;15:03:17.977;1:34.739;1:05.150;0:38.088;250.3;Egidio PERFETTI;0:00:57.379;LMGTE Am;;Team Project 1;Porsche;
56;2;2;2:17.531;0;;39.427;0;1:02.604;0;35.500;0;183.3;5:35.508;15:05:35.508;0:39.427;1:02.604;0:35.500;264.3;Egidio PERFETTI;;LMGTE Am;;Team Project 1;Porsche;
56;2;3;2:17.223;0;;39.352;1;1:02.407;1;35.464;1;183.7;7:52.731;15:07:52.731;0:39.352;1:02.407;0:35.464;263.0;Egidio PERFETTI;;LMGTE Am;;Team Project 1;Porsche;
56;2;4;2:28.697;0;B;39.466;0;1:04.911;0;44.320;0;169.6;10:21.428;15:10:21.428;0:39.466;1:04.911;0:44.320;259.9;Egidio PERFETTI;;LMGTE Am;;Team Project 1;Porsche;
56;0;5;7:25.338;0;;5:46.238;0;1:03.236;0;35.864;0;56.6;17:46.766;15:17:46.766;5:46.238;1:03.236;0:35.864;254.4;Jörg BERGMEISTER;0:05:16.313;LMGTE Am;;Team Project 1;Porsche;
56;0;6;2:16.052;2;;39.031;0;1:01.815;0;35.206;2;185.3;20:02.818;15:20:02.818;0:39.031;1:01.815;0:35.206;264.9;Jörg BERGMEISTER;;LMGTE Am;;Team Project 1;Porsche;
56;0;7;2:16.176;0;;39.022;2;1:01.770;2;35.384;0;185.2;22:18.994;15:22:18.994;0:39.022;1:01.770;0:35.384;266.9;Jörg BERGMEISTER;;LMGTE Am;;Team Project 1;Porsche;
56;0;8;2:29.738;0;B;39.113;0;1:04.755;0;45.870;0;168.4;24:48.732;15:24:48.732;0:39.113;1:04.755;0:45.870;265.6;Jörg BERGMEISTER;;LMGTE Am;;Team Project 1;Porsche;
61;0;1;3:43.278;0;;1:57.307;0;1:08.753;0;37.218;0;111.0;3:43.278;15:03:43.278;1:57.307;1:08.753;0:37.218;246.3;Weng Sun MOK;0:01:17.255;LMGTE Am;;Clearwater Racing;Ferrari;
61;0;2;2:23.132;0;;41.013;0;1:05.594;0;36.525;0;176.2;6:06.410;15:06:06.410;0:41.013;1:05.594;0:36.525;255.0;Weng Sun MOK;;LMGTE Am;;Clearwater Racing;Ferrari;
61;0;3;2:37.466;0;;43.723;0;1:11.388;0;42.355;0;160.1;8:43.876;15:08:43.876;0:43.723;1:11.388;0:42.355;189.8;Weng Sun MOK;;LMGTE Am;;Clearwater Racing;Ferrari;
61;0;4;2:33.674;0;;43.394;0;1:11.510;0;38.770;0;164.1;11:17.550;15:11:17.550;0:43.394;1:11.510;0:38.770;216.7;Weng Sun MOK;;LMGTE Am;;Clearwater Racing;Ferrari;
61;0;5;2:23.846;0;;41.218;0;1:05.010;0;37.618;0;175.3;13:41.396;15:13:41.396;0:41.218;1:05.010;0:37.618;256.2;Weng Sun MOK;;LMGTE Am;;Clearwater Racing;Ferrari;
61;0;6;2:22.273;0;;40.956;1;1:04.814;1;36.503;1;177.2;16:03.669;15:16:03.669;0:40.956;1:04.814;0:36.503;258.6;Weng Sun MOK;;LMGTE Am;;Clearwater Racing;Ferrari;
61;0;7;2:34.572;0;B;41.894;0;1:06.706;0;45.972;0;163.1;18:38.241;15:18:38.241;0:41.894;1:06.706;0:45.972;253.2;Weng Sun MOK;;LMGTE Am;;Clearwater Racing;Ferrari;
61;2;8;3:12.251;0;;1:32.216;0;1:03.857;0;36.178;0;131.2;21:50.492;15:21:50.492;1:32.216;1:03.857;0:36.178;253.2;Matthew GRIFFIN;0:01:03.743;LMGTE Am;;Clearwater Racing;Ferrari;
61;2;9;2:16.987;0;;39.475;0;1:01.796;0;35.716;2;184.1;24:07.479;15:24:07.479;0:39.475;1:01.796;0:35.716;263.0;Matthew GRIFFIN;;LMGTE Am;;Clearwater Racing;Ferrari;
