"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"8","GT3CP","Stefan Rzadzinski","1","2:29.329","2:29.329","Green","Track","0.000","14.123","30.032","17.814","30.627","31.006","0.565","12.684","1.551","2.842","150.040","111.365"
"56","GT3P","David Baker","1","2:30.168","2:30.168","Green","Track","227.993","14.299","28.622","17.390","30.602","31.424","0.603","12.770","1.546","2.833","140.585","111.725"
"42","GT3G","Bill Smith","1","2:31.231","2:31.231","Green","Track","226.938","13.697","28.774","17.563","30.123","31.506","0.616","13.119","1.612","2.947","137.618","107.151"
"10","GT3G","Frank Raso","1","2:32.579","2:32.579","Green","Track","227.083","11.293","29.328","17.346","29.517","32.463","0.628","12.917","1.614","2.954","134.988","107.018"
"3","GT3P","Trenton Estep","1","2:33.854","2:33.854","Green","Track","5.948","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.552","2.835","0.000","111.293"
"7","GT3P","Maxwell Root","1","2:38.312","2:38.312","Green","Track","220.561","10.907","28.402","16.849","29.718","30.330","0.548","12.409","1.521","2.800","154.695","113.562"
"26","GT3G","Egidio Perfetti","1","2:39.029","2:39.029","Green","Track","220.342","11.381","29.729","17.698","29.801","31.416","0.605","12.189","1.560","2.871","140.120","110.723"
"88","GT3CP","Marco Cirone","1","2:43.806","2:43.806","Green","Track","222.339","11.610","30.203","17.382","32.957","33.591","0.606","12.426","1.540","2.823","139.889","112.161"
"34","GT3P","Shaun McKaigue","1","2:50.299","2:50.299","Green","Track","132.856","12.267","31.890","17.593","30.374","30.185","0.556","12.521","1.576","2.861","152.469","109.599"
"19","GT3P","Will Hardeman","1","2:47.138","2:47.138","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"96","GT3CP","Remo Ruscitti","1","3:00.725","3:00.725","Green","Track","130.304","13.263","33.269","18.644","31.922","31.267","0.609","12.406","1.561","2.848","139.200","110.652"
"71","GT3P","David Kolkmann","1","3:03.232","3:03.232","Green","Track","0.000","13.063","33.375","18.093","31.395","32.645","0.763","12.925","1.513","2.785","111.104","114.162"
"1","GT3P","Roman De Angelis","1","3:05.799","3:05.799","Green","Track","64.163","13.239","28.910","17.160","29.068","33.099","0.859","13.879","1.569","2.848","98.688","110.087"
"45","GT3P","Charlie Luck IV","1","3:10.465","3:10.465","Green","Track","123.289","14.463","31.152","17.171","30.407","33.024","1.288","14.703","1.617","2.914","65.817","106.820"
