"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"78","GT3CP","Roman De Angelis","1","2:43.288","2:43.288","Green","Track","0.000","13.883","36.397","21.501","34.486","31.521","0.539","11.787","1.495","2.765","157.278","115.537"
"1","GT3P","Roman De Angelis","1","2:43.289","2:43.289","Green","Track","0.000","13.880","36.397","21.502","34.486","31.522","0.540","11.785","1.497","2.765","156.987","115.382"
"3","GT3P","Trenton Estep","1","2:45.453","2:45.453","Green","Track","0.000","14.442","34.932","21.294","33.580","30.970","0.551","11.566","1.503","2.775","153.852","114.922"
"91","GT3P","Anthony Imperato","1","2:46.395","2:46.395","Green","Track","0.000","13.291","35.319","21.709","34.596","31.288","0.552","12.510","1.510","2.775","153.574","114.389"
"98","GT3CP","Zacharie Robichon","1","2:47.524","2:47.524","Green","Track","0.000","13.211","32.861","19.296","32.439","31.138","0.660","12.930","1.520","2.803","128.444","113.636"
"7","GT3P","Maxwell Root","1","2:48.486","2:48.486","Green","Track","0.000","12.663","35.644","20.522","33.648","32.135","0.622","12.213","1.486","2.749","136.291","116.236"
"19","GT3P","Will Hardeman","1","2:49.823","2:49.823","Green","Track","0.000","13.483","32.964","19.451","33.542","30.860","0.571","12.730","1.517","2.780","148.464","113.861"
"96","GT3CP","Remo Ruscitti","1","2:54.017","2:54.017","Green","Track","0.000","13.250","34.258","20.258","34.429","34.898","0.755","13.087","1.590","2.956","112.282","108.634"
"71","GT3P","David Kolkmann","1","2:57.189","2:57.189","Green","Track","0.000","13.256","33.540","19.354","34.025","35.500","0.695","13.494","1.513","2.790","121.975","114.162"
"35","GT3CP","Nelson Mason","1","2:58.284","2:58.284","Green","Track","0.000","11.896","30.231","19.284","32.413","32.831","0.662","13.186","1.525","2.789","128.055","113.264"
"88","GT3CP","Marco Cirone","1","2:59.908","2:59.908","Green","Track","0.000","13.573","33.682","19.639","33.717","35.379","0.712","13.121","1.641","2.922","119.063","105.257"
"20","GT3P","Fred Poordad","1","3:04.847","3:04.847","Green","Track","357.981","12.202","34.100","18.528","33.672","40.333","0.809","12.532","1.493","2.763","104.787","115.691"
"45","GT3P","Charlie Luck","1","3:07.254","3:07.254","Green","Track","0.000","12.819","35.310","18.573","35.088","39.771","0.861","13.299","1.567","2.846","98.458","110.228"
"43","GT3P","Mark Kvamme","1","3:09.929","3:09.929","Green","Track","0.000","11.866","28.783","18.361","34.655","34.952","0.994","13.435","1.585","2.865","85.284","108.976"
"8","GT3CP","Stefan Rzadzinski","1","3:10.155","3:10.155","Green","Track","0.000","11.849","30.960","19.305","35.645","39.876","1.180","14.487","1.543","2.808","71.841","111.942"
"16","GT3CP","Jeff Kingsley","1","3:10.708","3:10.708","Green","Track","0.000","11.595","30.236","19.041","35.329","39.852","1.085","14.566","1.595","2.868","78.132","108.293"
"12","GT3P","Geoffrey Boss","1","3:11.315","3:11.315","Green","Track","0.000","11.592","30.177","18.517","34.726","35.590","1.007","14.524","1.569","2.839","84.183","110.087"
"25","GT3G","Victor Gomez Donato","1","3:11.626","3:11.626","Green","Track","0.000","10.875","29.653","17.971","34.382","35.481","0.917","14.158","1.615","2.943","92.446","106.952"
"77","GT3CP","Patrick Dussault","1","3:12.013","3:12.013","Green","Track","0.000","11.310","27.993","18.024","33.173","35.853","0.921","14.072","1.545","2.813","92.044","111.798"
"36","GT3P","Michael Levitas","1","3:14.996","3:14.996","Green","Track","0.000","10.808","32.544","18.735","35.381","39.608","1.268","15.317","1.488","2.757","66.855","116.080"
"99","GT3P","Alan Metni","1","3:17.531","3:17.531","Green","Track","0.000","11.969","31.254","18.759","35.029","40.459","1.302","15.891","1.568","2.848","65.110","110.158"
"34","GT3P","Shaun McKaigue","1","3:21.876","3:21.876","Green","Track","0.000","11.044","30.973","17.917","34.687","40.215","0.912","13.250","1.548","2.828","92.953","111.581"
"26","GT3G","Egidio Perfetti","1","3:22.291","3:22.291","Green","Track","395.086","10.858","30.277","18.131","34.657","39.940","0.927","13.137","1.565","2.871","91.448","110.369"
"61","GT3P","Scott Welham","1","3:24.387","3:24.387","Green","Track","392.327","12.382","29.816","17.260","31.444","39.627","0.822","13.413","1.571","2.851","103.130","109.947"
"52","GT3G","Kurt Fazekas","1","3:24.750","3:24.750","Green","Track","389.432","12.405","31.681","17.859","31.243","34.912","0.758","13.120","1.542","2.838","111.837","112.015"
"83","GT3CP","Max Tullman","1","3:25.538","3:25.538","Green","Track","391.015","14.400","34.827","17.962","31.180","32.079","0.716","13.047","1.524","3.062","118.398","113.338"
"42","GT3G","Bill Smith","1","3:27.337","3:27.337","Green","Track","384.163","11.361","29.514","18.010","31.042","33.524","0.703","13.874","1.706","3.024","120.587","101.247"
"73","GT3G","Wayne Ducote","1","3:30.744","3:30.744","Green","Track","386.639","12.118","31.934","18.866","32.754","32.732","0.591","13.292","1.650","2.978","143.439","104.683"
"5","GT3G","Rob Ferriol","1","3:31.959","3:31.959","Green","Track","383.553","11.000","33.027","18.847","32.815","32.951","0.585","12.239","1.582","2.892","144.911","109.183"
"56","GT3P","David Baker","1","3:34.357","3:34.357","Green","Track","392.582","11.225","30.056","17.603","34.025","45.346","0.654","15.481","2.526","4.782","129.622","68.380"
"10","GT3G","Frank Raso","1","3:36.293","3:36.293","Green","Track","382.063","11.332","35.076","19.451","31.960","32.994","0.614","12.689","1.600","2.934","138.066","107.955"
"44","GT3G","Greg Palmer","1","3:38.531","3:38.531","Green","Track","382.139","13.039","34.828","18.338","31.467","33.105","0.668","13.264","1.590","2.917","126.905","108.634"
"85","GT3G","Brent Asplundh","1","3:43.115","3:43.115","Green","Track","382.164","13.109","33.120","18.729","33.179","32.970","0.702","13.722","1.667","2.974","120.759","103.616"
"74","GT3G","Tom Kerr","1","3:43.324","3:43.324","Green","Track","380.736","12.624","33.129","18.630","33.254","33.198","0.658","13.396","1.652","2.966","128.834","104.556"
"24","GT3P","Adan Ramos","1","3:44.385","3:44.385","Green","Track","386.330","12.711","30.394","17.624","31.889","31.885","0.586","13.383","1.681","2.967","144.663","102.753"
"78","GT3CP","Roman De Angelis","2","2:04.469","4:47.757","Green","Track","5.823","6.124","25.232","15.444","27.399","28.311","0.534","11.381","1.477","2.744","158.750","116.945"
"1","GT3P","Roman De Angelis","2","2:04.468","4:47.757","Green","Track","5.822","6.124","25.232","15.443","27.399","28.312","0.534","11.380","1.479","2.743","158.750","116.787"
"3","GT3P","Trenton Estep","2","2:05.018","4:50.471","Green","Track","5.831","6.203","25.167","15.578","27.696","28.410","0.534","11.361","1.486","2.752","158.750","116.236"
"91","GT3P","Anthony Imperato","2","2:08.938","4:55.333","Green","Track","5.755","6.250","26.349","16.351","28.665","29.207","0.535","11.583","1.489","2.754","158.454","116.002"
"7","GT3P","Maxwell Root","2","2:07.726","4:56.212","Green","Track","5.790","6.171","25.858","15.501","28.168","29.536","0.592","11.857","1.494","2.759","143.197","115.614"
"19","GT3P","Will Hardeman","2","2:10.160","4:59.983","Green","Track","5.801","6.213","25.375","15.624","28.044","32.295","0.579","11.999","1.486","2.744","146.412","116.236"
"98","GT3CP","Zacharie Robichon","2","2:17.450","5:04.974","Green","Track","5.906","6.338","28.982","17.290","28.441","32.234","0.834","13.204","1.477","2.744","101.646","116.945"
"96","GT3CP","Remo Ruscitti","2","2:14.559","5:08.576","Green","Track","6.595","6.639","26.392","15.726","28.392","33.102","0.816","12.649","1.489","2.759","103.888","116.002"
"71","GT3P","David Kolkmann","2","2:13.817","5:11.006","Green","Track","5.969","6.372","25.722","15.776","29.073","32.601","0.847","13.208","1.493","2.756","100.086","115.691"
"35","GT3CP","Nelson Mason","2","2:13.631","5:11.915","Green","Track","6.017","6.570","25.688","15.819","28.799","33.035","0.728","12.713","1.503","2.759","116.446","114.922"
"88","GT3CP","Marco Cirone","2","2:12.551","5:12.459","Green","Track","6.794","6.878","28.109","15.754","27.997","29.071","0.663","12.766","1.498","3.021","127.862","115.305"
"20","GT3P","Fred Poordad","2","2:09.079","5:13.926","Green","Track","5.852","6.280","25.400","15.652","28.051","30.718","0.736","12.091","1.507","2.792","115.180","114.617"
"45","GT3P","Charlie Luck","2","2:08.316","5:15.570","Green","Track","5.894","6.274","25.673","15.525","27.914","29.227","0.592","12.921","1.515","2.781","143.197","114.011"
"43","GT3P","Mark Kvamme","2","2:07.548","5:17.477","Green","Track","5.851","6.303","25.736","15.691","27.982","29.210","0.537","11.904","1.524","2.810","157.864","113.338"
"8","GT3CP","Stefan Rzadzinski","2","2:09.388","5:19.543","Green","Track","5.968","6.312","25.572","15.869","29.053","30.023","0.544","11.761","1.510","2.776","155.832","114.389"
