"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"1","GT3P","Roman De Angelis","1","2:08.050","2:08.050","Green","Track","6.708","6.523","25.848","15.880","27.819","28.630","0.540","11.793","1.511","2.797","156.987","114.313"
"71","GT3P","David Kolkmann","1","2:08.583","2:08.583","Green","Track","6.633","6.668","25.780","15.942","27.956","28.827","0.533","11.742","1.506","2.776","159.048","114.693"
"3","GT3P","Trenton Estep","1","2:08.765","2:08.765","Green","Track","6.690","6.596","25.981","15.889","28.071","28.717","0.533","11.664","1.491","2.750","159.048","115.847"
"98","GT3CP","Zacharie Robichon","1","2:10.188","2:10.188","Green","Track","6.786","6.710","26.726","15.798","28.614","28.776","0.541","11.853","1.512","2.790","156.696","114.238"
"96","GT3CP","Remo Ruscitti","1","2:11.235","2:11.235","Green","Track","6.772","6.826","27.146","15.962","28.485","29.197","0.536","11.637","1.518","2.796","158.158","113.786"
"7","GT3P","Maxwell Root","1","2:11.614","2:11.614","Green","Track","6.727","6.675","27.078","16.120","28.521","29.147","0.545","11.837","1.524","2.793","155.546","113.338"
"91","GT3P","Anthony Imperato","1","2:12.045","2:12.045","Green","Track","6.869","6.853","26.935","16.372","28.594","29.163","0.534","11.822","1.526","2.797","158.750","113.190"
"8","GT3CP","Stefan Rzadzinski","1","2:12.694","2:12.694","Green","Track","6.815","6.798","27.024","16.503","28.673","29.210","0.534","11.910","1.527","2.800","158.750","113.115"
"35","GT3CP","Nelson Mason","1","2:12.925","2:12.925","Green","Track","6.813","6.920","26.765","16.599","28.797","29.177","0.526","11.846","1.521","2.774","161.165","113.562"
"16","GT3CP","Jeff Kingsley","1","2:13.647","2:13.647","Green","Track","6.882","7.100","27.424","16.432","28.984","29.287","0.535","11.880","1.518","2.786","158.454","113.786"
"19","GT3P","Will Hardeman","1","2:14.051","2:14.051","Green","Track","6.808","7.098","27.392","16.365","28.875","29.285","0.550","11.933","1.496","2.752","154.132","115.459"
"36","GT3P","Michael Levitas","1","2:14.589","2:14.589","Green","Track","6.945","7.022","27.283","17.118","28.905","29.321","0.532","11.937","1.524","2.792","159.347","113.338"
"99","GT3P","Alan Metni","1","2:15.585","2:15.585","Green","Track","6.903","7.320","28.004","16.550","29.129","29.583","0.538","11.799","1.534","2.814","157.570","112.599"
"25","GT3G","Victor Gomez Donato","1","2:16.897","2:16.897","Green","Track","7.096","7.135","28.119","16.534","29.467","29.742","0.553","12.069","1.554","2.879","153.296","111.150"
"43","GT3P","Mark Kvamme","1","2:17.457","2:17.457","Green","Track","6.886","7.304","28.092","16.386","29.666","29.807","0.534","12.231","1.543","2.824","158.750","111.942"
"12","GT3P","Geoffrey Boss","1","2:17.740","2:17.740","Green","Track","7.177","7.322","28.631","16.725","29.028","29.701","0.559","12.279","1.520","2.787","151.651","113.636"
"88","GT3CP","Marco Cirone","1","2:18.109","2:18.109","Green","Track","7.110","7.077","28.804","16.649","29.309","29.632","0.535","11.796","1.536","2.808","158.454","112.453"
"34","GT3P","Shaun McKaigue","1","2:18.316","2:18.316","Green","Track","6.980","7.450","28.808","16.740","29.239","29.659","0.538","12.351","1.531","2.799","157.570","112.820"
"77","GT3CP","Patrick Dussault","1","2:18.671","2:18.671","Green","Track","7.041","7.285","28.891","17.063","29.382","29.518","0.574","12.071","1.522","2.792","147.688","113.487"
"56","GT3P","David Baker","1","2:19.787","2:19.787","Green","Track","6.970","7.432","29.250","16.696","29.873","29.633","0.544","12.292","1.558","2.844","155.832","110.865"
"61","GT3P","Scott Welham","1","2:20.769","2:20.769","Green","Track","7.160","7.426","29.579","16.984","29.810","29.772","0.536","12.365","1.591","2.877","158.158","108.565"
"20","GT3P","Fred Poordad","1","2:20.957","2:20.957","Green","Track","7.247","7.364","29.676","16.989","29.615","29.909","0.555","12.260","1.554","2.825","152.744","111.150"
"5","GT3G","Rob Ferriol","1","2:21.426","2:21.426","Green","Track","7.135","7.490","29.873","17.150","29.404","30.153","0.552","11.958","1.564","2.874","153.574","110.439"
"44","GT3G","Greg Palmer","1","2:22.917","2:22.917","Green","Track","7.127","7.745","29.675","17.082","29.908","30.065","0.561","12.593","1.638","2.958","151.110","105.450"
"52","GT3G","Kurt Fazekas","1","2:23.564","2:23.564","Green","Track","7.246","7.385","29.888","17.081","30.337","30.358","0.566","12.004","1.549","2.855","149.775","111.509"
"73","GT3G","Wayne Ducote","1","2:24.200","2:24.200","Green","Track","7.198","7.750","30.191","17.113","30.383","30.760","0.631","12.450","1.575","2.907","134.347","109.668"
"10","GT3G","Frank Raso","1","2:25.622","2:25.622","Green","Track","7.252","7.630","30.527","17.353","30.816","30.433","0.556","12.332","1.627","2.973","152.469","106.163"
"85","GT3G","Brent Asplundh","1","2:27.085","2:27.085","Green","Track","7.388","7.601","30.733","17.168","30.906","30.741","0.553","12.769","1.699","3.007","153.296","101.664"
"42","GT3G","Bill Smith","1","2:28.538","2:28.538","Green","Track","7.228","7.533","33.922","17.082","30.060","31.619","0.564","12.207","1.600","2.920","150.306","107.955"
"24","GT3P","Adan Ramos","1","2:29.423","2:29.423","Green","Track","7.591","7.531","30.741","17.080","30.996","32.302","0.595","12.837","1.615","2.909","142.475","106.952"
"78","GT3CP","Roman De Angelis","1","2:06.795","4:14.845","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.500","2.783","0.000","115.152"
"1","GT3P","Roman De Angelis","2","2:06.796","4:14.846","Green","Track","5.873","6.207","25.870","15.626","27.788","28.772","0.541","11.835","1.501","2.783","156.696","115.075"
"3","GT3P","Trenton Estep","2","2:07.537","4:16.302","Green","Track","5.769","6.470","25.876","15.757","28.188","29.051","0.538","11.612","1.501","2.775","157.570","115.075"
"71","GT3P","David Kolkmann","2","2:08.038","4:16.621","Green","Track","5.805","6.422","25.912","15.710","28.227","29.431","0.537","11.733","1.499","2.762","157.864","115.228"
"98","GT3CP","Zacharie Robichon","2","2:06.749","4:16.937","Green","Track","5.888","6.269","25.590","15.678","28.219","28.599","0.536","11.718","1.495","2.757","158.158","115.537"
"7","GT3P","Maxwell Root","2","2:06.936","4:18.550","Green","Track","5.857","6.192","25.965","15.706","28.047","28.666","0.536","11.668","1.510","2.789","158.158","114.389"
"96","GT3CP","Remo Ruscitti","2","2:08.220","4:19.455","Green","Track","5.854","6.273","25.983","16.320","28.463","28.906","0.536","11.583","1.513","2.789","158.158","114.162"
"91","GT3P","Anthony Imperato","2","2:07.896","4:19.941","Green","Track","5.817","6.242","25.876","15.797","28.482","29.147","0.533","11.717","1.510","2.775","159.048","114.389"
"35","GT3CP","Nelson Mason","2","2:07.437","4:20.362","Green","Track","5.726","6.617","26.046","15.793","28.172","28.661","0.526","11.593","1.524","2.779","161.165","113.338"
"8","GT3CP","Stefan Rzadzinski","2","2:08.977","4:21.671","Green","Track","5.858","6.677","26.736","16.021","28.204","28.910","0.537","11.716","1.523","2.795","157.864","113.413"
"16","GT3CP","Jeff Kingsley","2","2:08.415","4:22.062","Green","Track","5.834","6.356","26.302","16.023","28.529","28.977","0.530","11.575","1.514","2.775","159.949","114.087"
"19","GT3P","Will Hardeman","2","2:08.519","4:22.570","Green","Track","5.857","6.203","26.475","16.017","28.567","28.884","0.535","11.756","1.486","2.739","158.454","116.236"
"36","GT3P","Michael Levitas","2","2:08.829","4:23.418","Green","Track","5.918","6.327","25.942","16.194","28.719","29.066","0.534","11.839","1.510","2.780","158.750","114.389"
"99","GT3P","Alan Metni","2","2:09.061","4:24.646","Green","Track","5.968","6.460","26.222","15.903","28.807","29.166","0.538","11.691","1.515","2.791","157.570","114.011"
"74","GT3G","Tom Kerr","1","4:25.961","4:25.961","Green","Pit","9.564","7.510","29.236","18.508","33.241","38.252","1.003","19.871","5.427","16.465","84.519","31.827"
"25","GT3G","Victor Gomez Donato","2","2:10.566","4:27.463","Green","Track","6.075","6.422","26.307","16.447","28.919","29.326","0.555","12.069","1.561","2.885","152.744","110.652"
"43","GT3P","Mark Kvamme","2","2:10.704","4:28.161","Green","Track","5.889","6.552","26.434","15.920","29.454","29.346","0.537","12.189","1.546","2.837","157.864","111.725"
"12","GT3P","Geoffrey Boss","2","2:10.583","4:28.323","Green","Track","5.879","6.558","26.320","16.287","29.147","29.558","0.541","12.007","1.514","2.772","156.696","114.087"
"88","GT3CP","Marco Cirone","2","2:10.388","4:28.497","Green","Track","5.897","6.369","26.455","17.114","28.239","29.620","0.536","11.862","1.513","2.783","158.158","114.162"
"34","GT3P","Shaun McKaigue","2","2:10.901","4:29.217","Green","Track","5.869","6.592","26.542","16.987","28.711","29.346","0.537","11.997","1.522","2.798","157.864","113.487"
"56","GT3P","David Baker","2","2:10.653","4:30.440","Green","Track","5.995","6.436","26.566","16.224","29.048","29.273","0.537","12.187","1.556","2.831","157.864","111.007"
