"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"1","GT3P","Roman De Angelis","1","2:06.703","2:06.703","Green","Track","6.652","6.509","25.601","15.637","27.677","28.428","0.537","11.412","1.488","2.761","157.864","116.080"
"3","GT3P","Trenton Estep","1","2:07.343","2:07.343","Green","Track","6.690","6.600","25.596","15.703","27.852","28.467","0.534","11.523","1.492","2.762","158.750","115.769"
"98","GT3CP","Zacharie Robichon","1","2:07.762","2:07.762","Green","Track","6.756","6.649","25.817","15.739","27.897","28.416","0.531","11.474","1.479","2.744","159.647","116.787"
"96","GT3CP","Remo Ruscitti","1","2:09.108","2:09.108","Green","Track","6.602","6.700","26.605","15.894","28.057","28.842","0.536","11.323","1.499","2.770","158.158","115.228"
"7","GT3P","Maxwell Root","1","2:09.983","2:09.983","Green","Track","6.686","6.748","26.517","16.246","28.159","28.698","0.531","11.664","1.513","2.780","159.647","114.162"
"19","GT3P","Will Hardeman","1","2:10.263","2:10.263","Green","Track","6.665","6.774","26.817","16.067","28.394","28.730","0.528","11.625","1.493","2.744","160.554","115.691"
"88","GT3CP","Marco Cirone","1","2:10.672","2:10.672","Green","Track","6.734","6.730","27.026","16.175","28.308","28.732","0.534","11.493","1.504","2.772","158.750","114.845"
"35","GT3CP","Nelson Mason","1","2:10.905","2:10.905","Green","Track","6.929","7.026","26.824","16.268","28.434","28.693","0.525","11.427","1.498","2.747","161.472","115.305"
"91","GT3P","Anthony Imperato","1","2:11.566","2:11.566","Green","Track","6.902","6.998","27.030","16.260","28.393","28.916","0.530","11.518","1.507","2.772","159.949","114.617"
"8","GT3CP","Stefan Rzadzinski","1","2:12.471","2:12.471","Green","Track","6.891","6.966","27.168","16.694","28.411","28.884","0.533","11.765","1.512","2.780","159.048","114.238"
"99","GT3P","Alan Metni","1","2:13.164","2:13.164","Green","Track","7.073","7.079","27.309","16.538","28.738","28.755","0.530","11.774","1.564","2.839","159.949","110.439"
"16","GT3CP","Jeff Kingsley","1","2:13.831","2:13.831","Green","Track","6.816","6.865","27.646","17.066","28.969","28.945","0.535","11.883","1.525","2.789","158.454","113.264"
"36","GT3P","Michael Levitas","1","2:14.125","2:14.125","Green","Track","7.012","7.133","27.436","16.816","29.129","29.033","0.529","11.693","1.495","2.754","160.251","115.537"
"45","GT3P","Charlie Luck","1","2:15.308","2:15.308","Green","Track","6.905","7.595","27.463","17.124","28.811","29.376","0.533","11.661","1.508","2.774","159.048","114.541"
"43","GT3P","Mark Kvamme","1","2:16.924","2:16.924","Green","Track","6.999","7.311","27.440","18.244","29.215","29.558","0.538","11.914","1.548","2.831","157.570","111.581"
