"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"26","GS","Jayson Clunie","1","2:31.924","2:31.924","Green","Track","316.122","11.940","29.876","17.512","30.487","31.177","0.569","12.468","1.663","3.061","148.985","103.865"
"38","GS","James Cox","1","2:32.382","2:32.382","Green","Track","318.630","12.526","30.770","17.526","30.238","32.197","0.642","12.651","1.671","3.093","132.045","103.368"
"72","GS","Mike Vess","1","2:36.602","2:36.602","Green","Track","321.628","14.069","31.653","18.965","32.376","32.144","0.570","12.988","1.709","3.118","148.724","101.069"
"7","GS","Alan Brynjolfsson","1","2:36.693","2:36.693","Green","Track","306.114","11.492","30.607","17.675","32.328","32.223","0.581","12.705","1.704","3.154","145.908","101.366"
"39","GS","Tyler McQuarrie","1","2:36.930","2:36.930","Green","Track","294.538","10.921","29.004","16.975","31.350","32.172","0.580","12.575","1.680","3.099","146.160","102.814"
"33","GS","Russell Ward","1","2:37.227","2:37.227","Green","Track","295.411","11.793","29.180","17.415","31.436","32.203","0.577","12.483","1.664","3.063","146.920","103.802"
"46","GS","Hugh Plumb","1","2:41.549","2:41.549","Green","Track","297.596","11.919","29.013","17.734","31.921","36.510","0.967","12.894","1.622","3.020","87.666","106.490"
"77","TCR","Tom Long","1","2:43.044","2:43.044","Green","Track","275.098","11.852","30.183","17.890","30.878","32.643","0.624","12.275","1.696","3.187","135.854","101.844"
"31","TCR","Luke Rumburg","1","2:43.831","2:43.831","Green","Track","303.349","13.482","32.072","18.634","33.012","33.388","0.628","12.602","1.709","3.211","134.988","101.069"
"81","ST","Nick Galante","1","2:50.709","2:50.709","Green","Track","277.457","12.060","32.389","19.537","33.014","33.794","0.648","13.084","1.806","3.380","130.822","95.641"
"5","GS","Joe Robillard","1","2:52.840","2:52.840","Green","Track","269.770","12.568","31.682","18.761","32.473","33.783","0.601","14.103","1.730","3.151","141.053","99.842"
"74","TCR","Rodrigo Sales","1","2:53.051","2:53.051","Green","Track","268.463","12.111","32.269","18.674","32.221","32.909","0.615","13.254","1.767","3.290","137.842","97.752"
"65","GS","Brent Mosing","1","2:53.649","2:53.649","Green","Track","267.254","12.404","31.014","18.869","32.404","32.762","0.589","12.859","1.705","3.120","143.927","101.306"
"69","GS","Corey Fergus","1","2:54.372","2:54.372","Green","Track","262.681","13.087","29.776","17.867","32.686","31.941","0.576","12.280","1.624","3.006","147.175","106.359"
"76","GS","Paul Holton","1","2:55.642","2:55.642","Green","Track","254.116","11.156","29.349","17.327","30.554","31.986","0.576","12.092","1.621","2.993","147.175","106.556"
"73","ST","Mike LaMarra","1","2:59.023","2:59.023","Green","Track","264.651","11.681","31.070","18.649","33.731","34.778","0.661","13.140","1.757","3.301","128.249","98.308"
