"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"77","TCR","Britt Casey Jr","1","2:56.250","2:56.250","Green","Track","0.000","12.331","33.406","19.491","32.597","32.134","0.633","11.937","1.663","3.151","133.922","103.865"
"10","TCR","Kieron O'Rourke","1","2:58.346","2:58.346","Green","Track","0.000","12.126","32.573","18.976","32.135","32.556","0.628","12.185","1.732","3.247","134.988","99.727"
"74","TCR","Rodrigo Sales","1","2:59.930","2:59.930","Green","Track","0.000","12.840","33.531","19.085","33.363","33.601","0.626","11.996","1.689","3.180","135.420","102.266"
"81","ST","Nick Galante","1","3:02.940","3:02.940","Green","Track","0.000","12.985","33.662","19.173","33.290","34.273","0.650","12.945","1.790","3.347","130.420","96.496"
"37","ST","Nate Norenberg","1","3:03.806","3:03.806","Green","Track","28.212","11.678","30.979","18.872","32.889","34.164","0.659","13.305","1.764","3.300","128.638","97.918"
"31","TCR","Luke Rumburg","1","3:07.937","3:07.937","Green","Track","0.000","12.506","31.741","18.778","33.892","33.710","0.633","14.032","1.752","3.276","133.922","98.589"
"73","ST","Mike LaMarra","1","3:10.340","3:10.340","Green","Track","27.361","12.024","32.343","18.670","33.023","35.761","0.693","13.227","1.763","3.298","122.327","97.973"
"21","ST","Max Faulkner","1","3:11.677","3:11.677","Green","Track","27.201","12.134","32.530","19.071","33.083","34.262","0.639","13.348","1.781","3.332","132.665","96.983"
"11","TCR","Don Istook","1","3:16.100","3:16.100","Green","Track","23.815","12.491","32.543","19.197","33.455","33.878","0.650","13.311","1.755","3.284","130.420","98.420"
"75","TCR","Roy Block","1","4:00.229","4:00.229","Green","Track","0.000","11.702","30.183","17.925","31.441","32.650","0.625","12.045","1.696","3.201","135.636","101.844"
"52","ST","Jared Salinsky","1","4:36.907","4:36.907","Green","Track","28.013","13.321","34.849","19.784","35.066","36.026","0.662","13.570","1.811","3.372","128.055","95.377"
"77","TCR","Britt Casey Jr","2","2:16.590","5:12.840","Green","Track","6.670","6.321","27.775","17.165","29.968","31.482","0.624","11.763","1.668","3.154","135.854","103.554"
"10","TCR","Kieron O'Rourke","2","2:22.103","5:20.449","Green","Track","6.934","6.702","29.240","18.001","30.946","32.277","0.627","12.402","1.729","3.245","135.204","99.900"
"74","TCR","Rodrigo Sales","2","2:24.046","5:23.976","Green","Track","6.753","6.847","28.913","17.551","32.614","33.816","0.627","12.026","1.699","3.200","135.204","101.664"
