"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"28","GS","Spencer Pumpelly","1","2:15.147","2:15.147","Green","Track","7.140","6.555","27.396","16.908","29.500","30.681","0.587","11.724","1.628","3.027","144.417","106.098"
"92","GS","Alexandre Premat","1","2:15.483","2:15.483","Green","Track","7.169","6.792","27.424","16.854","29.390","30.825","0.584","11.651","1.628","3.014","145.159","106.098"
"8","GS","Patrick Gallagher","1","2:16.348","2:16.348","Green","Track","7.216","6.803","27.735","16.937","29.707","30.665","0.589","11.703","1.637","3.040","143.927","105.515"
"76","GS","Paul Holton","1","2:16.673","2:16.673","Green","Track","7.167","6.904","27.728","16.825","29.871","30.561","0.569","11.907","1.632","3.002","148.985","105.838"
"39","GS","Tyler McQuarrie","1","2:17.119","2:17.119","Green","Track","7.231","7.052","27.874","17.068","29.580","30.436","0.575","11.908","1.612","2.999","147.431","107.151"
"69","GS","Corey Fergus","1","2:17.888","2:17.888","Green","Track","7.221","7.010","28.102","17.295","30.012","30.661","0.571","11.892","1.624","3.002","148.464","106.359"
"82","GS","James Clay","1","2:18.785","2:18.785","Green","Track","7.193","7.067","28.306","16.794","30.277","30.975","0.575","12.059","1.625","3.005","147.431","106.294"
"15","GS","Chase Briscoe","1","2:19.379","2:19.379","Green","Track","7.348","7.069","28.563","17.161","29.993","31.193","0.590","11.870","1.637","3.046","143.683","105.515"
"46","GS","Owen Trinkler","1","2:19.616","2:19.616","Green","Track","7.325","6.923","28.408","17.270","30.085","30.927","0.583","11.901","1.644","3.040","145.408","105.065"
"80","GS","Martin Barkey","1","2:19.938","2:19.938","Green","Track","7.312","7.081","29.053","17.121","30.242","31.036","0.581","11.708","1.620","3.018","145.908","106.622"
"60","GS","Nate Stacy","1","2:20.551","2:20.551","Green","Track","7.307","7.346","29.362","16.831","29.937","31.073","0.581","11.916","1.632","3.028","145.908","105.838"
"7","GS","Alan Brynjolfsson","1","2:22.325","2:22.325","Green","Track","7.473","7.653","29.697","17.647","30.206","31.200","0.576","11.798","1.649","3.050","147.175","104.747"
"33","GS","Russell Ward","1","2:22.417","2:22.417","Green","Track","7.279","7.435","30.299","17.338","30.289","31.000","0.582","12.249","1.654","3.044","145.658","104.430"
"26","GS","Jayson Clunie","1","2:23.614","2:23.614","Green","Track","7.272","7.550","29.952","17.816","30.868","31.159","0.571","12.069","1.599","2.965","148.464","108.022"
"59","GS","Jack Roush Jr","1","2:24.536","2:24.536","Green","Track","7.403","7.670","29.620","17.987","31.494","31.282","0.579","12.136","1.625","3.012","146.412","106.294"
"19","GS","Ari Balogh","1","2:25.263","2:25.263","Green","Track","7.430","7.344","30.402","18.092","31.005","31.559","0.585","12.109","1.634","3.031","144.911","105.708"
"38","GS","James Cox","1","2:25.654","2:25.654","Green","Track","7.303","7.568","30.073","18.182","31.127","31.429","0.584","12.223","1.659","3.075","145.159","104.115"
"56","GS","Jeff Mosing","1","2:26.078","2:26.078","Green","Track","7.528","7.842","30.043","18.286","31.012","31.496","0.587","12.367","1.650","3.042","144.417","104.683"
"99","GS","Steven Phillips","1","2:26.682","2:26.682","Green","Track","7.602","7.958","30.423","18.170","31.451","31.286","0.573","12.514","1.624","3.016","147.945","106.359"
"57","GS","Bryce Ward","1","2:27.181","2:27.181","Green","Track","7.393","7.703","30.457","18.382","31.175","31.717","0.580","12.156","1.649","3.035","146.160","104.747"
"09","GS","Conor Flynn","1","2:28.462","2:28.462","Green","Track","7.365","8.110","30.656","18.503","31.486","32.087","0.571","12.430","1.651","3.066","148.464","104.620"
