"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"4","LMP3","Zacharie Richard Robichon","1","2:15.040","2:15.040","Green","Track","0.000","11.266","27.773","16.459","28.018","28.709","0.573","11.049","1.457","2.752","147.945","118.550"
"7","LMP3","Pato O'Ward","1","2:30.804","2:30.804","Green","Track","0.000","10.280","28.377","16.313","29.502","30.029","0.562","11.385","1.487","2.777","150.841","116.158"
"75","LMP3","Cameron Cassels","1","2:30.836","2:30.836","Green","Track","0.000","12.200","31.983","18.060","31.409","31.034","0.577","12.252","1.521","2.927","146.920","113.562"
"33","LMP3","Lance Willsey","1","2:32.221","2:32.221","Green","Track","0.000","12.667","29.936","18.275","30.508","31.479","0.645","12.668","1.544","2.851","131.431","111.870"
"18","MPC","Wyatt Schwab","1","2:33.501","2:33.501","Green","Track","0.000","10.479","29.141","18.051","31.106","30.782","0.614","12.222","1.561","2.936","138.066","110.652"
"44","LMP3","Gary Gibson","1","2:33.828","2:33.828","Green","Track","0.000","11.505","28.858","16.912","30.462","30.496","0.569","12.263","1.545","2.837","148.985","111.798"
"22","MPC","Stephen Dawes","1","2:34.569","2:34.569","Green","Track","0.000","11.722","30.737","17.376","31.143","31.456","0.615","11.980","1.582","2.960","137.842","109.183"
"42","LMP3","Robby Foley","1","2:41.793","2:41.793","Green","Track","0.000","10.817","27.255","16.094","30.327","31.287","0.812","12.388","1.448","2.750","104.400","119.287"
"30","LMP3","Michael Whelden","1","2:43.245","2:43.245","Green","Track","437.133","11.297","27.914","16.931","30.000","29.441","0.567","11.014","1.453","2.738","149.511","118.876"
"26","LMP3","James McGuire","1","2:45.236","2:45.236","Green","Track","0.000","12.104","31.635","17.691","31.109","31.911","0.585","12.183","1.596","2.920","144.911","108.225"
"25","LMP3","Joel Janco","1","2:45.617","2:45.617","Green","Track","0.000","11.621","29.470","17.289","30.579","32.205","0.583","11.663","1.533","2.855","145.408","112.673"
"55","LMP3","Gerry Kraut","1","2:45.891","2:45.891","Green","Track","0.000","10.795","29.079","17.101","31.420","29.880","0.596","11.829","1.514","2.815","142.236","114.087"
"11","MPC","Robert Masson","1","2:51.969","2:51.969","Green","Track","422.449","11.238","31.028","17.511","30.548","30.910","0.621","11.825","1.616","3.010","136.510","106.886"
"28","MPC","Bart Wolf","1","2:53.424","2:53.424","Green","Track","332.268","10.552","29.038","17.028","28.855","0.000","0.000","11.238","1.562","2.948","0.000","110.581"
