"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"74","LMP3","Anthony Simone","1","2:15.978","2:15.978","Green","Track","0.000","11.459","30.060","16.985","27.886","27.940","0.539","11.071","1.441","2.708","157.278","119.866"
"7","LMP3","Leo Lamelas","1","2:19.912","2:19.912","Green","Track","0.000","11.188","28.815","17.200","29.456","28.667","0.557","11.318","1.498","2.800","152.195","115.305"
"47","LMP3","TJ Fischer","1","2:20.697","2:20.697","Green","Track","0.000","10.465","28.110","16.278","28.468","28.588","0.546","11.165","1.460","2.734","155.261","118.306"
"55","LMP3","Gerry Kraut (M)","1","2:21.450","2:21.450","Green","Track","0.000","11.113","27.833","17.108","28.612","29.130","0.587","11.587","1.517","2.818","144.417","113.861"
"26","LMP3","James McGuire Jr (M)","1","2:22.192","2:22.192","Green","Track","0.000","10.900","28.506","17.201","28.992","28.671","0.559","11.061","1.497","2.804","151.651","115.382"
"25","LMP3","Joel Janco (M)","1","2:27.452","2:27.452","Green","Track","0.000","11.152","28.065","17.017","28.971","29.148","0.562","11.242","1.505","2.824","150.841","114.769"
"3","LMP3","Max Hanratty","1","2:30.170","2:30.170","Green","Track","355.032","11.129","28.323","17.820","28.732","28.593","0.553","11.561","1.468","2.763","153.296","117.662"
"42","LMP3","Jim Garrett (M)","1","2:31.311","2:31.311","Green","Track","357.811","11.004","29.357","17.308","28.941","29.225","0.633","12.592","1.507","2.808","133.922","114.617"
"30","LMP3","Kris Wright","1","2:34.972","2:34.972","Green","Track","344.615","10.852","28.153","16.762","28.794","31.717","0.725","12.360","1.487","2.776","116.928","116.158"
"17","LMP3","Matt Dicken","1","2:38.019","2:38.019","Green","Track","342.875","11.531","29.464","17.509","30.339","29.500","0.572","11.570","1.504","2.825","148.204","114.845"
"44","LMP3","Gary Gibson (M)","1","2:38.427","2:38.427","Green","Track","334.848","12.132","29.537","17.173","29.115","28.958","0.553","11.682","1.519","2.813","153.296","113.711"
"33","LMP3","Lance Willsey (M)","1","2:42.702","2:42.702","Green","Track","336.365","12.158","29.872","17.521","28.760","29.283","0.557","11.794","1.516","2.820","152.195","113.936"
"34","MPC","Jon Brownson","1","2:43.182","2:43.182","Green","Track","332.569","11.176","28.382","17.261","28.875","29.430","0.592","11.418","1.538","2.935","143.197","112.306"
"75","LMP3","Cameron Cassels (M)","1","2:48.888","2:48.888","Green","Track","334.510","12.045","31.013","17.716","30.928","30.363","0.577","11.865","1.527","2.822","146.920","113.115"
"51","LMP3","Rob Hodes (M)","1","2:51.993","2:51.993","Green","Track","331.515","13.053","29.610","17.927","29.835","29.708","0.628","13.883","1.508","2.816","134.988","114.541"
"11","MPC","Robert Masson","1","2:53.199","2:53.199","Green","Track","329.981","12.018","32.482","18.848","28.721","29.220","0.598","10.736","1.535","2.912","141.760","112.526"
"86","MPC","Dave House","1","2:56.301","2:56.301","Green","Track","328.477","11.639","31.630","18.221","30.034","29.697","0.589","11.756","1.576","2.946","143.927","109.599"
"28","MPC","Tazio Ottis","1","2:56.952","2:56.952","Green","Track","327.967","11.591","30.574","18.047","30.440","29.493","0.591","11.929","1.587","2.971","143.439","108.839"
"18","MPC","Wyatt Schwab","1","2:57.950","2:57.950","Green","Track","326.385","10.910","30.735","17.926","30.527","29.772","0.713","12.098","1.550","2.942","118.896","111.437"
"19","LMP3","Brad Baker (M)","1","3:02.683","3:02.683","Green","Track","322.172","12.189","30.038","18.088","29.846","29.768","0.560","11.794","1.579","2.897","151.380","109.390"
"22","MPC","Stephen Dawes","1","3:03.111","3:03.111","Green","Track","325.760","11.743","30.140","17.976","31.105","31.252","0.607","12.115","1.579","2.962","139.659","109.390"
"36","MPC","Paul LaHaye","1","3:03.744","3:03.744","Green","Track","323.640","11.605","30.214","17.479","31.005","30.701","0.639","12.360","1.588","2.981","132.665","108.770"
"24","MPC","Tim George","1","3:05.637","3:05.637","Green","Track","321.294","11.023","30.693","17.200","30.214","30.663","0.616","11.614","1.629","3.067","137.618","106.033"
"77","MPC","Howard Jacobs","1","3:09.236","3:09.236","Green","Track","320.713","12.002","30.127","17.400","29.385","31.043","0.620","12.444","1.637","3.125","136.730","105.515"
"23","LMP3","Mike Skeen","1","3:28.391","3:28.391","Green","Track","274.377","12.848","38.948","20.214","34.195","31.806","0.607","12.028","1.586","2.883","139.659","108.907"
"4","LMP3","Dean Baker (M)","1","3:35.784","3:35.784","Green","Track","411.774","11.271","28.977","17.113","28.941","28.846","0.564","10.821","1.487","2.798","150.306","116.158"
"74","LMP3","Anthony Simone","2","2:00.012","4:15.990","Green","Track","5.742","5.594","24.337","14.971","26.517","27.767","0.539","10.440","1.424","2.681","157.278","121.297"
"7","LMP3","Leo Lamelas","2","2:01.079","4:20.991","Green","Track","5.910","5.734","25.048","15.237","26.584","27.266","0.556","10.490","1.480","2.774","152.469","116.708"
"47","LMP3","TJ Fischer","2","2:00.570","4:21.267","Green","Track","5.809","5.818","24.727","15.148","26.588","27.484","0.539","10.346","1.425","2.686","157.278","121.212"
"55","LMP3","Gerry Kraut (M)","2","2:04.233","4:25.683","Green","Track","6.033","6.034","25.616","15.733","27.017","28.099","0.559","10.863","1.493","2.786","151.651","115.691"
"26","LMP3","James McGuire Jr (M)","2","2:04.764","4:26.956","Green","Track","5.953","6.320","25.908","15.662","27.398","27.906","0.558","10.800","1.481","2.778","151.922","116.629"
"25","LMP3","Joel Janco (M)","2","2:04.724","4:32.176","Green","Track","5.961","5.710","25.730","15.632","27.230","28.308","0.562","11.299","1.497","2.795","150.841","115.382"
"3","LMP3","Max Hanratty","2","2:02.089","4:32.259","Green","Track","5.911","5.623","25.048","15.552","26.570","27.511","0.549","11.135","1.463","2.727","154.413","118.064"
"30","LMP3","Kris Wright","2","2:02.444","4:37.416","Green","Track","5.921","5.687","24.978","15.536","27.052","27.867","0.553","10.677","1.448","2.725","153.296","119.287"
"42","LMP3","Jim Garrett (M)","2","2:07.341","4:38.652","Green","Track","6.137","6.324","25.876","16.176","27.783","28.472","0.577","11.684","1.500","2.812","146.920","115.152"
"17","LMP3","Matt Dicken","2","2:06.812","4:44.831","Green","Track","6.119","6.308","25.979","16.056","27.905","28.283","0.566","11.293","1.496","2.807","149.775","115.459"
"44","LMP3","Gary Gibson (M)","2","2:06.836","4:45.263","Green","Track","5.995","6.311","25.924","16.103","27.975","28.266","0.547","11.414","1.506","2.795","154.978","114.693"
"33","LMP3","Lance Willsey (M)","2","2:04.889","4:47.591","Green","Track","6.054","5.965","25.510","15.703","27.045","28.702","0.559","11.070","1.493","2.788","151.651","115.691"
"34","MPC","Jon Brownson","2","2:10.032","4:53.214","Green","Track","6.277","5.743","25.900","15.772","27.612","31.927","0.843","11.473","1.543","2.942","100.561","111.942"
"75","LMP3","Cameron Cassels (M)","2","2:05.931","4:54.819","Green","Track","6.163","6.521","26.166","15.773","27.641","28.140","0.553","10.745","1.474","2.755","153.296","117.183"
"51","LMP3","Rob Hodes (M)","2","2:05.447","4:57.440","Green","Track","5.944","5.917","26.004","15.837","27.851","28.222","0.559","10.864","1.476","2.773","151.651","117.024"
"11","MPC","Robert Masson","2","2:08.854","5:02.053","Green","Track","6.232","5.589","26.012","17.186","29.014","28.846","0.601","10.897","1.554","2.923","141.053","111.150"
"86","MPC","Dave House","2","2:06.259","5:02.560","Green","Track","6.220","5.681","25.743","15.901","27.848","28.817","0.589","10.953","1.567","2.940","143.927","110.228"
"28","MPC","Tazio Ottis","2","2:06.598","5:03.550","Green","Track","6.537","6.321","25.594","15.726","27.509","28.569","0.592","11.282","1.547","2.921","143.197","111.653"
"18","MPC","Wyatt Schwab","2","2:07.699","5:05.649","Green","Track","6.356","6.071","26.162","15.960","28.024","28.948","0.608","11.116","1.539","2.915","139.429","112.233"
"19","LMP3","Brad Baker (M)","2","2:08.240","5:10.923","Green","Track","6.131","6.064","26.686","15.920","28.081","29.241","0.564","11.189","1.533","2.831","150.306","112.673"
"22","MPC","Stephen Dawes","2","2:08.623","5:11.734","Green","Track","6.284","5.775","27.391","15.973","27.873","29.434","0.603","10.844","1.536","2.910","140.585","112.453"
"36","MPC","Paul LaHaye","2","2:10.711","5:14.455","Green","Track","6.368","6.249","26.745","16.898","28.721","29.432","0.606","11.137","1.576","2.979","139.889","109.599"
"24","MPC","Tim George","2","2:11.501","5:17.138","Green","Track","6.519","5.884","27.234","16.736","28.799","29.662","0.618","11.353","1.637","3.059","137.173","105.515"
"77","MPC","Howard Jacobs","2","2:16.292","5:25.528","Green","Track","6.962","6.613","27.443","16.911","29.177","31.215","0.639","12.637","1.609","3.086","132.665","107.351"
"23","LMP3","Mike Skeen","2","2:07.782","5:36.173","Green","Track","6.169","6.452","26.167","16.231","27.990","28.599","0.553","11.354","1.487","2.780","153.296","116.158"
"4","LMP3","Dean Baker (M)","2","2:03.653","5:39.437","Green","Track","5.936","5.882","26.112","15.583","27.043","27.859","0.558","10.420","1.481","2.779","151.922","116.629"
"74","LMP3","Anthony Simone","3","1:58.317","6:14.307","Green","Track","5.681","5.501","24.110","14.814","26.199","27.097","0.533","10.331","1.400","2.651","159.048","123.377"
"47","LMP3","TJ Fischer","3","1:58.960","6:20.227","Green","Track","5.671","6.079","24.421","15.050","25.834","26.881","0.534","10.385","1.422","2.683","158.750","121.468"
"7","LMP3","Leo Lamelas","3","2:02.022","6:23.013","Green","Track","5.886","6.480","25.331","15.056","26.572","27.265","0.552","10.634","1.477","2.769","153.574","116.945"
"55","LMP3","Gerry Kraut (M)","3","2:02.918","6:28.601","Green","Track","5.932","5.748","25.281","15.484","27.005","27.958","0.559","10.695","1.477","2.779","151.651","116.945"
"26","LMP3","James McGuire Jr (M)","3","2:04.057","6:31.013","Green","Track","5.900","6.199","25.776","15.505","27.198","27.848","0.555","10.783","1.495","2.798","152.744","115.537"
"3","LMP3","Max Hanratty","3","2:00.118","6:32.377","Green","Track","5.863","5.832","24.519","15.231","26.253","27.269","0.549","10.404","1.453","2.745","154.413","118.876"
"25","LMP3","Joel Janco (M)","3","2:04.921","6:37.097","Green","Track","6.053","6.209","25.621","15.764","27.193","28.324","0.561","10.907","1.491","2.798","151.110","115.847"
"30","LMP3","Kris Wright","3","1:59.805","6:37.221","Green","Track","5.807","5.402","24.486","15.202","26.508","27.131","0.543","10.558","1.453","2.715","156.119","118.876"
"42","LMP3","Jim Garrett (M)","3","2:05.962","6:44.614","Green","Track","6.081","6.151","25.691","15.703","27.538","28.745","0.563","11.205","1.486","2.799","150.573","116.236"
"44","LMP3","Gary Gibson (M)","3","2:03.242","6:48.505","Green","Track","5.933","6.055","25.038","15.313","27.069","27.967","0.550","11.004","1.509","2.804","154.132","114.465"
"17","LMP3","Matt Dicken","3","2:04.692","6:49.523","Green","Track","5.981","6.047","25.369","15.963","27.289","28.067","0.564","11.125","1.489","2.798","150.306","116.002"
"33","LMP3","Lance Willsey (M)","3","2:03.799","6:51.390","Green","Track","5.915","5.899","25.385","15.604","27.191","28.027","0.555","10.948","1.486","2.789","152.744","116.236"
"34","MPC","Jon Brownson","3","2:02.588","6:55.802","Green","Track","6.262","5.376","24.918","15.370","27.045","28.106","0.599","10.498","1.520","2.894","141.524","113.636"
"75","LMP3","Cameron Cassels (M)","3","2:03.312","6:58.131","Green","Track","5.887","6.138","25.215","15.159","26.907","27.873","0.549","11.172","1.562","2.850","154.413","110.581"
"51","LMP3","Rob Hodes (M)","3","2:03.827","7:01.267","Green","Track","5.893","5.852","25.327","15.521","27.173","28.102","0.559","11.128","1.487","2.785","151.651","116.158"
"11","MPC","Robert Masson","3","2:04.646","7:06.699","Green","Track","6.229","5.433","25.423","15.780","27.392","28.628","0.601","10.689","1.543","2.928","141.053","111.942"
"86","MPC","Dave House","3","2:06.467","7:09.027","Green","Track","6.233","5.746","25.930","15.874","27.768","28.797","0.600","11.063","1.541","2.915","141.288","112.088"
"28","MPC","Tazio Ottis","3","2:05.874","7:09.424","Green","Track","6.438","6.103","25.387","15.611","27.416","28.629","0.595","11.264","1.529","2.902","142.475","112.967"
"18","MPC","Wyatt Schwab","3","2:06.270","7:11.919","Green","Track","6.289","5.725","25.900","16.061","27.591","28.708","0.605","10.945","1.531","2.915","140.120","112.820"
"19","LMP3","Brad Baker (M)","3","2:05.192","7:16.115","Green","Track","6.034","5.933","25.812","15.478","27.477","28.172","0.561","11.373","1.523","2.829","151.110","113.413"
"36","MPC","Paul LaHaye","3","2:09.849","7:24.304","Green","Track","6.497","6.380","26.742","15.921","28.072","29.642","0.608","11.411","1.586","2.990","139.429","108.907"
"24","MPC","Tim George","3","2:10.030","7:27.168","Green","Track","6.472","5.787","26.551","16.445","28.384","29.615","0.616","11.410","1.663","3.087","137.618","103.865"
"23","LMP3","Mike Skeen","3","2:03.666","7:39.839","Green","Track","5.966","5.938","25.265","15.552","26.792","28.061","0.551","11.263","1.495","2.783","153.852","115.537"
"77","MPC","Howard Jacobs","3","2:14.472","7:40.000","Green","Track","6.914","6.691","27.185","16.557","28.875","30.770","0.629","12.158","1.626","3.067","134.774","106.228"
"4","LMP3","Dean Baker (M)","3","2:04.225","7:43.662","Green","Track","5.897","5.769","25.957","15.298","27.194","28.762","0.559","10.534","1.477","2.778","151.651","116.945"
"22","MPC","Stephen Dawes","3","2:33.204","7:44.938","Green","Track","6.245","5.686","49.703","17.350","28.518","29.733","0.603","10.821","1.564","2.981","140.585","110.439"
"74","LMP3","Anthony Simone","4","1:58.268","8:12.575","Green","Track","5.635","5.452","24.063","14.906","26.193","27.110","0.533","10.328","1.400","2.648","159.048","123.377"
"47","LMP3","TJ Fischer","4","1:57.958","8:18.185","Green","Track","5.669","5.464","24.061","14.865","26.067","26.797","0.535","10.383","1.428","2.689","158.454","120.957"
