"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"47","LMP3","TJ Fischer","1","2:04.590","2:04.590","Green","Track","6.237","6.367","25.973","15.749","27.010","27.838","0.545","10.714","1.442","2.714","155.546","119.783"
"74","LMP3","Anthony Simone","1","2:05.416","2:05.416","Green","Track","6.261","6.327","26.515","15.799","27.140","27.994","0.542","10.585","1.452","2.718","156.407","118.958"
"30","LMP3","Kris Wright","1","2:06.002","2:06.002","Green","Track","6.336","6.381","26.486","16.032","27.227","27.741","0.552","10.611","1.453","2.736","153.574","118.876"
"3","LMP3","Max Hanratty","1","2:07.026","2:07.026","Green","Track","6.397","6.490","26.887","16.150","27.317","27.965","0.557","10.585","1.463","2.760","152.195","118.064"
"7","LMP3","Leo Lamelas","1","2:07.827","2:07.827","Green","Track","6.408","6.576","27.110","16.092","27.489","27.970","0.559","10.691","1.477","2.778","151.651","116.945"
"33","LMP3","Lance Willsey (M)","1","2:09.171","2:09.171","Green","Track","6.325","6.680","27.353","16.135","27.774","28.165","0.561","10.911","1.484","2.797","151.110","116.393"
"4","LMP3","Dean Baker (M)","1","2:10.103","2:10.103","Green","Track","6.307","6.763","27.252","16.327","28.226","28.336","0.564","10.611","1.490","2.802","150.306","115.924"
"23","LMP3","Shane Lewis","1","2:11.141","2:11.141","Green","Track","6.434","7.040","27.006","16.453","28.124","28.670","0.559","11.108","1.490","2.787","151.651","115.924"
"44","LMP3","Gary Gibson (M)","1","2:12.051","2:12.051","Green","Track","6.400","6.840","28.506","16.194","28.127","28.752","0.555","11.192","1.523","2.817","152.744","113.413"
"55","LMP3","Gerry Kraut (M)","1","2:12.584","2:12.584","Green","Track","6.416","7.337","28.527","16.670","28.202","28.691","0.561","10.951","1.472","2.777","151.110","117.342"
"17","LMP3","Matt Dicken","1","2:14.558","2:14.558","Green","Track","6.523","6.985","28.274","16.676","28.845","28.759","0.569","11.543","1.514","2.835","148.985","114.087"
"25","LMP3","Joel Janco (M)","1","2:15.247","2:15.247","Green","Track","6.575","7.187","28.621","16.618","28.607","28.858","0.564","11.646","1.523","2.841","150.306","113.413"
"75","LMP3","Cameron Cassels (M)","1","2:16.535","2:16.535","Green","Track","6.580","7.426","29.039","18.008","29.042","28.951","0.560","11.298","1.513","2.804","151.380","114.162"
"42","LMP3","Jim Garrett (M)","1","2:18.558","2:18.558","Green","Track","6.609","7.144","28.876","17.206","29.370","29.319","0.559","12.208","1.569","2.881","151.651","110.087"
"34","MPC","Jon Brownson","1","2:19.640","2:19.640","Green","Track","6.609","7.339","28.995","17.621","28.985","29.299","0.607","12.102","1.574","2.981","139.659","109.738"
"26","LMP3","James McGuire Jr (M)","1","2:20.387","2:20.387","Green","Track","6.558","7.555","29.368","17.310","29.934","29.013","0.569","12.568","1.561","2.904","148.985","110.652"
"19","LMP3","Brad Baker (M)","1","2:20.430","2:20.430","Green","Track","6.488","7.621","29.876","17.968","29.488","29.758","0.564","11.681","1.530","2.826","150.306","112.894"
"11","MPC","Robert Masson","1","2:21.381","2:21.381","Green","Track","6.710","7.053","29.688","17.880","29.876","29.493","0.603","11.762","1.564","2.934","140.585","110.439"
"86","MPC","Dave House","1","2:22.695","2:22.695","Green","Track","6.160","6.674","28.645","17.383","30.115","30.051","0.604","11.997","1.601","2.973","140.352","107.887"
"18","MPC","Wyatt Schwab","1","2:23.116","2:23.116","Green","Track","6.587","7.171","29.272","17.850","30.402","30.140","0.611","11.917","1.573","2.975","138.744","109.808"
"51","LMP3","Rob Hodes (M)","1","2:23.498","2:23.498","Green","Track","6.442","7.509","29.221","18.667","28.872","28.856","0.555","17.080","1.567","2.872","152.744","110.228"
"28","MPC","Tazio Ottis","1","2:24.022","2:24.022","Green","Track","6.756","7.293","29.559","17.770","29.959","30.797","0.614","12.774","1.604","2.989","138.066","107.685"
"22","MPC","Stephen Dawes","1","2:24.504","2:24.504","Green","Track","6.569","6.683","30.141","16.859","31.090","29.862","0.601","12.443","1.633","3.017","141.053","105.773"
"24","MPC","Tim George","1","2:24.842","2:24.842","Green","Track","6.468","6.950","29.923","17.668","30.558","30.037","0.603","12.025","1.658","3.074","140.585","104.178"
"36","MPC","Paul LaHaye","1","2:26.009","2:26.009","Green","Track","6.578","7.098","29.665","17.717","30.335","30.724","0.601","12.252","1.695","3.097","141.053","101.904"
"77","MPC","Howard Jacobs","1","2:28.166","2:28.166","Green","Track","6.983","7.020","29.033","17.580","30.598","30.995","0.648","12.684","1.639","3.096","130.822","105.386"
"47","LMP3","TJ Fischer","2","2:01.235","4:05.825","Green","Track","5.766","5.868","24.853","15.341","26.459","27.312","0.543","10.884","1.469","2.740","156.119","117.582"
"74","LMP3","Anthony Simone","2","2:00.526","4:05.942","Green","Track","5.732","5.644","24.833","15.220","26.539","27.436","0.537","10.454","1.434","2.697","157.864","120.451"
"30","LMP3","Kris Wright","2","2:01.473","4:07.475","Green","Track","5.786","5.588","24.877","15.533","26.722","27.492","0.550","10.672","1.485","2.768","154.132","116.315"
"3","LMP3","Max Hanratty","2","2:01.950","4:08.976","Green","Track","5.918","5.643","25.215","15.567","26.624","27.552","0.556","10.621","1.479","2.775","152.469","116.787"
"7","LMP3","Leo Lamelas","2","2:01.596","4:09.423","Green","Track","5.887","5.804","25.010","15.356","26.647","27.529","0.554","10.544","1.487","2.778","153.019","116.158"
"33","LMP3","Lance Willsey (M)","2","2:04.198","4:13.369","Green","Track","5.969","5.911","25.498","15.850","27.002","28.273","0.564","10.838","1.491","2.802","150.306","115.847"
"4","LMP3","Dean Baker (M)","2","2:04.063","4:14.166","Green","Track","5.906","5.786","25.916","15.560","27.274","28.356","0.564","10.416","1.490","2.795","150.306","115.924"
"23","LMP3","Shane Lewis","2","2:03.731","4:14.872","Green","Track","5.959","6.029","25.566","15.536","27.144","27.942","0.553","10.749","1.479","2.774","153.296","116.787"
"44","LMP3","Gary Gibson (M)","2","2:04.794","4:16.845","Green","Track","5.964","6.054","25.550","15.641","27.273","28.060","0.553","11.349","1.528","2.822","153.296","113.041"
"55","LMP3","Gerry Kraut (M)","2","2:04.585","4:17.169","Green","Track","5.952","5.965","25.888","15.798","27.237","28.233","0.560","10.677","1.488","2.787","151.380","116.080"
"17","LMP3","Matt Dicken","2","2:06.399","4:20.957","Green","Track","6.031","6.007","25.760","15.934","27.682","28.587","0.572","11.488","1.511","2.827","148.204","114.313"
"25","LMP3","Joel Janco (M)","2","2:06.233","4:21.480","Green","Track","5.991","6.117","25.993","16.042","27.319","28.646","0.564","11.249","1.501","2.811","150.306","115.075"
"75","LMP3","Cameron Cassels (M)","2","2:05.319","4:21.854","Green","Track","5.958","6.096","25.831","15.723","27.479","28.227","0.572","11.172","1.488","2.773","148.204","116.080"
"42","LMP3","Jim Garrett (M)","2","2:08.691","4:27.249","Green","Track","6.211","6.410","26.410","16.180","27.972","28.939","0.565","11.657","1.513","2.834","150.040","114.162"
"19","LMP3","Brad Baker (M)","2","2:07.162","4:27.592","Green","Track","6.173","6.258","26.345","15.989","27.311","28.480","0.563","11.661","1.541","2.841","150.573","112.088"
"26","LMP3","James McGuire Jr (M)","2","2:08.590","4:28.977","Green","Track","6.367","6.452","27.067","16.051","28.239","28.476","0.567","11.027","1.515","2.829","149.511","114.011"
"11","MPC","Robert Masson","2","2:10.006","4:31.387","Green","Track","6.285","5.893","27.600","16.674","28.168","29.183","0.611","11.075","1.567","2.950","138.744","110.228"
