"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"90","P","Tristan Vautier","1","2:11.996","2:11.996","Green","Track","0.000","10.411","27.417","15.492","26.953","26.153","0.517","10.314","1.326","2.491","163.970","130.262"
"5","P","Filipe Albuquerque","1","2:15.170","2:15.170","Green","Track","0.000","11.032","28.093","16.612","27.982","26.527","0.506","10.437","1.349","2.526","167.535","128.041"
"31","P","Felipe Nasr","1","2:31.650","2:31.650","Green","Track","0.000","11.792","27.386","26.200","32.151","28.233","0.638","12.572","1.409","2.587","132.873","122.589"
"96","GTD","Markus Palttala","1","2:32.746","2:32.746","Green","Track","559.879","11.348","29.493","17.834","31.047","30.391","0.609","13.496","1.581","2.874","139.200","109.252"
"36","GTD","Marc Miller","1","2:33.042","2:33.042","Green","Track","545.843","10.688","28.216","17.528","30.463","30.596","0.616","13.154","1.567","2.849","137.618","110.228"
"52","P","Sebastian Saavedra","1","2:35.110","2:35.110","Green","Track","535.850","11.393","28.822","16.419","29.349","28.076","0.631","11.880","1.403","2.567","134.347","123.113"
"71","GTD","Kenton Koch","1","2:46.190","2:46.190","Green","Track","420.007","10.593","30.997","18.196","31.082","30.106","0.604","13.010","1.560","2.933","140.352","110.723"
"912","GTLM","Earl Bamber","1","2:50.183","2:50.183","Green","Pit","267.353","9.697","29.452","17.114","28.765","28.760","0.554","12.625","4.116","9.750","153.019","41.965"
"73","GTD","Joerg Bergmeister","1","2:50.991","2:50.991","Green","Track","152.066","11.029","29.102","16.854","29.315","29.272","0.563","11.851","1.504","2.795","150.573","114.845"
"63","GTD","Alessandro Balzan","1","2:56.826","2:56.826","Green","Pit","539.313","12.033","31.037","18.738","32.221","31.239","0.677","15.090","4.093","9.673","125.218","42.201"
"86","GTD","Katherine Legge","1","2:58.575","2:58.575","Green","Track","487.093","10.913","28.908","16.782","28.650","29.304","0.553","11.932","1.505","2.799","153.296","114.769"
"911","GTLM","Nick Tandy","1","3:00.993","3:00.993","Green","Pit","261.168","10.827","31.102","17.995","31.898","30.752","0.711","13.460","4.166","9.780","119.230","41.461"
