"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"86","GTD","Katherine Legge","1","2:21.435","2:21.435","Green","Track","544.330","10.651","27.016","15.938","27.552","28.414","0.550","11.047","1.477","2.764","154.132","116.945"
"48","GTD","Madison Snow","1","2:25.606","2:25.606","Green","Track","562.624","10.977","27.422","16.359","28.181","29.861","0.546","11.134","1.494","2.775","155.261","115.614"
"63","GTD","Gunnar Jeannette","1","2:31.783","2:31.783","Green","Track","573.119","10.470","28.707","16.200","28.549","31.168","0.558","11.110","1.471","2.749","151.922","117.422"
"33","GTD","Ben Keating","1","2:32.957","2:32.957","Green","Track","0.000","11.980","30.597","17.226","29.379","29.772","0.548","11.333","1.496","2.782","154.695","115.459"
"75","GTD","Thomas Jaeger","1","2:40.607","2:40.607","Green","Track","534.092","13.270","32.631","18.415","30.530","29.599","0.553","12.016","1.548","2.884","153.296","111.581"
"96","GTD","Don Yount","1","2:43.952","2:43.952","Green","Track","23.670","11.131","29.110","16.750","30.378","29.212","0.544","11.438","1.520","2.804","155.832","113.636"
"73","GTD","Timothy Pappas","1","2:57.707","2:57.707","Green","Track","23.466","12.172","35.458","19.056","32.140","29.913","0.566","11.926","1.523","2.816","149.775","113.413"
"44","GTD","John Potter","1","3:07.845","3:07.845","Green","Track","326.563","12.014","32.810","21.149","34.074","31.928","0.559","12.016","1.539","2.847","151.651","112.233"
"64","GTD","Frank Montecalvo","1","3:22.473","3:22.473","Green","Track","0.000","12.640","35.277","17.258","29.133","29.813","0.553","11.128","1.467","2.757","153.296","117.742"
"69","GTD","Tom Dyer","1","3:32.177","3:32.177","Green","Track","23.538","12.276","33.078","17.863","31.088","29.173","0.548","11.446","1.506","2.808","154.695","114.693"
"58","GTD","Christina Nielsen","1","3:43.436","3:43.436","Green","Track","23.652","13.194","31.191","17.070","30.470","29.948","0.558","11.993","1.529","2.813","151.922","112.967"
"51","GTD","Daniel Serra","1","3:56.310","3:56.310","Green","Track","25.432","11.892","29.655","17.346","30.600","31.966","0.644","12.560","1.520","2.887","131.635","113.636"
"36","GTD","Marc Miller","1","3:59.333","3:59.333","Green","Track","22.903","11.300","27.926","16.265","28.011","31.153","0.574","11.441","1.471","2.743","147.688","117.422"
"71","GTD","Kenton Koch","1","4:17.189","4:17.189","Green","Track","0.000","10.074","27.684","16.418","28.444","28.669","0.582","11.185","1.495","2.792","145.658","115.537"
"86","GTD","Katherine Legge","2","2:01.331","4:22.766","Green","Track","5.794","5.913","24.843","15.077","26.655","27.699","0.541","10.632","1.450","2.727","156.696","119.122"
"48","GTD","Madison Snow","2","2:01.174","4:26.780","Green","Track","5.789","5.760","24.855","15.073","26.627","27.690","0.542","10.617","1.475","2.746","156.407","117.103"
"63","GTD","Gunnar Jeannette","2","2:00.325","4:32.108","Green","Track","5.794","5.706","24.676","15.088","26.456","27.368","0.543","10.519","1.453","2.722","156.119","118.876"
"33","GTD","Ben Keating","2","2:02.008","4:34.965","Green","Track","5.830","5.933","25.092","15.206","26.927","27.541","0.545","10.720","1.468","2.746","155.546","117.662"
"75","GTD","Thomas Jaeger","2","2:04.945","4:45.552","Green","Track","6.011","6.069","25.662","15.909","27.722","28.120","0.547","10.697","1.463","2.745","154.978","118.064"
"96","GTD","Don Yount","2","2:03.663","4:47.615","Green","Track","5.815","6.047","25.478","15.413","27.220","28.011","0.543","10.870","1.500","2.766","156.119","115.152"
"29","GTD","Christopher Mies","1","4:57.973","4:57.973","Green","Track","701.381","12.087","28.577","16.531","28.935","30.255","0.613","11.854","1.510","2.798","138.292","114.389"
"73","GTD","Timothy Pappas","2","2:07.407","5:05.114","Green","Track","6.069","6.421","26.031","15.802","27.925","28.812","0.555","11.410","1.545","2.837","152.744","111.798"
"44","GTD","John Potter","2","2:03.800","5:11.645","Green","Track","5.946","6.010","25.245","15.468","27.201","28.260","0.554","10.838","1.491","2.787","153.019","115.847"
"15","GTD","Jack Hawksworth","1","5:21.136","5:21.136","Green","Track","724.353","11.664","28.995","16.538","27.726","28.230","0.542","10.454","1.458","2.719","156.407","118.469"
"64","GTD","Frank Montecalvo","2","2:01.285","5:23.758","Green","Track","5.765","5.722","25.106","15.101","26.497","27.687","0.548","10.634","1.472","2.753","154.695","117.342"
"14","GTD","Dominik Baumann","1","5:29.309","5:29.309","Green","Track","718.391","11.869","30.169","17.730","29.732","28.961","0.549","11.449","1.469","2.729","154.413","117.582"
"69","GTD","Tom Dyer","2","2:04.462","5:36.639","Green","Track","5.879","5.941","25.083","15.601","28.355","27.920","0.552","10.911","1.469","2.751","153.574","117.582"
"58","GTD","Christina Nielsen","2","2:04.282","5:47.718","Green","Track","5.905","6.238","25.707","15.489","27.106","28.027","0.546","11.010","1.487","2.767","155.261","116.158"
"51","GTD","Daniel Serra","2","2:07.806","6:04.116","Green","Track","7.029","6.329","25.402","15.717","28.505","29.199","0.539","10.924","1.449","2.713","157.278","119.204"
"36","GTD","Marc Miller","2","2:08.183","6:07.516","Green","Track","5.764","6.079","25.705","16.018","29.371","29.622","0.547","10.860","1.475","2.742","154.978","117.103"
"71","GTD","Kenton Koch","2","2:02.053","6:19.242","Green","Track","5.824","5.768","24.844","15.099","27.039","27.861","0.555","10.778","1.494","2.791","152.744","115.614"
"86","GTD","Katherine Legge","3","2:00.636","6:23.402","Green","Track","5.709","5.576","24.519","14.952","26.675","27.841","0.548","10.636","1.450","2.730","154.695","119.122"
"48","GTD","Madison Snow","3","2:00.327","6:27.107","Green","Track","5.697","5.691","24.541","15.002","26.443","27.574","0.542","10.617","1.476","2.744","156.407","117.024"
"63","GTD","Gunnar Jeannette","3","1:59.609","6:31.717","Green","Track","5.698","5.680","24.403","14.934","26.325","27.385","0.544","10.466","1.454","2.720","155.832","118.795"
"33","GTD","Ben Keating","3","2:00.774","6:35.739","Green","Track","5.759","5.749","24.628","15.171","26.496","27.676","0.548","10.532","1.468","2.747","154.695","117.662"
"75","GTD","Thomas Jaeger","3","2:00.270","6:45.822","Green","Track","5.784","5.662","24.641","14.897","26.394","27.592","0.548","10.543","1.463","2.746","154.695","118.064"
"96","GTD","Don Yount","3","2:03.227","6:50.842","Green","Track","5.739","5.830","25.389","15.484","27.380","27.832","0.540","10.758","1.506","2.769","156.987","114.693"
"29","GTD","Christopher Mies","2","2:09.495","7:07.468","Green","Track","5.853","6.014","25.151","15.188","26.721","33.767","0.962","11.614","1.474","2.751","88.121","117.183"
"73","GTD","Timothy Pappas","3","2:05.639","7:10.753","Green","Track","5.969","6.231","25.644","15.648","27.639","28.486","0.552","11.189","1.499","2.782","153.574","115.228"
"44","GTD","John Potter","3","2:02.815","7:14.460","Green","Track","5.841","5.868","24.794","15.401","27.031","28.299","0.553","10.763","1.487","2.778","153.296","116.158"
"15","GTD","Jack Hawksworth","2","2:00.155","7:21.291","Green","Track","5.684","5.594","24.557","15.019","26.293","27.440","0.541","10.737","1.510","2.780","156.696","114.389"
"64","GTD","Frank Montecalvo","3","2:00.853","7:24.611","Green","Track","5.743","5.614","24.827","14.907","26.639","27.812","0.550","10.559","1.463","2.739","154.132","118.064"
"14","GTD","Dominik Baumann","2","2:02.045","7:31.354","Green","Track","5.821","6.088","25.291","15.300","26.670","27.726","0.540","10.452","1.448","2.709","156.987","119.287"
"69","GTD","Tom Dyer","3","2:00.684","7:37.323","Green","Track","5.768","5.717","24.819","15.012","26.514","27.443","0.551","10.638","1.474","2.748","153.852","117.183"
"58","GTD","Christina Nielsen","3","2:01.352","7:49.070","Green","Track","5.793","5.812","24.744","15.241","26.439","27.742","0.546","10.795","1.482","2.758","155.261","116.550"
"51","GTD","Daniel Serra","3","1:59.740","8:03.856","Green","Track","5.710","5.622","24.330","14.967","26.163","27.530","0.539","10.733","1.444","2.702","157.278","119.617"
"36","GTD","Marc Miller","3","2:01.119","8:08.635","Green","Track","5.793","5.815","24.700","15.161","26.554","27.624","0.547","10.723","1.467","2.735","154.978","117.742"
"71","GTD","Kenton Koch","3","2:01.234","8:20.476","Green","Track","5.832","5.652","24.724","15.196","26.583","27.783","0.553","10.641","1.492","2.778","153.296","115.769"
"86","GTD","Katherine Legge","4","2:00.198","8:23.600","Green","Track","5.694","5.592","24.536","15.067","26.333","27.690","0.550","10.563","1.461","2.712","154.132","118.225"
"48","GTD","Madison Snow","4","2:00.054","8:27.161","Green","Track","5.709","5.620","24.518","14.994","26.387","27.517","0.542","10.559","1.472","2.736","156.407","117.342"
"33","GTD","Ben Keating","4","2:00.842","8:36.581","Green","Track","5.747","5.779","24.870","15.119","26.450","27.662","0.547","10.507","1.446","2.715","154.978","119.452"
"63","GTD","Gunnar Jeannette","4","2:10.287","8:42.004","Green","Pit","5.708","5.553","24.516","14.906","26.416","27.681","0.546","11.620","3.705","9.636","155.261","46.620"
"75","GTD","Thomas Jaeger","4","1:59.952","8:45.774","Green","Track","5.760","5.614","24.508","14.913","26.404","27.563","0.546","10.472","1.449","2.723","155.261","119.204"
