"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"90","P","Tristan Vautier","1","1:52.316","1:52.316","Green","Track","5.543","5.784","23.465","14.300","24.348","25.093","0.505","9.505","1.306","2.466","167.867","132.257"
"7","P","Ricky Taylor","1","1:53.188","1:53.188","Green","Track","5.471","5.792","23.851","14.357","24.638","25.034","0.496","9.565","1.314","2.460","170.913","131.452"
"31","P","Felipe Nasr","1","1:54.073","1:54.073","Green","Track","5.601","5.610","23.907","14.387","24.933","25.263","0.502","9.512","1.322","2.482","168.870","130.656"
"6","P","Juan Pablo Montoya","1","1:54.432","1:54.432","Green","Track","5.491","5.999","23.995","14.397","25.021","25.193","0.490","9.575","1.308","2.448","173.006","132.054"
"5","P","Filipe Albuquerque","1","1:55.493","1:55.493","Green","Track","5.530","5.987","24.386","14.679","24.989","25.211","0.503","9.732","1.319","2.482","168.534","130.953"
"10","P","Renger Van Der Zande","1","1:56.125","1:56.125","Green","Track","5.497","6.200","24.196","14.850","25.087","25.349","0.504","9.805","1.323","2.483","168.200","130.557"
"22","P","Pipo Derani","1","1:56.635","1:56.635","Green","Track","5.395","6.605","24.540","15.010","25.076","25.349","0.488","10.070","1.308","2.433","173.715","132.054"
"54","P","Colin Braun","1","1:57.088","1:57.088","Green","Track","5.491","6.353","24.731","14.865","25.262","25.260","0.497","9.849","1.323","2.471","170.569","130.557"
"52","P","Sebastian Saavedra","1","1:58.304","1:58.304","Green","Track","5.710","5.899","25.350","15.005","25.886","25.126","0.502","9.750","1.336","2.495","168.870","129.287"
"38","P","Pato O'Ward","1","1:59.333","1:59.333","Green","Track","5.635","6.017","25.590","15.178","26.049","25.613","0.500","10.019","1.304","2.443","169.545","132.460"
"55","P","Jonathan Bomarito","1","1:59.444","1:59.444","Green","Track","5.710","5.994","25.159","15.143","26.143","25.436","0.491","10.070","1.322","2.457","172.653","130.656"
"32","P","Paul Di Resta","1","2:00.082","2:00.082","Green","Track","5.695","5.806","25.127","15.751","25.806","25.751","0.498","9.932","1.341","2.494","170.226","128.805"
"77","P","Rene Rast","1","2:00.347","2:00.347","Green","Track","5.622","6.016","24.957","16.121","25.642","25.524","0.496","10.155","1.313","2.448","170.913","131.552"
"85","P","Simon Trummer","1","2:01.408","2:01.408","Green","Track","5.572","6.601","25.445","15.827","25.892","25.943","0.493","10.342","1.358","2.499","171.953","127.192"
"24","GTLM","Jesse Krohn","1","2:03.770","2:03.770","Green","Track","5.836","6.088","25.575","15.445","26.491","26.891","0.525","10.407","1.428","2.663","161.472","120.957"
