"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"10","P","Ricky Taylor","1","2:13.039","2:13.039","Yellow","Track","1.410","19.810","23.259","9.181","9.040","0.427","4.435","0.405","22.350","29.208","13.513","157.148","165.685"
"22","P","Johannes van Overbeek","1","2:14.075","2:14.075","Yellow","Track","1.387","20.214","23.732","9.379","8.932","0.419","4.323","0.405","22.753","28.764","13.528","160.149","165.685"
"31","P","Eric Curran","1","2:15.175","2:15.175","Yellow","Track","1.398","20.608","23.821","9.205","8.984","0.421","4.338","0.429","22.741","29.463","13.451","159.388","156.416"
"5","P","Christian Fittipaldi","1","2:16.643","2:16.643","Yellow","Track","1.395","20.996","23.875","9.255","8.947","0.420","4.337","0.413","22.705","30.491","13.277","159.767","162.475"
"55","P","Jonathan Bomarito","1","2:17.931","2:17.931","Yellow","Track","1.371","21.318","24.119","9.510","8.996","0.424","4.420","0.434","22.877","30.812","13.186","158.260","154.614"
"85","P","Misha Goikhberg","1","2:18.774","2:18.774","Yellow","Track","1.361","21.215","24.480","10.111","9.004","0.416","4.284","0.402","23.288","30.057","13.371","161.304","166.921"
"90","P","Marc Goossens","1","2:19.595","2:19.595","Yellow","Track","1.405","20.874","24.552","9.383","9.248","0.433","4.491","0.407","23.579","30.429","13.544","154.971","164.870"
"70","P","Tom Long","1","2:20.387","2:20.387","Yellow","Track","1.342","22.708","24.700","9.516","9.096","0.423","4.357","0.392","22.776","30.792","13.265","158.634","171.179"
"26","PC","Stefan Wilson","1","2:21.516","2:21.516","Yellow","Track","1.423","21.692","25.746","9.755","9.566","0.446","4.614","0.415","23.360","29.138","13.594","150.454","161.692"
"20","PC","Don Yount","1","2:22.862","2:22.862","Yellow","Track","1.442","22.238","25.564","9.934","9.529","0.442","4.618","0.464","23.867","28.662","14.156","151.815","144.617"
"38","PC","James French","1","2:23.737","2:23.737","Yellow","Track","1.400","23.254","25.505","10.198","9.450","0.442","4.573","0.422","23.750","29.057","14.247","151.815","159.010"
"24","GTLM","John Edwards","1","2:24.767","2:24.767","Yellow","Track","1.454","21.250","25.525","9.742","9.777","0.453","4.656","0.436","23.981","29.428","14.461","148.129","153.904"
"25","GTLM","Alexander Sims","1","2:25.521","2:25.521","Yellow","Track","1.445","21.328","25.461","9.879","9.669","0.447","4.610","0.460","24.334","29.811","14.281","150.117","145.875"
"3","GTLM","Jan Magnussen","1","2:26.668","2:26.668","Yellow","Track","1.462","21.506","25.409","9.693","9.662","0.450","4.613","0.466","24.513","29.994","14.814","149.116","143.996"
"911","GTLM","Patrick Pilet","1","2:28.624","2:28.624","Yellow","Track","1.445","21.534","25.570","9.696","9.701","0.453","4.643","0.460","25.055","31.222","14.432","148.129","145.875"
"2","P","Scott Sharp","1","2:29.933","2:29.933","Yellow","Track","1.356","26.740","25.721","9.342","8.994","0.418","4.303","0.435","25.488","31.623","14.742","160.532","154.258"
"28","GTD","Mathieu Jaminet","1","2:31.060","2:31.060","Yellow","Track","1.457","22.704","25.897","9.764","9.953","0.463","4.757","0.426","24.142","31.412","14.955","144.929","157.517"
"48","GTD","Madison Snow","1","2:32.015","2:32.015","Yellow","Track","1.463","22.709","25.836","9.823","9.928","0.457","4.664","0.417","25.142","31.309","14.860","146.832","160.917"
"73","GTD","Patrick Lindsey","1","2:32.983","2:32.983","Yellow","Track","1.458","22.774","25.786","9.798","9.904","0.460","4.727","0.449","25.241","31.371","15.059","145.875","149.448"
"57","GTD","Andrew Davis","1","2:34.055","2:34.055","Yellow","Track","1.479","22.956","25.990","9.747","10.061","0.468","4.811","0.432","25.060","31.679","15.155","143.381","155.329"
