"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"10","P","Ricky Taylor","1","1:11.345","1:11.345","Green","Track","2.973","18.758","21.869","10.673","0.402","6.792","3.868","6.009","169.889"
"85","P","Misha Goikhberg","1","1:12.353","1:12.353","Green","Track","3.066","19.205","22.176","10.495","0.395","6.795","3.893","6.259","172.900"
"2","P","Scott Sharp","1","1:13.663","1:13.663","Green","Track","3.038","19.887","22.523","10.581","0.399","6.878","3.957","6.179","171.167"
"55","P","Jonathan Bomarito","1","1:14.098","1:14.098","Green","Track","3.052","19.873","22.650","10.443","0.394","7.004","4.001","6.182","173.339"
"22","P","Johannes van Overbeek","1","1:14.979","1:14.979","Green","Track","3.118","20.370","22.986","10.466","0.394","6.929","4.012","6.229","173.339"
"5","P","Christian Fittipaldi","1","1:15.484","1:15.484","Green","Track","3.187","20.507","22.846","10.653","0.400","7.170","4.012","6.121","170.739"
"70","P","Tom Long","1","1:16.176","1:16.176","Green","Track","3.222","20.694","23.059","10.499","0.400","7.039","3.978","6.239","170.739"
"90","P","Marc Goossens","1","1:16.675","1:16.675","Green","Track","3.289","20.556","23.202","10.847","0.410","7.158","4.022","6.372","166.574"
"31","P","Eric Curran","1","1:16.962","1:16.962","Green","Track","3.149","20.783","23.577","10.624","0.397","7.236","4.022","6.332","172.029"
"52","P","Nicholas Boulle","1","1:17.514","1:17.514","Green","Track","3.364","20.914","23.374","10.534","0.395","7.272","4.247","6.242","172.900"
"26","PC","Garett Grist","1","1:18.759","1:18.759","Green","Track","3.195","21.180","23.654","11.130","0.424","7.370","4.054","6.254","161.074"
"38","PC","James French","1","1:19.203","1:19.203","Green","Track","3.340","21.449","23.717","11.016","0.416","7.309","4.236","6.320","164.172"
"20","PC","Don Yount","1","1:21.073","1:21.073","Green","Track","3.483","21.652","24.366","11.125","0.420","7.521","4.156","6.563","162.608"
"25","GTLM","Bill Auberlen","1","1:22.231","1:22.231","Green","Track","3.081","20.618","23.380","11.437","0.431","7.479","4.192","6.504","158.458"
"24","GTLM","Martin Tomczyk","1","1:22.712","1:22.712","Green","Track","3.064","20.594","23.556","11.382","0.428","7.564","4.209","6.442","159.569"
"911","GTLM","Dirk Werner","1","1:23.133","1:23.133","Green","Track","3.194","20.789","23.490","11.422","0.425","7.617","4.167","6.489","160.695"
"912","GTLM","Laurens Vanthoor","1","1:23.466","1:23.466","Green","Track","3.249","20.945","23.539","11.445","0.426","7.576","4.180","6.449","160.318"
"66","GTLM","Joey Hand","1","1:24.137","1:24.137","Green","Track","3.198","21.395","23.660","11.493","0.428","7.634","4.098","6.481","159.569"
"67","GTLM","Ryan Briscoe","1","1:24.919","1:24.919","Green","Track","3.292","21.614","23.823","11.600","0.433","7.674","4.097","6.562","157.726"
"3","GTLM","Jan Magnussen","1","1:25.277","1:25.277","Green","Track","3.208","21.527","24.014","11.462","0.427","7.640","4.076","6.635","159.943"
"4","GTLM","Oliver Gavin","1","1:25.832","1:25.832","Green","Track","3.326","21.666","24.152","11.464","0.427","7.661","4.196","6.596","159.943"
"14","GTD","Sage Karam","1","1:27.016","1:27.016","Green","Track","3.310","21.699","24.560","11.655","0.432","7.703","4.264","6.767","158.091"
"57","GTD","Andrew Davis","1","1:27.433","1:27.433","Green","Track","3.294","21.835","24.673","11.720","0.435","7.648","4.328","6.656","157.001"
"86","GTD","Jeff Segal","1","1:28.321","1:28.321","Green","Track","3.257","22.009","24.848","11.648","0.433","7.991","4.259","6.765","157.726"
"48","GTD","Bryan Sellers","1","1:28.814","1:28.814","Green","Track","3.268","22.324","24.996","11.676","0.436","7.985","4.299","6.734","156.641"
