"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"5","P","Christian Fittipaldi","1","1:29.139","1:29.139","Green","Track","3.460","12.262","0.531","13.850","10.289","8.910","0.525","13.355","9.888","9.836","2.177","4.055","148.947","154.545"
"85","P","Misha Goikhberg","1","1:30.306","1:30.306","Green","Track","3.676","12.691","0.525","13.771","10.404","8.942","0.522","13.417","10.379","9.591","2.143","3.971","150.649","155.434"
"31","P","Eric Curran","1","1:30.979","1:30.979","Green","Track","3.711","12.765","0.532","14.151","10.434","9.040","0.529","13.583","10.132","9.625","2.193","4.070","148.667","153.377"
"55","P","Jonathan Bomarito","1","1:31.510","1:31.510","Green","Track","3.823","12.556","0.530","14.378","10.542","8.873","0.526","13.852","10.193","9.659","2.167","4.001","149.228","154.252"
"70","P","Tom Long","1","1:32.168","1:32.168","Green","Track","3.938","12.727","0.521","14.254","10.693","8.887","0.530","13.870","10.273","9.746","2.169","4.011","151.806","153.087"
"2","P","Scott Sharp","1","1:32.628","1:32.628","Green","Track","3.878","13.115","0.531","14.615","10.869","8.904","0.516","13.522","10.244","9.875","2.166","3.988","148.947","157.241"
"10","P","Ricky Taylor","1","1:33.145","1:33.145","Green","Track","3.751","12.384","0.517","14.372","11.085","9.071","0.524","13.301","10.109","9.840","2.191","4.035","152.980","154.840"
"90","P","Renger Van Der Zande","1","1:33.802","1:33.802","Green","Track","3.654","12.530","0.538","14.577","11.536","9.190","0.530","13.465","9.969","9.922","2.250","4.112","147.009","153.087"
"38","PC","James French","1","1:35.574","1:35.574","Green","Track","3.873","12.986","0.591","15.339","11.120","9.230","0.553","13.962","10.362","10.141","2.272","4.192","133.826","146.720"
"26","PC","Tomy Drissi","1","1:39.262","1:39.262","Green","Track","4.113","13.320","0.562","14.866","11.355","9.550","0.627","14.829","10.993","10.573","2.346","4.317","140.731","129.404"
"22","P","Ed Brown","1","1:40.230","1:40.230","Green","Track","4.545","13.406","0.578","15.175","11.161","9.178","0.626","15.298","11.177","10.751","2.279","4.251","136.835","129.611"
"20","PC","Don Yount","1","1:41.562","1:41.562","Green","Track","4.377","13.486","0.566","15.515","11.230","9.363","0.606","14.873","11.131","11.023","2.347","4.428","139.737","133.888"
"57","GTD","Lawson Aschenbach","1","1:41.869","1:41.869","Green","Track","3.564","13.167","0.578","13.948","10.529","9.870","0.577","13.552","10.305","10.358","2.403","4.434","136.835","140.618"
"93","GTD","Katherine Legge","1","1:43.649","1:43.649","Green","Track","3.855","13.117","0.566","14.165","10.833","9.705","0.567","13.874","10.741","10.624","2.385","4.390","139.737","143.098"
"48","GTD","Bryan Sellers","1","1:44.073","1:44.073","Green","Track","3.866","13.138","0.566","14.310","10.754","9.785","0.566","13.551","10.624","10.702","2.411","4.421","139.737","143.350"
"16","GTD","Corey Lewis","1","1:44.515","1:44.515","Green","Track","3.831","13.379","0.578","14.411","10.586","9.897","0.576","13.624","10.632","10.460","2.434","4.487","136.835","140.862"
"28","GTD","Daniel Morad","1","1:45.076","1:45.076","Green","Track","3.750","13.705","0.579","14.489","10.679","9.792","0.567","13.748","10.614","10.539","2.409","4.424","136.599","143.098"
"14","GTD","Scott Pruett","1","1:46.161","1:46.161","Green","Track","3.863","13.565","0.571","15.245","10.955","9.880","0.566","14.017","10.576","10.332","2.403","4.406","138.513","143.350"
"63","GTD","Christina Nielsen","1","1:47.130","1:47.130","Green","Track","3.932","13.519","0.576","15.232","11.082","9.745","0.566","14.125","10.775","10.567","2.382","4.375","137.311","143.350"
"33","GTD","Ben Keating","1","1:48.054","1:48.054","Green","Track","3.869","13.482","0.576","15.818","11.240","9.847","0.566","13.833","11.334","10.488","2.419","4.442","137.311","143.350"
"50","GTD","Cooper MacNeil","1","1:48.486","1:48.486","Green","Track","3.837","13.547","0.580","15.563","11.426","9.818","0.574","13.924","10.924","10.787","2.418","4.452","136.364","141.353"
"96","GTD","Bret Curtis","1","1:48.824","1:48.824","Green","Track","3.843","13.665","0.566","15.417","11.568","9.797","0.563","14.087","10.947","10.695","2.403","4.377","139.737","144.114"
"73","GTD","Joerg Bergmeister","1","1:49.300","1:49.300","Green","Track","3.816","13.706","0.573","15.420","11.515","9.723","0.574","14.157","10.778","10.997","2.412","4.400","138.030","141.353"
"15","GTD","Robert Alon","1","1:49.728","1:49.728","Green","Track","3.986","14.192","0.578","15.668","11.568","9.774","0.559","14.179","10.905","10.810","2.433","4.469","136.835","145.146"
"86","GTD","Oswaldo Negri Jr.","1","1:50.137","1:50.137","Green","Track","3.977","13.667","0.573","15.702","11.675","9.838","0.584","14.301","10.836","10.655","2.405","4.425","138.030","138.932"
"54","GTD","Jonathan Bennett","1","1:51.336","1:51.336","Green","Track","3.995","13.954","0.574","16.188","11.896","9.867","0.582","14.432","11.019","10.862","2.468","4.468","137.789","139.410"
"52","P","Kenton Koch","1","2:15.250","2:15.250","Green","Pit","3.919","13.292","0.717","16.390","11.951","9.671","0.766","16.014","11.646","13.487","9.957","11.736","110.308","105.922"
"5","P","Christian Fittipaldi","2","1:26.947","2:56.086","Green","Track","3.240","11.772","0.523","13.301","10.113","8.971","0.524","13.052","9.717","9.553","2.153","4.028","151.225","154.840"
"85","P","Misha Goikhberg","2","1:26.643","2:56.949","Green","Track","3.200","11.589","0.511","13.250","10.168","8.832","0.512","13.078","10.047","9.395","2.112","3.949","154.777","158.469"
"31","P","Eric Curran","2","1:26.943","2:57.922","Green","Track","3.234","11.587","0.520","13.304","10.135","8.944","0.523","13.010","9.986","9.475","2.173","4.052","152.098","155.136"
"55","P","Jonathan Bomarito","2","1:27.064","2:58.574","Green","Track","3.298","11.568","0.518","13.418","10.136","8.804","0.518","13.231","9.995","9.413","2.164","4.001","152.685","156.634"
"70","P","Tom Long","2","1:27.247","2:59.415","Green","Track","3.146","11.586","0.517","13.225","10.222","8.927","0.517","13.218","10.058","9.661","2.162","4.008","152.980","156.937"
"2","P","Scott Sharp","2","1:27.340","2:59.968","Green","Track","3.252","11.781","0.518","13.305","10.059","8.838","0.514","12.994","10.259","9.699","2.150","3.971","152.685","157.853"
"10","P","Ricky Taylor","2","1:27.352","3:00.497","Green","Track","3.177","11.619","0.516","13.414","10.188","8.873","0.515","12.833","10.150","9.862","2.181","4.024","153.277","157.546"
"90","P","Renger Van Der Zande","2","1:27.089","3:00.891","Green","Track","3.234","11.638","0.523","13.314","10.099","8.936","0.525","12.879","9.945","9.750","2.184","4.062","151.225","154.545"
