"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"912","GTLM","Gianmaria Bruni","1","52.697","52.697","Green","Track","0.500","0.886","10.092","10.495","13.467","5.411","9.113","2.732","138.750"
"911","GTLM","Dirk Werner","1","54.195","54.195","Green","Track","0.500","0.886","10.516","10.875","13.829","5.361","9.135","2.728","138.750"
"24","GTLM","John Edwards","1","54.579","54.579","Green","Track","0.500","0.888","10.504","10.926","13.907","5.416","9.086","2.703","138.750"
"67","GTLM","Richard Westbrook","1","55.962","55.962","Green","Track","0.497","0.899","10.741","11.308","14.500","5.577","9.165","2.729","139.588"
"4","GTLM","Tommy Milner","1","56.281","56.281","Green","Track","0.490","0.900","10.807","11.296","14.660","5.575","9.162","2.727","141.582"
"3","GTLM","Jan Magnussen","1","56.733","56.733","Green","Track","0.495","0.891","10.930","11.226","14.703","5.579","9.285","2.747","140.152"
"66","GTLM","Dirk Mueller","1","57.019","57.019","Green","Track","0.493","0.877","10.923","11.212","14.912","5.520","9.256","2.744","140.720"
"25","GTLM","Bill Auberlen","1","57.389","57.389","Green","Track","0.495","0.880","10.874","11.194","15.238","5.445","9.149","2.715","140.152"
"48","GTD","Madison Snow","1","58.510","58.510","Green","Track","0.508","0.900","10.639","11.246","15.443","5.537","9.472","2.797","136.565"
"28","GTD","Patrick Long","1","59.228","59.228","Green","Track","0.501","0.888","10.887","11.303","15.695","5.586","9.562","2.808","138.473"
"96","GTD","Jens Klingmann","1","59.768","59.768","Green","Track","0.495","0.878","10.707","11.695","15.634","5.620","9.545","2.793","140.152"
"73","GTD","Patrick Lindsey","1","1:00.076","1:00.076","Green","Track","0.490","0.888","11.035","11.502","15.717","5.678","9.558","2.797","141.582"
"15","GTD","Jack Hawksworth","1","1:00.963","1:00.963","Green","Track","0.497","0.882","10.811","11.616","16.603","5.780","9.705","2.800","139.588"
"14","GTD","Sage Karam","1","1:01.316","1:01.316","Green","Track","0.494","0.869","10.773","11.747","15.905","5.911","9.774","2.812","140.435"
"57","GTD","Andrew Davis","1","1:01.727","1:01.727","Green","Track","0.499","0.880","10.814","11.675","16.345","5.997","9.839","2.833","139.028"
"93","GTD","Katherine Legge","1","1:01.968","1:01.968","Green","Track","0.498","0.884","11.372","11.745","16.174","6.117","9.788","2.824","139.307"
"16","GTD","Corey Lewis","1","1:02.102","1:02.102","Green","Track","0.502","0.889","10.979","11.384","15.555","6.129","9.779","2.805","138.197"
"63","GTD","Christina Nielsen","1","1:02.450","1:02.450","Green","Track","0.492","0.869","11.227","11.929","16.226","6.144","9.924","2.824","141.006"
"007","GTD","Brandon Davis","1","1:02.637","1:02.637","Green","Track","0.493","0.894","11.423","11.867","16.582","5.858","9.785","2.794","140.720"
"86","GTD","Oswaldo Negri Jr.","1","1:03.108","1:03.108","Green","Track","0.483","0.865","11.380","11.920","16.665","5.922","9.852","2.852","143.634"
"23","GTD","Bill Sweedler","1","1:03.414","1:03.414","Green","Track","0.493","0.875","10.773","11.668","16.271","5.763","9.751","2.825","140.720"
"33","GTD","Ben Keating","1","1:03.693","1:03.693","Green","Track","0.500","0.888","11.258","12.030","17.006","5.978","9.596","2.808","138.750"
"50","GTD","Cooper MacNeil","1","1:04.323","1:04.323","Green","Track","0.501","0.889","11.185","11.851","17.011","6.028","9.876","2.842","138.473"
"75","GTD","Dion Von Moltke","1","1:05.289","1:05.289","Green","Track","0.487","0.866","10.713","11.786","16.168","5.941","10.388","2.981","142.454"
"54","GTD","Jonathan Bennett","1","1:10.527","1:10.527","Green","Track","0.490","0.904","11.109","21.008","14.407","5.737","9.668","2.853","141.582"
"912","GTLM","Gianmaria Bruni","2","52.558","1:45.255","Green","Track","0.464","0.828","9.780","10.426","13.695","5.503","9.149","2.713","149.515"
"911","GTLM","Dirk Werner","2","52.499","1:46.694","Green","Track","0.464","0.825","9.817","10.591","13.769","5.331","8.997","2.705","149.515"
"24","GTLM","John Edwards","2","52.395","1:46.974","Green","Track","0.458","0.818","9.775","10.524","13.679","5.411","9.039","2.691","151.474"
"67","GTLM","Richard Westbrook","2","52.510","1:48.472","Green","Track","0.462","0.824","9.809","10.483","13.795","5.340","9.063","2.734","150.162"
"4","GTLM","Tommy Milner","2","52.422","1:48.703","Green","Track","0.462","0.824","9.978","10.429","13.634","5.384","8.998","2.713","150.162"
"3","GTLM","Jan Magnussen","2","52.525","1:49.258","Green","Track","0.464","0.829","9.970","10.472","13.731","5.337","9.008","2.714","149.515"
"66","GTLM","Dirk Mueller","2","52.777","1:49.796","Green","Track","0.460","0.835","10.051","10.542","13.808","5.385","8.983","2.713","150.815"
"25","GTLM","Bill Auberlen","2","52.776","1:50.165","Green","Track","0.459","0.820","10.139","10.560","13.819","5.334","8.961","2.684","151.144"
"48","GTD","Madison Snow","2","53.542","1:52.052","Green","Track","0.473","0.843","10.057","10.687","13.889","5.462","9.349","2.782","146.670"
"28","GTD","Patrick Long","2","53.969","1:53.197","Green","Track","0.473","0.843","10.097","10.759","14.076","5.492","9.444","2.785","146.670"
"96","GTD","Jens Klingmann","2","54.215","1:53.983","Green","Track","0.470","0.838","10.148","10.923","14.086","5.503","9.443","2.804","147.606"
"73","GTD","Patrick Lindsey","2","54.500","1:54.576","Green","Track","0.472","0.841","10.429","10.879","14.219","5.485","9.390","2.785","146.981"
"15","GTD","Jack Hawksworth","2","54.297","1:55.260","Green","Track","0.471","0.842","10.312","10.848","14.040","5.469","9.499","2.816","147.293"
"14","GTD","Sage Karam","2","54.618","1:55.934","Green","Track","0.475","0.843","10.305","10.903","14.218","5.569","9.499","2.806","146.053"
"57","GTD","Andrew Davis","2","54.565","1:56.292","Green","Track","0.477","0.846","10.271","10.926","14.135","5.592","9.509","2.809","145.440"
"16","GTD","Corey Lewis","2","54.617","1:56.719","Green","Track","0.472","0.839","10.301","10.915","14.240","5.606","9.466","2.778","146.981"
"93","GTD","Katherine Legge","2","55.110","1:57.078","Green","Track","0.474","0.845","10.703","11.089","14.188","5.576","9.442","2.793","146.361"
"63","GTD","Christina Nielsen","2","55.459","1:57.909","Green","Track","0.474","0.844","10.411","11.348","14.578","5.538","9.477","2.789","146.361"
"007","GTD","Brandon Davis","2","55.999","1:58.636","Green","Track","0.471","0.836","10.670","11.136","14.883","5.633","9.578","2.792","147.293"
"86","GTD","Oswaldo Negri Jr.","2","55.894","1:59.002","Green","Track","0.481","0.845","10.492","11.214","14.760","5.707","9.591","2.804","144.231"
"23","GTD","Bill Sweedler","2","56.396","1:59.810","Green","Track","0.475","0.845","10.557","11.156","15.176","5.683","9.684","2.820","146.053"
"33","GTD","Ben Keating","2","56.417","2:00.110","Green","Track","0.471","0.841","10.580","11.340","14.900","5.768","9.694","2.823","147.293"
"50","GTD","Cooper MacNeil","2","56.056","2:00.379","Green","Track","0.480","0.857","10.469","11.174","14.706","5.849","9.699","2.822","144.531"
"75","GTD","Dion Von Moltke","2","55.824","2:01.113","Green","Track","0.496","0.881","10.467","11.135","14.383","5.721","9.879","2.862","139.869"
"54","GTD","Jonathan Bennett","2","54.725","2:05.252","Green","Track","0.481","0.856","10.313","10.910","14.211","5.595","9.543","2.816","144.231"
"912","GTLM","Gianmaria Bruni","3","51.958","2:37.213","Green","Track","0.461","0.822","9.744","10.350","13.450","5.381","9.033","2.717","150.488"
"911","GTLM","Dirk Werner","3","52.665","2:39.359","Green","Track","0.459","0.819","9.731","10.637","13.858","5.349","9.093","2.719","151.144"
