"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPS"
"10","P","Ricky Taylor","1","1:17.864","1:17.864","Green","Track","0.630","6.888","2.948","4.340","11.103","7.779","5.868","4.185","11.319","16.117","1.629","5.057","130.952"
"55","P","Tristan Nunez","1","1:18.521","1:18.521","Green","Track","0.604","6.865","3.039","4.573","11.322","7.673","5.890","4.339","11.180","16.227","1.650","5.014","136.589"
"5","P","Christian Fittipaldi","1","1:19.258","1:19.258","Green","Track","0.639","6.948","2.994","5.142","11.387","7.800","5.938","4.127","11.365","16.207","1.618","5.049","129.108"
"31","P","Eric Curran","1","1:20.465","1:20.465","Green","Track","0.613","6.734","3.145","4.859","11.481","7.898","6.019","4.176","11.437","16.624","1.639","5.068","134.584"
"85","P","Misha Goikhberg","1","1:22.105","1:22.105","Green","Track","0.598","6.633","3.259","5.066","11.945","8.074","6.120","4.268","11.859","16.856","1.643","5.066","137.960"
"70","P","Tom Long","1","1:22.349","1:22.349","Green","Track","0.590","6.511","3.377","4.912","12.147","7.953","6.174","4.279","11.497","16.859","1.633","5.009","139.831"
"2","P","Scott Sharp","1","1:23.083","1:23.083","Green","Track","0.591","6.550","3.457","4.931","11.992","7.919","6.271","4.222","11.706","17.704","1.626","5.038","139.594"
"52","P","Will Owen","1","1:23.982","1:23.982","Green","Track","0.590","6.599","3.419","4.593","12.282","8.222","6.010","4.301","11.548","17.669","1.671","5.126","139.831"
"912","GTLM","Laurens Vanthoor","1","1:27.168","1:27.168","Green","Track","0.639","7.063","3.444","4.781","12.285","9.099","5.914","4.331","11.952","16.601","1.705","5.501","129.108"
"25","GTLM","Bill Auberlen","1","1:27.593","1:27.593","Green","Track","0.632","6.974","3.490","4.756","12.362","9.070","6.002","4.383","11.855","16.524","1.739","5.465","130.538"
"4","GTLM","Oliver Gavin","1","1:28.452","1:28.452","Green","Track","0.639","7.034","3.283","4.711","12.487","8.819","6.224","4.454","12.016","16.686","1.745","5.500","129.108"
"24","GTLM","John Edwards","1","1:28.952","1:28.952","Green","Track","0.632","6.983","3.356","4.791","12.553","9.315","6.027","4.437","12.039","16.633","1.726","5.453","130.538"
