"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"10","P","Ricky Taylor","1","1:20.410","1:20.410","Green","Track","1.685","0.482","3.927","24.430","18.227","13.658","0.000","0.000","137.684"
"5","P","Christian Fittipaldi","1","1:21.745","1:21.745","Green","Track","1.693","0.484","3.857","25.007","18.564","13.878","7.994","10.176","137.115"
"90","P","Marc Goossens","1","1:22.795","1:22.795","Green","Track","1.678","0.477","4.022","25.564","18.752","13.777","7.993","10.324","139.127"
"31","P","Eric Curran","1","1:23.267","1:23.267","Green","Track","1.687","0.480","4.065","25.412","18.973","13.961","8.117","10.212","138.258"
"85","P","Misha Goikhberg","1","1:24.322","1:24.322","Green","Track","1.630","0.486","3.979","25.511","19.008","14.230","8.299","10.508","136.551"
"2","P","Scott Sharp","1","1:24.524","1:24.524","Green","Track","1.698","0.488","4.184","25.720","18.959","14.493","8.261","10.221","135.991"
"22","P","Johannes van Overbeek","1","1:25.249","1:25.249","Green","Track","1.611","0.484","4.226","25.792","19.077","14.611","8.334","10.309","137.115"
"52","P","Jose Gutierrez","1","1:25.774","1:25.774","Green","Track","1.681","0.479","4.174","26.439","19.194","14.538","8.279","10.384","138.546"
"62","GTLM","Toni Vilander","1","1:28.695","1:28.695","Green","Track","1.716","0.496","3.997","25.867","19.658","14.203","8.467","10.467","133.798"
"66","GTLM","Dirk Mueller","1","1:29.701","1:29.701","Green","Track","1.733","0.498","4.085","26.494","19.608","14.493","8.508","10.497","133.260"
"25","GTLM","Alexander Sims","1","1:30.219","1:30.219","Green","Track","1.703","0.487","4.204","26.707","19.310","14.428","8.479","10.648","136.270"
"911","GTLM","Patrick Pilet","1","1:31.786","1:31.786","Green","Track","1.725","0.501","4.218","27.085","19.937","14.501","8.575","10.614","132.462"
"912","GTLM","Laurens Vanthoor","1","1:32.393","1:32.393","Green","Track","1.714","0.493","4.203","26.999","19.897","14.663","8.627","10.732","134.612"
"67","GTLM","Ryan Briscoe","1","1:32.703","1:32.703","Green","Track","1.728","0.493","4.227","27.762","20.024","14.595","8.651","10.588","134.612"
"3","GTLM","Jan Magnussen","1","1:33.517","1:33.517","Green","Track","1.714","0.493","4.229","27.690","20.249","14.709","8.699","10.729","134.612"
"4","GTLM","Oliver Gavin","1","1:34.158","1:34.158","Green","Track","1.702","0.489","4.330","27.846","20.193","14.820","8.646","10.777","135.713"
"48","GTD","Madison Snow","1","1:35.391","1:35.391","Green","Track","1.737","0.498","4.160","28.375","20.191","14.763","8.797","10.970","133.260"
"28","GTD","Daniel Morad","1","1:35.894","1:35.894","Green","Track","1.719","0.497","4.388","28.270","20.250","14.973","8.840","10.914","133.528"
"14","GTD","Sage Karam","1","1:36.561","1:36.561","Green","Track","1.754","0.506","4.175","27.544","20.746","14.773","8.791","10.983","131.153"
"73","GTD","Patrick Lindsey","1","1:37.127","1:37.127","Green","Track","1.729","0.498","4.080","28.426","21.320","14.881","8.954","10.866","133.260"
"86","GTD","Oswaldo Negri Jr.","1","1:37.790","1:37.790","Green","Track","1.729","0.499","4.096","28.289","20.754","14.975","8.862","10.858","132.993"
"96","GTD","Jens Klingmann","1","1:38.218","1:38.218","Green","Track","1.718","0.496","4.138","29.720","20.923","14.837","8.788","10.981","133.798"
"15","GTD","Scott Pruett","1","1:39.056","1:39.056","Green","Track","1.750","0.503","4.183","28.063","21.451","15.189","8.877","11.012","131.936"
"16","GTD","Corey Lewis","1","1:39.856","1:39.856","Green","Track","1.743","0.503","4.006","29.314","21.314","15.395","8.814","11.243","131.936"
"50","GTD","Cooper MacNeil","1","1:39.983","1:39.983","Green","Track","1.734","0.498","4.324","28.027","21.290","15.299","8.989","11.477","133.260"
"63","GTD","Christina Nielsen","1","1:40.168","1:40.168","Green","Track","1.769","0.512","4.428","28.140","21.955","15.589","8.850","10.945","129.616"
"93","GTD","Katherine Legge","1","1:40.843","1:40.843","Green","Track","1.748","0.505","4.224","27.989","21.628","15.946","8.891","11.029","131.413"
"57","GTD","Andrew Davis","1","1:41.371","1:41.371","Green","Track","1.747","0.504","4.073","27.802","21.586","16.091","8.971","11.114","131.674"
"33","GTD","Ben Keating","1","1:41.890","1:41.890","Green","Track","1.769","0.511","4.218","27.350","21.307","16.202","9.081","10.978","129.870"
"54","GTD","Jonathan Bennett","1","1:42.335","1:42.335","Green","Track","1.763","0.510","4.202","27.001","20.750","16.190","9.186","11.029","130.125"
"80","GTD","Dan Knox","1","1:42.880","1:42.880","Green","Track","1.794","0.516","4.234","27.293","20.774","15.618","9.287","11.159","128.612"
"75","GTD","Kenny Habul","1","1:43.367","1:43.367","Green","Track","1.790","0.517","4.130","27.399","20.906","15.301","8.937","11.279","128.363"
"24","GTLM","John Edwards","1","1:43.726","1:43.726","Green","Track","1.709","0.493","4.032","39.881","19.504","14.341","8.603","10.968","134.612"
"10","P","Ricky Taylor","2","1:19.595","2:40.005","Green","Track","1.603","0.465","3.803","24.087","18.118","13.617","0.000","0.000","142.717"
"5","P","Christian Fittipaldi","2","1:19.855","2:41.600","Green","Track","1.606","0.464","3.790","24.186","18.126","13.687","7.861","10.135","143.025"
"90","P","Marc Goossens","2","1:20.319","2:43.114","Green","Track","1.592","0.460","3.681","24.205","18.131","13.945","7.997","10.308","144.269"
"31","P","Eric Curran","2","1:20.528","2:43.795","Green","Track","1.606","0.464","3.803","24.347","18.326","13.833","7.895","10.254","143.025"
"85","P","Misha Goikhberg","2","1:21.071","2:45.393","Green","Track","1.563","0.452","3.790","24.617","18.563","13.787","8.007","10.292","146.822"
"2","P","Scott Sharp","2","1:21.810","2:46.334","Green","Track","1.560","0.453","3.876","24.846","18.545","13.931","8.350","10.249","146.498"
"22","P","Johannes van Overbeek","2","1:21.426","2:46.675","Green","Track","1.570","0.453","3.841","24.799","18.301","14.014","8.156","10.292","146.498"
"52","P","Jose Gutierrez","2","1:21.697","2:47.471","Green","Track","1.589","0.458","3.889","24.719","18.447","13.941","8.117","10.537","144.899"
"62","GTLM","Toni Vilander","2","1:24.349","2:53.044","Green","Track","1.716","0.499","4.039","25.386","19.487","14.221","8.496","10.505","132.993"
"66","GTLM","Dirk Mueller","2","1:24.332","2:54.033","Green","Track","1.711","0.494","3.993","25.323","19.381","14.285","8.612","10.533","134.339"
"25","GTLM","Alexander Sims","2","1:24.581","2:54.800","Green","Track","1.687","0.487","4.072","25.566","19.291","14.347","8.507","10.624","136.270"
"911","GTLM","Patrick Pilet","2","1:25.052","2:56.838","Green","Track","1.727","0.501","4.043","25.654","19.651","14.333","8.542","10.601","132.462"
"912","GTLM","Laurens Vanthoor","2","1:25.140","2:57.533","Green","Track","1.717","0.497","4.010","25.641","19.633","14.424","8.574","10.644","133.528"
"67","GTLM","Ryan Briscoe","2","1:25.366","2:58.069","Green","Track","1.724","0.496","4.132","25.668","19.773","14.505","8.522","10.546","133.798"
"3","GTLM","Jan Magnussen","2","1:25.481","2:58.998","Green","Track","1.718","0.497","4.085","25.600","19.737","14.534","8.668","10.642","133.528"
"4","GTLM","Oliver Gavin","2","1:25.479","2:59.637","Green","Track","1.713","0.494","4.096","25.743","19.577","14.549","8.596","10.711","134.339"
"48","GTD","Madison Snow","2","1:26.965","3:02.356","Green","Track","1.767","0.509","3.995","26.294","20.009","14.706","8.720","10.965","130.380"
"28","GTD","Daniel Morad","2","1:27.317","3:03.211","Green","Track","1.740","0.502","4.064","26.288","20.279","14.741","8.816","10.887","132.198"
"14","GTD","Sage Karam","2","1:27.360","3:03.921","Green","Track","1.760","0.506","4.067","26.332","20.171","14.673","8.794","11.057","131.153"
"73","GTD","Patrick Lindsey","2","1:27.493","3:04.620","Green","Track","1.739","0.501","4.019","26.368","20.247","14.863","8.857","10.899","132.462"
"86","GTD","Oswaldo Negri Jr.","2","1:27.249","3:05.039","Green","Track","1.740","0.503","3.991","26.396","20.127","14.800","8.778","10.914","131.936"
"96","GTD","Jens Klingmann","2","1:27.250","3:05.468","Green","Track","1.730","0.499","4.025","26.361","20.094","14.753","8.805","10.983","132.993"
"15","GTD","Scott Pruett","2","1:27.452","3:06.508","Green","Track","1.764","0.509","4.052","26.377","20.056","14.864","8.803","11.027","130.380"
"16","GTD","Corey Lewis","2","1:27.218","3:07.074","Green","Track","1.746","0.503","4.017","26.545","19.955","14.706","8.735","11.011","131.936"
"50","GTD","Cooper MacNeil","2","1:28.353","3:08.336","Green","Track","1.736","0.500","4.238","26.677","20.264","14.971","8.929","11.038","132.727"
"63","GTD","Christina Nielsen","2","1:28.587","3:08.755","Green","Track","1.725","0.498","4.189","26.954","20.299","15.166","8.815","10.941","133.260"
"93","GTD","Katherine Legge","2","1:28.608","3:09.451","Green","Track","1.756","0.504","4.102","26.879","20.463","15.053","8.869","10.982","131.674"
"57","GTD","Andrew Davis","2","1:28.624","3:09.995","Green","Track","1.752","0.506","4.065","26.940","20.361","15.046","8.858","11.096","131.153"
"24","GTLM","John Edwards","2","1:26.433","3:10.159","Green","Track","1.716","0.493","4.013","26.840","19.679","14.409","8.606","10.677","134.612"
"33","GTD","Ben Keating","2","1:29.869","3:11.759","Green","Track","1.759","0.507","4.113","27.097","20.906","15.506","8.926","11.055","130.895"
"54","GTD","Jonathan Bennett","2","1:29.689","3:12.024","Green","Track","1.746","0.504","4.150","26.915","20.939","15.422","9.081","10.932","131.674"
"80","GTD","Dan Knox","2","1:30.133","3:13.013","Green","Track","1.779","0.514","4.185","27.581","20.688","15.238","8.975","11.173","129.112"
"75","GTD","Kenny Habul","2","1:29.980","3:13.347","Green","Track","1.806","0.520","4.441","27.300","20.479","15.408","8.859","11.167","127.622"
"10","P","Ricky Taylor","3","1:18.699","3:58.704","Green","Track","1.600","0.464","3.736","23.837","17.811","13.375","0.000","0.000","143.025"
"5","P","Christian Fittipaldi","3","1:19.321","4:00.921","Green","Track","1.599","0.463","3.741","23.949","18.050","13.616","7.764","10.139","143.334"
"90","P","Marc Goossens","3","1:19.665","4:02.779","Green","Track","1.587","0.461","3.653","24.148","18.033","13.667","7.903","10.213","143.956"
"31","P","Eric Curran","3","1:19.862","4:03.657","Green","Track","1.604","0.464","3.758","24.169","18.081","13.766","7.903","10.117","143.025"
"85","P","Misha Goikhberg","3","1:20.276","4:05.669","Green","Track","1.560","0.453","3.658","24.291","18.276","13.561","8.023","10.454","146.498"
"2","P","Scott Sharp","3","1:20.598","4:06.932","Green","Track","1.573","0.457","3.730","24.499","18.179","13.902","7.972","10.286","145.216"
"22","P","Johannes van Overbeek","3","1:21.003","4:07.678","Green","Track","1.556","0.451","3.775","24.741","18.111","13.905","8.185","10.279","147.148"
"52","P","Jose Gutierrez","3","1:20.639","4:08.110","Green","Track","1.596","0.462","3.768","24.508","18.146","13.873","7.977","10.309","143.644"
"62","GTLM","Toni Vilander","3","1:24.120","4:17.164","Green","Track","1.725","0.500","4.067","25.487","19.350","14.054","8.446","10.491","132.727"
"66","GTLM","Dirk Mueller","3","1:23.956","4:17.989","Green","Track","1.719","0.497","4.010","25.258","19.319","14.140","8.496","10.517","133.528"
"25","GTLM","Alexander Sims","3","1:24.204","4:19.004","Green","Track","1.699","0.489","4.093","25.548","19.134","14.166","8.469","10.606","135.713"
"911","GTLM","Patrick Pilet","3","1:24.868","4:21.706","Green","Track","1.728","0.502","4.011","25.545","19.538","14.398","8.521","10.625","132.198"
"912","GTLM","Laurens Vanthoor","3","1:24.780","4:22.313","Green","Track","1.718","0.497","3.960","25.584","19.457","14.385","8.556","10.623","133.528"
"67","GTLM","Ryan Briscoe","3","1:24.830","4:22.899","Green","Track","1.722","0.496","4.108","25.513","19.493","14.306","8.566","10.626","133.798"
"3","GTLM","Jan Magnussen","3","1:25.246","4:24.244","Green","Track","1.717","0.496","4.024","25.665","19.582","14.473","8.617","10.672","133.798"
"4","GTLM","Oliver Gavin","3","1:25.228","4:24.865","Green","Track","1.715","0.496","4.059","25.678","19.474","14.559","8.528","10.719","133.798"
"48","GTD","Madison Snow","3","1:26.367","4:28.723","Green","Track","1.777","0.512","4.023","26.070","19.857","14.456","8.722","10.950","129.616"
"28","GTD","Daniel Morad","3","1:27.159","4:30.370","Green","Track","1.740","0.503","4.048","26.179","20.114","14.745","8.882","10.948","131.936"
"14","GTD","Sage Karam","3","1:27.195","4:31.116","Green","Track","1.764","0.509","4.055","26.246","20.100","14.753","8.771","10.997","130.380"
"73","GTD","Patrick Lindsey","3","1:27.262","4:31.882","Green","Track","1.748","0.503","4.018","26.242","20.178","14.803","8.898","10.872","131.936"
"86","GTD","Oswaldo Negri Jr.","3","1:27.287","4:32.326","Green","Track","1.744","0.503","3.996","26.435","20.148","14.773","8.825","10.863","131.936"
"96","GTD","Jens Klingmann","3","1:27.396","4:32.864","Green","Track","1.751","0.508","4.051","26.444","20.222","14.595","8.835","10.990","130.637"
"15","GTD","Scott Pruett","3","1:27.262","4:33.770","Green","Track","1.763","0.509","3.989","26.309","20.083","14.784","8.814","11.011","130.380"
"16","GTD","Corey Lewis","3","1:27.181","4:34.255","Green","Track","1.753","0.506","4.063","26.419","19.930","14.823","8.761","10.926","131.153"
"24","GTLM","John Edwards","3","1:25.552","4:35.711","Green","Track","1.687","0.486","3.972","26.069","19.532","14.435","8.716","10.655","136.551"
"50","GTD","Cooper MacNeil","3","1:28.200","4:36.536","Green","Track","1.740","0.503","4.039","26.311","20.203","15.087","9.238","11.079","131.936"
"63","GTD","Christina Nielsen","3","1:28.160","4:36.915","Green","Track","1.745","0.504","4.148","26.540","20.088","15.411","8.863","10.861","131.674"
"93","GTD","Katherine Legge","3","1:28.125","4:37.576","Green","Track","1.753","0.505","4.064","26.556","20.521","15.081","8.781","10.864","131.413"
"57","GTD","Andrew Davis","3","1:28.392","4:38.387","Green","Track","1.747","0.506","4.098","26.984","20.170","15.029","8.865","10.993","131.153"
"33","GTD","Ben Keating","3","1:28.628","4:40.387","Green","Track","1.769","0.510","3.998","26.752","20.577","14.966","8.960","11.096","130.125"
"54","GTD","Jonathan Bennett","3","1:28.841","4:40.865","Green","Track","1.738","0.502","4.066","26.929","20.593","15.094","8.968","10.951","132.198"
"80","GTD","Dan Knox","3","1:29.008","4:42.021","Green","Track","1.774","0.512","4.038","26.992","20.536","15.015","9.029","11.112","129.616"
"75","GTD","Kenny Habul","3","1:29.158","4:42.505","Green","Track","1.789","0.515","4.144","27.225","20.420","15.004","8.897","11.164","128.861"
"10","P","Ricky Taylor","4","1:18.345","5:17.049","Green","Track","1.603","0.465","3.720","23.728","17.804","13.322","0.000","0.000","142.717"
"5","P","Christian Fittipaldi","4","1:19.376","5:20.297","Green","Track","1.601","0.465","3.718","23.988","18.042","13.652","7.770","10.140","142.717"
"90","P","Marc Goossens","4","1:19.990","5:22.769","Green","Track","1.581","0.460","3.646","24.276","18.162","13.798","7.861","10.206","144.269"
"31","P","Eric Curran","4","1:19.938","5:23.595","Green","Track","1.597","0.462","3.758","24.270","18.191","13.657","7.881","10.122","143.644"
"85","P","Misha Goikhberg","4","1:20.288","5:25.957","Green","Track","1.587","0.458","3.764","24.456","18.106","13.638","7.969","10.310","144.899"
"2","P","Scott Sharp","4","1:20.354","5:27.286","Green","Track","1.587","0.459","3.776","24.525","18.063","13.800","8.005","10.139","144.583"
"22","P","Johannes van Overbeek","4","1:20.752","5:28.430","Green","Track","1.568","0.453","3.761","24.558","18.198","13.946","8.045","10.223","146.498"
"52","P","Jose Gutierrez","4","1:21.007","5:29.117","Green","Track","1.586","0.458","3.788","24.561","18.271","13.926","8.064","10.353","144.899"
"62","GTLM","Toni Vilander","4","1:24.072","5:41.236","Green","Track","1.721","0.501","4.055","25.323","19.415","14.139","8.416","10.502","132.462"
"66","GTLM","Dirk Mueller","4","1:23.797","5:41.786","Green","Track","1.724","0.499","4.070","25.326","19.091","14.187","8.461","10.439","132.993"
"25","GTLM","Alexander Sims","4","1:24.174","5:43.178","Green","Track","1.703","0.492","4.079","25.543","19.146","14.169","8.355","10.687","134.885"
"911","GTLM","Patrick Pilet","4","1:24.691","5:46.397","Green","Track","1.726","0.503","4.009","25.461","19.575","14.343","8.497","10.577","131.936"
"912","GTLM","Laurens Vanthoor","4","1:24.686","5:46.999","Green","Track","1.720","0.498","3.961","25.527","19.469","14.357","8.546","10.608","133.260"
"67","GTLM","Ryan Briscoe","4","1:24.720","5:47.619","Green","Track","1.738","0.501","4.074","25.471","19.511","14.339","8.521","10.565","132.462"
"3","GTLM","Jan Magnussen","4","1:24.696","5:48.940","Green","Track","1.721","0.496","4.042","25.542","19.380","14.306","8.537","10.672","133.798"
"4","GTLM","Oliver Gavin","4","1:24.924","5:49.789","Green","Track","1.713","0.496","4.025","25.621","19.515","14.409","8.468","10.677","133.798"
"48","GTD","Madison Snow","4","1:26.148","5:54.871","Green","Track","1.779","0.513","3.987","26.092","19.699","14.508","8.673","10.897","129.364"
"28","GTD","Daniel Morad","4","1:26.855","5:57.225","Green","Track","1.747","0.504","3.989","26.239","19.910","14.812","8.739","10.915","131.674"
"14","GTD","Sage Karam","4","1:27.059","5:58.175","Green","Track","1.765","0.509","4.029","26.173","20.016","14.853","8.713","11.001","130.380"
"73","GTD","Patrick Lindsey","4","1:26.917","5:58.799","Green","Track","1.751","0.505","4.001","26.235","19.907","14.722","8.910","10.886","131.413"
"86","GTD","Oswaldo Negri Jr.","4","1:27.503","5:59.829","Green","Track","1.745","0.504","4.017","26.470","20.257","14.898","8.706","10.906","131.674"
"96","GTD","Jens Klingmann","4","1:27.470","6:00.334","Green","Track","1.762","0.510","4.029","26.381","20.205","14.812","8.797","10.974","130.125"
"24","GTLM","John Edwards","4","1:25.683","6:01.394","Green","Track","1.705","0.492","3.997","25.579","19.471","14.775","8.707","10.957","134.885"
"15","GTD","Scott Pruett","4","1:27.978","6:01.748","Green","Track","1.758","0.507","4.060","26.340","20.078","15.008","8.895","11.332","130.895"
"16","GTD","Corey Lewis","4","1:27.799","6:02.054","Green","Track","1.753","0.506","4.030","26.417","19.911","15.367","8.725","11.090","131.153"
"50","GTD","Cooper MacNeil","4","1:27.975","6:04.511","Green","Track","1.744","0.504","4.084","26.405","20.260","14.980","8.935","11.063","131.674"
"63","GTD","Christina Nielsen","4","1:27.804","6:04.719","Green","Track","1.740","0.502","4.062","26.551","20.171","15.069","8.789","10.920","132.198"
"93","GTD","Katherine Legge","4","1:27.678","6:05.254","Green","Track","1.750","0.505","4.007","26.532","20.282","14.772","8.838","10.992","131.413"
"57","GTD","Andrew Davis","4","1:27.728","6:06.115","Green","Track","1.751","0.507","4.015","26.637","20.164","14.896","8.753","11.005","130.895"
"33","GTD","Ben Keating","4","1:28.415","6:08.802","Green","Track","1.772","0.512","4.088","26.644","20.436","14.943","8.936","11.084","129.616"
"54","GTD","Jonathan Bennett","4","1:28.587","6:09.452","Green","Track","1.753","0.506","4.074","26.696","20.321","15.206","9.057","10.974","131.153"
"80","GTD","Dan Knox","4","1:29.013","6:11.034","Green","Track","1.795","0.519","4.071","26.894","20.563","15.123","8.990","11.058","127.868"
"75","GTD","Kenny Habul","4","1:29.000","6:11.505","Green","Track","1.787","0.516","4.048","27.000","20.356","15.248","8.883","11.162","128.612"
"10","P","Ricky Taylor","5","1:18.759","6:35.808","Green","Track","1.602","0.466","3.700","23.805","17.966","13.444","7.740","10.036","142.411"
"5","P","Christian Fittipaldi","5","1:19.086","6:39.383","Green","Track","1.605","0.466","3.716","23.875","17.872","13.645","7.760","10.147","142.411"
"90","P","Marc Goossens","5","1:19.689","6:42.458","Green","Track","1.583","0.460","3.617","23.956","18.324","13.728","7.820","10.201","144.269"
"31","P","Eric Curran","5","1:19.650","6:43.245","Green","Track","1.604","0.463","3.736","24.042","18.041","13.768","7.809","10.187","143.334"
"85","P","Misha Goikhberg","5","1:20.139","6:46.096","Green","Track","1.565","0.453","3.665","24.318","18.089","13.690","7.965","10.394","146.498"
"2","P","Scott Sharp","5","1:20.339","6:47.625","Green","Track","1.565","0.453","3.683","24.616","18.256","13.629","7.928","10.209","146.498"
"22","P","Johannes van Overbeek","5","1:20.770","6:49.200","Green","Track","1.569","0.454","3.707","24.442","18.084","14.125","8.031","10.358","146.175"
"52","P","Jose Gutierrez","5","1:20.875","6:49.992","Green","Track","1.592","0.460","3.751","24.408","18.035","13.919","8.206","10.504","144.269"
"62","GTLM","Toni Vilander","5","1:23.950","7:05.186","Green","Track","1.718","0.499","3.999","25.298","19.315","14.095","8.514","10.512","132.993"
"66","GTLM","Dirk Mueller","5","1:23.941","7:05.727","Green","Track","1.721","0.497","4.043","25.329","19.252","14.149","8.478","10.472","133.528"
"25","GTLM","Alexander Sims","5","1:24.102","7:07.280","Green","Track","1.705","0.492","4.049","25.492","19.132","14.145","8.387","10.700","134.885"
"911","GTLM","Patrick Pilet","5","1:24.440","7:10.837","Green","Track","1.732","0.503","4.009","25.396","19.474","14.252","8.427","10.647","131.936"
"912","GTLM","Laurens Vanthoor","5","1:24.552","7:11.551","Green","Track","1.723","0.498","3.944","25.484","19.442","14.295","8.530","10.636","133.260"
"67","GTLM","Ryan Briscoe","5","1:24.432","7:12.051","Green","Track","1.737","0.500","4.032","25.354","19.404","14.270","8.543","10.592","132.727"
"3","GTLM","Jan Magnussen","5","1:24.692","7:13.632","Green","Track","1.721","0.499","4.006","25.385","19.528","14.350","8.497","10.706","132.993"
"4","GTLM","Oliver Gavin","5","1:24.714","7:14.503","Green","Track","1.717","0.496","4.006","25.544","19.419","14.318","8.498","10.716","133.798"
"48","GTD","Madison Snow","5","1:26.506","7:21.377","Green","Track","1.787","0.515","4.008","26.131","19.859","14.604","8.694","10.908","128.861"
"28","GTD","Daniel Morad","5","1:27.125","7:24.350","Green","Track","1.757","0.507","3.996","26.234","20.120","14.807","8.784","10.920","130.895"
"14","GTD","Sage Karam","5","1:27.116","7:25.291","Green","Track","1.764","0.508","4.026","26.176","20.037","14.769","8.785","11.051","130.637"
"73","GTD","Patrick Lindsey","5","1:27.221","7:26.020","Green","Track","1.751","0.505","4.029","26.294","20.012","14.894","8.815","10.921","131.413"
"24","GTLM","John Edwards","5","1:25.457","7:26.851","Green","Track","1.710","0.493","3.987","25.635","19.918","14.493","8.601","10.620","134.612"
"86","GTD","Oswaldo Negri Jr.","5","1:27.836","7:27.665","Green","Track","1.765","0.509","4.023","26.259","20.190","14.940","9.158","10.992","130.380"
"96","GTD","Jens Klingmann","5","1:27.810","7:28.144","Green","Track","1.768","0.512","4.020","26.342","20.350","14.855","8.868","11.095","129.616"
"15","GTD","Scott Pruett","5","1:27.363","7:29.111","Green","Track","1.763","0.509","4.061","26.255","20.048","14.956","8.758","11.013","130.380"
"16","GTD","Corey Lewis","5","1:27.512","7:29.566","Green","Track","1.752","0.507","4.134","26.524","20.063","14.763","8.748","11.021","130.895"
"50","GTD","Cooper MacNeil","5","1:27.601","7:32.112","Green","Track","1.744","0.503","4.003","26.233","20.260","14.943","8.894","11.021","131.936"
"63","GTD","Christina Nielsen","5","1:27.717","7:32.436","Green","Track","1.731","0.500","4.071","26.520","20.075","15.009","8.839","10.972","132.727"
"93","GTD","Katherine Legge","5","1:27.934","7:33.188","Green","Track","1.747","0.505","4.129","26.416","20.178","15.122","8.778","11.059","131.413"
"57","GTD","Andrew Davis","5","1:27.881","7:33.996","Green","Track","1.757","0.509","4.022","26.674","20.125","14.990","8.756","11.048","130.380"
