"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SPS"
"10","P","Ricky Taylor","1","1:58.192","1:58.192","Green","Track","5.487","9.861","19.314","0.470","21.673","26.455","19.345","11.083","4.503","174.927"
"52","P","Jose Gutierrez","1","2:00.148","2:00.148","Green","Track","5.503","9.911","19.744","0.468","22.335","26.572","19.512","11.386","4.499","175.675"
"2","P","Scott Sharp","1","2:00.992","2:00.992","Green","Track","5.408","10.153","19.561","0.468","22.711","26.916","19.734","11.363","4.487","175.675"
"22","P","Johannes van Overbeek","1","2:01.460","2:01.460","Green","Track","5.326","10.254","19.532","0.457","22.504","27.133","19.748","11.456","4.456","179.904"
"31","P","Eric Curran","1","2:01.811","2:01.811","Green","Track","5.494","10.418","19.921","0.468","22.053","27.066","19.707","11.382","4.523","175.675"
"90","P","Marc Goossens","1","2:02.530","2:02.530","Green","Track","5.479","10.736","20.111","0.464","22.449","27.097","19.781","11.417","4.522","177.189"
"85","P","Misha Goikhberg","1","2:03.107","2:03.107","Green","Track","5.359","10.589","20.100","0.466","22.781","26.949","19.842","11.582","4.468","176.429"
"5","P","Christian Fittipaldi","1","2:03.442","2:03.442","Green","Track","5.530","10.120","20.028","0.471","22.716","27.085","19.734","11.488","4.524","174.556"
"38","PC","James French","1","2:06.617","2:06.617","Green","Track","5.576","10.392","20.520","0.485","23.330","28.142","20.530","11.739","4.709","169.517"
"20","PC","Don Yount","1","2:09.684","2:09.684","Green","Track","5.706","10.935","20.692","0.492","23.862","28.672","21.032","11.904","4.763","167.106"
"26","PC","Mark Kvamme","1","2:12.647","2:12.647","Green","Track","5.903","11.138","21.086","0.503","23.899","29.663","21.435","12.424","4.834","163.451"
"66","GTLM","Dirk Mueller","1","2:12.714","2:12.714","Green","Track","5.562","10.579","20.655","0.498","23.147","29.284","21.391","12.259","4.783","165.092"
"25","GTLM","Alexander Sims","1","2:12.904","2:12.904","Green","Track","5.500","10.688","20.790","0.495","23.069","29.117","21.440","12.111","4.807","166.093"
"912","GTLM","Gianmaria Bruni","1","2:13.458","2:13.458","Green","Track","5.451","10.847","21.186","0.497","23.171","28.536","21.448","12.214","4.884","165.424"
"911","GTLM","Patrick Pilet","1","2:13.657","2:13.657","Green","Track","5.570","10.704","21.300","0.498","23.562","28.343","21.191","12.310","4.840","165.092"
"67","GTLM","Ryan Briscoe","1","2:14.968","2:14.968","Green","Track","5.525","11.114","21.655","0.504","24.140","29.236","21.070","12.105","4.855","163.127"
"4","GTLM","Oliver Gavin","1","2:15.804","2:15.804","Green","Track","5.557","10.752","21.228","0.498","24.754","29.448","21.051","12.064","4.885","165.092"
"3","GTLM","Jan Magnussen","1","2:16.420","2:16.420","Green","Track","5.542","10.917","21.299","0.515","24.811","29.632","21.239","12.057","4.872","159.643"
"96","GTD","Jesse Krohn","1","2:17.437","2:17.437","Green","Track","5.656","10.771","21.556","0.499","23.890","29.997","21.377","12.269","4.943","164.761"
"73","GTD","Patrick Lindsey","1","2:18.651","2:18.651","Green","Track","5.598","10.878","21.454","0.500","23.969","30.532","21.570","12.504","4.968","164.432"
"16","GTD","Jeroen Mul","1","2:19.043","2:19.043","Green","Track","5.608","10.705","22.181","0.497","23.898","30.545","21.665","12.462","4.958","165.424"
"15","GTD","Scott Pruett","1","2:19.637","2:19.637","Green","Track","5.590","11.106","21.742","0.509","24.216","30.556","21.790","12.457","4.991","161.524"
"63","GTD","Christina Nielsen","1","2:20.032","2:20.032","Green","Track","5.541","10.924","21.744","0.534","24.445","30.658","21.666","12.517","4.962","153.962"
"24","GTLM","Martin Tomczyk","1","2:20.693","2:20.693","Green","Track","5.452","11.227","21.502","0.496","24.057","30.174","21.577","12.692","4.942","165.758"
"57","GTD","Andrew Davis","1","2:20.752","2:20.752","Green","Track","5.613","11.001","21.625","0.532","24.606","30.513","21.877","12.732","5.048","154.541"
"14","GTD","Robert Alon","1","2:20.971","2:20.971","Green","Track","5.633","10.993","21.556","0.540","24.686","30.565","22.178","12.501","4.950","152.252"
"86","GTD","Oswaldo Negri Jr.","1","2:21.371","2:21.371","Green","Track","5.688","11.104","21.719","0.526","24.857","30.929","21.760","12.537","4.930","156.304"
