"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP4"
"22","P","Luis Felipe Derani","1","1:25.547","1:25.547","Green","Track","5.850","5.180","23.646","21.918","7.008","0.522","20.247","0.916","165.883"
"6","P","Helio Castroneves","1","1:26.296","1:26.296","Green","Track","6.042","4.994","23.793","22.520","7.072","0.524","20.424","0.926","165.250"
"2","P","Brendon Hartley","1","1:27.270","1:27.270","Green","Track","6.113","4.878","24.341","21.905","7.012","0.519","20.764","0.963","166.842"
"13","P","Mathias Beche","1","1:27.631","1:27.631","Green","Track","6.200","4.834","24.541","22.113","7.083","0.522","20.648","0.973","165.883"
"90","P","Renger Van Der Zande","1","1:28.111","1:28.111","Green","Track","6.164","5.047","24.343","22.229","7.102","0.525","20.756","0.937","164.935"
"52","P","Olivier Pla","1","1:28.477","1:28.477","Green","Track","6.311","4.974","24.669","21.947","7.129","0.523","20.795","0.925","165.566"
"31","P","Eric Curran","1","1:30.081","1:30.081","Green","Track","6.377","5.121","24.903","22.394","7.212","0.529","20.565","0.996","163.688"
"85","P","Misha Goikhberg","1","1:30.336","1:30.336","Green","Track","6.248","4.948","25.282","22.361","7.116","0.521","21.298","1.022","166.201"
"5","P","Christian Fittipaldi","1","1:30.579","1:30.579","Green","Track","6.401","5.125","24.938","23.131","7.207","0.534","20.574","0.940","162.155"
"10","P","Ricky Taylor","1","1:32.421","1:32.421","Green","Track","6.582","5.059","25.036","22.927","7.158","0.526","20.971","1.006","164.622"
"26","PC","Garett Grist","1","1:33.405","1:33.405","Green","Track","6.438","4.966","25.333","23.096","7.368","0.548","21.924","1.045","158.013"
"38","PC","James French","1","1:33.608","1:33.608","Green","Track","6.582","4.991","25.333","22.983","7.380","0.546","22.484","1.056","158.591"
"20","PC","Don Yount","1","1:35.076","1:35.076","Green","Track","7.180","5.252","25.834","23.027","7.433","0.550","21.890","1.012","157.438"
"62","GTLM","Toni Vilander","1","1:38.900","1:38.900","Green","Track","6.117","4.812","24.294","22.851","7.684","0.566","21.267","1.019","152.987"
"3","GTLM","Antonio Garcia","1","1:39.231","1:39.231","Green","Track","6.170","4.843","24.220","22.752","7.626","0.559","21.450","0.999","154.903"
"25","GTLM","Bill Auberlen","1","1:39.603","1:39.603","Green","Track","6.182","4.834","24.421","22.751","7.563","0.553","21.338","1.013","156.584"
"66","GTLM","Joey Hand","1","1:40.085","1:40.085","Green","Track","6.368","4.978","24.239","22.545","7.542","0.553","21.442","1.004","156.584"
"24","GTLM","Martin Tomczyk","1","1:40.575","1:40.575","Green","Track","6.332","5.014","24.483","22.643","7.501","0.550","21.411","0.991","157.438"
