"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"13","P","Neel Jani","1","1:52.278","1:52.278","Green","Track","5.328","5.130","22.914","14.546","24.877","25.355","0.493","9.794","1.348","2.492","171.953","128.136"
"5","P","Christian Fittipaldi","1","1:52.826","1:52.826","Green","Track","5.432","5.258","23.084","14.423","24.743","25.546","0.503","9.799","1.320","2.483","168.534","130.854"
"31","P","Dane Cameron","1","1:53.507","1:53.507","Green","Track","5.389","5.491","23.560","14.514","24.811","25.430","0.506","9.684","1.315","2.482","167.535","131.352"
"52","P","Jose Gutierrez","1","1:55.227","1:55.227","Green","Track","5.350","5.505","23.890","14.652","25.132","26.009","0.502","9.708","1.337","2.493","168.870","129.190"
"10","P","Ricky Taylor","1","1:55.782","1:55.782","Green","Track","5.384","5.467","24.150","14.709","24.988","25.743","0.502","10.104","1.339","2.502","168.870","128.997"
"22","P","Brendon Hartley","1","1:56.425","1:56.425","Green","Track","5.385","5.681","24.316","14.613","25.343","25.888","0.500","9.926","1.330","2.486","169.545","129.870"
"85","P","Stephen Simpson","1","1:57.498","1:57.498","Green","Track","5.411","5.849","24.229","14.707","25.514","25.974","0.493","10.324","1.370","2.520","171.953","126.078"
"55","P","Jonathan Bomarito","1","1:57.830","1:57.830","Green","Track","5.443","5.832","24.530","14.954","25.388","25.695","0.501","10.396","1.351","2.512","169.207","127.851"
"90","P","Renger Van Der Zande","1","1:58.318","1:58.318","Green","Track","5.465","5.776","24.720","15.202","25.505","25.842","0.509","9.977","1.382","2.560","166.548","124.984"
"2","P","Luis Felipe Derani","1","1:59.042","1:59.042","Green","Track","5.407","5.881","24.650","14.934","25.504","25.464","0.487","10.257","1.325","2.454","174.071","130.360"
"70","P","Joel Miller","1","1:59.601","1:59.601","Green","Track","5.486","5.867","24.851","15.047","25.884","25.991","0.501","10.574","1.364","2.515","169.207","126.633"
"26","PC","Gustavo Yacaman","1","2:01.475","2:01.475","Green","Track","5.465","5.894","25.101","15.071","26.327","26.729","0.521","10.381","1.392","2.612","162.712","124.086"
"38","PC","James French","1","2:01.915","2:01.915","Green","Track","5.658","5.904","25.234","15.541","26.392","26.577","0.516","10.231","1.367","2.566","164.288","126.355"
"8","PC","Garett Grist","1","2:03.501","2:03.501","Green","Track","5.568","6.145","25.313","15.576","26.616","26.918","0.521","10.405","1.395","2.606","162.712","123.819"
"20","PC","Buddy Rice","1","2:04.639","2:04.639","Green","Track","5.818","6.075","25.251","15.402","27.044","27.233","0.529","10.542","1.397","2.615","160.251","123.642"
"66","GTLM","Dirk Mueller","1","2:06.282","2:06.282","Green","Track","5.751","5.678","24.635","15.289","26.605","27.626","0.539","10.573","1.442","2.715","157.278","119.783"
"912","GTLM","Kevin Estre","1","2:06.560","2:06.560","Green","Track","5.733","5.856","24.603","15.294","26.517","27.702","0.535","10.602","1.443","2.690","158.454","119.700"
"3","GTLM","Antonio Garcia","1","2:06.721","2:06.721","Green","Track","5.758","5.868","24.808","15.354","26.722","27.319","0.530","10.565","1.424","2.668","159.949","121.297"
"68","GTLM","Stefan Mucke","1","2:07.462","2:07.462","Green","Track","5.780","5.881","24.975","15.280","26.717","27.502","0.539","10.613","1.432","2.681","157.278","120.620"
"911","GTLM","Dirk Werner","1","2:08.156","2:08.156","Green","Track","5.711","6.005","25.064","15.448","26.817","27.415","0.535","10.703","1.459","2.717","158.454","118.387"
"24","GTLM","Nicky Catsburg","1","2:08.713","2:08.713","Green","Track","5.690","5.948","25.374","15.571","27.120","27.370","0.533","10.557","1.435","2.680","159.048","120.367"
"62","GTLM","Giancarlo Fisichella","1","2:09.084","2:09.084","Green","Track","5.852","5.928","25.219","15.650","27.265","27.363","0.532","10.566","1.438","2.698","159.347","120.116"
"25","GTLM","Alexander Sims","1","2:09.574","2:09.574","Green","Track","5.774","5.899","25.248","15.676","27.023","27.466","0.529","10.742","1.442","2.695","160.251","119.783"
"29","GTD","Connor De Phillippi","1","2:11.761","2:11.761","Green","Track","5.891","6.062","25.506","15.822","27.350","28.253","0.541","10.833","1.483","2.761","156.696","116.472"
"16","GTD","Corey Lewis","1","2:12.450","2:12.450","Green","Track","5.875","6.229","25.633","15.635","27.353","28.483","0.545","10.928","1.486","2.762","155.546","116.236"
"14","GTD","Scott Pruett","1","2:13.688","2:13.688","Green","Track","5.788","6.366","25.892","16.150","27.430","28.553","0.540","11.103","1.474","2.737","156.987","117.183"
"57","GTD","Andrew Davis","1","2:13.976","2:13.976","Green","Track","5.900","6.268","25.961","15.881","27.562","28.291","0.543","11.099","1.487","2.766","156.119","116.158"
"15","GTD","Robert Alon","1","2:14.899","2:14.899","Green","Track","5.779","6.427","26.643","15.979","27.732","28.505","0.537","11.017","1.488","2.752","157.864","116.080"
"11","GTD","Mirko Bortolotti","1","2:15.477","2:15.477","Green","Track","5.760","6.432","26.549","16.209","27.651","28.337","0.527","11.104","1.498","2.757","160.859","115.305"
"33","GTD","Ben Keating","1","2:15.739","2:15.739","Green","Track","5.788","6.297","26.630","16.064","27.658","28.601","0.000","0.000","1.485","2.747","0.000","116.315"
"63","GTD","Christina Nielsen","1","2:16.314","2:16.314","Green","Track","5.803","6.484","26.683","16.298","27.916","28.431","0.536","11.126","1.474","2.734","158.158","117.183"
"50","GTD","Cooper MacNeil","1","2:17.060","2:17.060","Green","Track","5.973","6.634","26.716","16.450","27.976","28.403","0.539","11.407","1.491","2.768","157.278","115.847"
"73","GTD","Patrick Lindsey","1","2:17.383","2:17.383","Green","Track","5.796","6.408","26.642","16.517","27.961","28.615","0.537","11.119","1.497","2.766","157.864","115.382"
"48","GTD","Madison Snow","1","2:17.612","2:17.612","Green","Track","5.809","6.366","26.679","16.191","27.903","28.562","0.534","11.195","1.492","2.756","158.750","115.769"
"28","GTD","Daniel Morad","1","2:18.100","2:18.100","Green","Track","5.835","6.622","27.138","16.814","28.109","28.586","0.536","11.164","1.503","2.760","158.158","114.922"
"4","GTLM","Tommy Milner","1","2:18.158","2:18.158","Green","Track","5.685","5.915","26.750","16.372","28.022","27.961","0.545","11.021","1.463","2.710","155.546","118.064"
"93","GTD","Mark Wilkins","1","2:18.640","2:18.640","Green","Track","5.954","6.546","27.554","16.384","28.282","28.390","0.539","11.535","1.490","2.764","157.278","115.924"
"23","GTD","Townsend Bell","1","2:19.451","2:19.451","Green","Track","5.787","6.373","27.743","16.524","28.169","29.095","0.543","11.111","1.539","2.826","156.119","112.233"
"86","GTD","Oswaldo Negri Jr.","1","2:20.230","2:20.230","Green","Track","5.875","6.551","27.451","16.586","28.898","28.796","0.542","11.420","1.484","2.764","156.407","116.393"
"96","GTD","Justin Marks","1","2:20.544","2:20.544","Green","Track","5.793","6.697","27.631","16.723","28.554","28.725","0.531","11.660","1.485","2.736","159.647","116.315"
"46","GTD","Emmanuel Collard","1","2:20.833","2:20.833","Green","Track","5.806","6.612","27.362","16.654","28.681","28.913","0.537","11.342","1.486","2.757","157.864","116.236"
"18","GTD","Brandon Gdovic","1","2:21.274","2:21.274","Green","Track","5.840","6.430","27.610","16.864","28.380","28.893","0.537","11.392","1.498","2.769","157.864","115.305"
"54","GTD","Jonathan Bennett","1","2:23.091","2:23.091","Green","Track","6.018","6.341","26.256","16.405","28.797","29.038","0.561","11.700","1.518","2.785","151.110","113.786"
"27","GTD","Paolo Ruberti","1","2:32.159","2:32.159","Green","Pit","5.962","6.347","27.382","16.764","28.555","28.740","0.548","12.157","4.267","9.852","154.695","40.480"
"67","GTLM","Ryan Briscoe","1","2:37.100","2:37.100","Green","Pit","0.000","9.776","26.699","15.737","27.426","27.713","0.545","11.228","3.728","9.574","155.546","46.332"
"75","GTD","Tristan Vautier","1","2:40.131","2:40.131","Green","Pit","0.000","10.383","26.737","15.639","27.836","29.032","0.546","12.160","4.501","9.473","155.261","38.375"
"13","P","Neel Jani","2","1:50.964","3:43.242","Green","Track","5.186","4.895","22.584","14.337","24.856","25.181","0.493","9.613","1.338","2.481","171.953","129.094"
"5","P","Christian Fittipaldi","2","1:50.999","3:43.825","Green","Track","5.228","4.930","22.657","14.262","24.511","25.429","0.501","9.689","1.315","2.477","169.207","131.352"
"31","P","Dane Cameron","2","1:51.161","3:44.668","Green","Track","5.268","4.924","22.744","14.250","24.722","25.365","0.505","9.595","1.312","2.476","167.867","131.652"
"52","P","Jose Gutierrez","2","1:51.631","3:46.858","Green","Track","5.195","4.962","22.825","14.508","24.723","25.506","0.498","9.603","1.333","2.478","170.226","129.578"
"10","P","Ricky Taylor","2","1:52.080","3:47.862","Green","Track","5.268","5.090","22.805","14.314","24.637","25.675","0.502","9.962","1.334","2.493","168.870","129.481"
"22","P","Brendon Hartley","2","1:52.289","3:48.714","Green","Track","5.246","5.120","23.118","14.222","24.751","25.639","0.498","9.861","1.341","2.493","170.226","128.805"
"85","P","Stephen Simpson","2","1:52.825","3:50.323","Green","Track","5.277","5.460","22.994","14.242","25.076","25.471","0.492","9.984","1.341","2.488","172.302","128.805"
"90","P","Renger Van Der Zande","2","1:53.759","3:52.077","Green","Track","5.335","5.249","23.373","14.636","25.420","25.581","0.511","9.777","1.350","2.527","165.896","127.946"
"70","P","Joel Miller","2","1:54.000","3:53.601","Green","Track","5.414","5.584","23.338","14.421","25.290","25.581","0.500","10.046","1.336","2.490","169.545","129.287"
"2","P","Luis Felipe Derani","2","1:55.063","3:54.105","Green","Track","5.906","5.984","23.530","14.345","25.188","25.771","0.496","10.008","1.343","2.492","170.913","128.613"
"26","PC","Gustavo Yacaman","2","1:57.264","3:58.739","Green","Track","5.505","5.489","24.156","14.669","25.646","27.053","0.524","10.261","1.372","2.589","161.780","125.895"
