"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"66","GTLM","Joey Hand","1","1:46.687","1:46.687","Green","Track","22.788","16.810","12.828","15.095","10.895","0.499","22.217","5.334","0.220","163.964"
"24","GTLM","John Edwards","1","1:47.108","1:47.108","Green","Track","22.881","16.882","12.735","15.408","10.932","0.501","22.083","5.296","0.218","163.310"
"4","GTLM","Tommy Milner","1","1:47.638","1:47.638","Green","Track","22.918","16.916","12.683","15.490","10.811","0.490","22.481","5.305","0.216","166.976"
"3","GTLM","Jan Magnussen","1","1:47.978","1:47.978","Green","Track","23.309","16.791","12.828","15.400","10.824","0.492","22.506","5.288","0.216","166.297"
"67","GTLM","Richard Westbrook","1","1:48.509","1:48.509","Green","Track","23.421","16.772","12.913","15.481","10.886","0.499","22.472","5.323","0.213","163.964"
"62","GTLM","Giancarlo Fisichella","1","1:48.774","1:48.774","Green","Track","24.310","16.549","13.068","15.307","10.842","0.492","22.485","5.320","0.216","166.297"
"911","GTLM","Dirk Werner","1","1:49.916","1:49.916","Green","Track","23.585","16.753","13.516","15.644","11.128","0.508","22.509","5.412","0.222","161.059"
"912","GTLM","Laurens Vanthoor","1","1:50.417","1:50.417","Green","Track","24.304","16.973","13.195","15.828","10.990","0.497","22.497","5.399","0.225","164.624"
"16","GTD","Jeroen Mul","1","1:50.458","1:50.458","Green","Track","24.056","16.905","13.143","15.867","11.030","0.496","22.591","5.461","0.225","164.956"
"33","GTD","Jeroen Bleekemolen","1","1:51.320","1:51.320","Green","Track","24.246","16.908","13.065","15.724","11.131","0.507","22.903","5.459","0.225","161.377"
"96","GTD","Jesse Krohn","1","1:51.512","1:51.512","Green","Track","24.817","16.966","13.122","15.577","10.966","0.503","23.024","5.395","0.221","162.660"
"14","GTD","Sage Karam","1","1:52.306","1:52.306","Green","Track","24.594","17.301","13.116","15.799","11.241","0.511","22.854","5.453","0.225","160.114"
"57","GTD","Andrew Davis","1","1:52.651","1:52.651","Green","Track","25.132","17.514","12.947","15.760","11.093","0.505","23.116","5.428","0.221","162.016"
"63","GTD","Christina Nielsen","1","1:53.157","1:53.157","Green","Track","24.509","17.575","13.142","15.693","11.113","0.507","23.097","5.426","0.220","161.377"
"48","GTD","Madison Snow","1","1:53.430","1:53.430","Green","Track","24.819","18.042","13.258","15.723","11.088","0.502","23.090","5.427","0.221","162.984"
"73","GTD","Patrick Lindsey","1","1:53.994","1:53.994","Green","Track","24.458","17.735","13.326","15.961","11.120","0.506","23.032","5.481","0.222","161.696"
"86","GTD","Oswaldo Negri Jr.","1","1:54.631","1:54.631","Green","Track","24.581","17.766","13.599","16.033","11.147","0.512","23.017","5.452","0.221","159.801"
"54","GTD","Jonathan Bennett","1","1:56.069","1:56.069","Green","Track","24.919","17.752","13.508","16.173","11.153","0.506","23.810","5.499","0.224","161.696"
"93","GTD","Katherine Legge","1","1:56.273","1:56.273","Green","Track","26.805","17.482","13.749","15.975","11.033","0.498","23.646","5.459","0.222","164.294"
"80","GTD","Dan Knox","1","1:57.081","1:57.081","Green","Track","25.007","17.594","13.683","16.102","11.339","0.522","24.105","5.577","0.228","156.740"
"50","GTD","Cooper MacNeil","1","1:57.435","1:57.435","Green","Track","28.018","17.257","13.403","16.000","11.132","0.507","23.283","5.438","0.222","161.377"
"75","GTD","Kenny Habul","1","1:59.595","1:59.595","Green","Track","28.867","16.914","13.649","15.795","11.416","0.523","23.508","5.697","0.232","156.440"
"15","GTD","Jack Hawksworth","1","2:08.235","2:08.235","Green","Track","42.344","16.269","12.769","15.632","11.209","0.514","22.633","5.487","0.225","159.179"
"28","GTD","Daniel Morad","1","2:09.926","2:09.926","Green","Track","44.037","16.387","12.609","15.410","11.142","0.507","22.781","5.482","0.223","161.377"
"25","GTLM","Alexander Sims","2","1:42.510","3:27.652","Green","Track","21.259","15.257","12.215","14.864","10.943","0.503","21.880","5.367","0.222","162.660"
"66","GTLM","Joey Hand","2","1:43.475","3:30.186","Green","Track","21.578","15.534","12.346","15.051","10.956","0.503","21.954","5.332","0.221","162.660"
"24","GTLM","John Edwards","2","1:43.401","3:30.533","Green","Track","21.611","15.511","12.279","15.068","10.938","0.502","21.965","5.308","0.219","162.984"
"4","GTLM","Tommy Milner","2","1:43.257","3:30.919","Green","Track","21.607","15.562","12.246","15.022","10.869","0.495","21.950","5.290","0.216","165.289"
"3","GTLM","Jan Magnussen","2","1:43.770","3:31.772","Green","Track","21.711","15.717","12.260","15.083","10.867","0.495","22.099","5.320","0.218","165.289"
"67","GTLM","Richard Westbrook","2","1:44.681","3:33.214","Green","Track","21.818","16.484","12.403","14.988","10.969","0.502","21.972","5.327","0.218","162.984"
"62","GTLM","Giancarlo Fisichella","2","1:45.063","3:33.861","Green","Track","21.711","16.673","12.602","15.166","11.003","0.500","21.844","5.345","0.219","163.636"
"912","GTLM","Laurens Vanthoor","2","1:44.485","3:34.926","Green","Track","21.743","15.562","12.573","15.272","10.870","0.492","22.341","5.411","0.221","166.297"
"911","GTLM","Dirk Werner","2","1:45.218","3:35.158","Green","Track","21.753","15.862","12.482","15.388","10.994","0.502","22.655","5.363","0.219","162.984"
"16","GTD","Jeroen Mul","2","1:46.090","3:36.572","Green","Track","22.294","16.032","12.736","15.232","11.127","0.509","22.477","5.459","0.224","160.743"
"33","GTD","Jeroen Bleekemolen","2","1:46.269","3:37.613","Green","Track","21.912","16.132","12.700","15.410","11.188","0.511","22.687","5.504","0.225","160.114"
"96","GTD","Jesse Krohn","2","1:46.244","3:37.780","Green","Track","21.991","16.114","12.680","15.458","11.018","0.502","22.825","5.432","0.224","162.984"
"14","GTD","Sage Karam","2","1:46.808","3:39.138","Green","Track","21.919","16.240","12.656","15.646","11.223","0.513","22.942","5.445","0.224","159.490"
"57","GTD","Andrew Davis","2","1:46.788","3:39.463","Green","Track","21.976","16.144","12.694","15.585","11.105","0.505","23.122","5.435","0.222","162.016"
"48","GTD","Madison Snow","2","1:46.740","3:40.194","Green","Track","22.432","16.314","12.812","15.259","11.200","0.513","22.528","5.459","0.223","159.490"
"63","GTD","Christina Nielsen","2","1:48.321","3:41.502","Green","Track","22.631","16.749","13.005","15.667","11.149","0.508","22.916","5.472","0.224","161.059"
"73","GTD","Patrick Lindsey","2","1:47.808","3:41.826","Green","Track","22.259","16.496","13.020","15.756","11.080","0.504","23.012","5.459","0.222","162.338"
"86","GTD","Oswaldo Negri Jr.","2","1:47.724","3:42.379","Green","Track","22.264","16.439","12.941","15.897","11.188","0.508","22.804","5.461","0.222","161.059"
"93","GTD","Katherine Legge","2","1:46.745","3:43.042","Green","Track","22.304","16.362","12.707","15.431","11.153","0.510","22.618","5.437","0.223","160.428"
"54","GTD","Jonathan Bennett","2","1:49.557","3:45.650","Green","Track","22.888","16.469","13.114","15.899","11.192","0.511","23.718","5.540","0.226","160.114"
"80","GTD","Dan Knox","2","1:49.164","3:46.269","Green","Track","22.533","16.590","13.037","15.901","11.413","0.523","23.366","5.572","0.229","156.440"
"50","GTD","Cooper MacNeil","2","1:48.926","3:46.385","Green","Track","22.517","16.478","13.258","15.914","11.108","0.503","23.477","5.449","0.222","162.660"
"75","GTD","Kenny Habul","2","1:49.023","3:48.642","Green","Track","22.724","16.748","13.103","15.646","11.422","0.524","23.053","5.574","0.229","156.142"
"15","GTD","Jack Hawksworth","2","1:45.864","3:54.123","Green","Track","22.092","15.997","12.550","15.355","11.195","0.513","22.469","5.469","0.224","159.490"
"28","GTD","Daniel Morad","2","1:45.682","3:55.632","Green","Track","21.789","15.919","12.571","15.551","11.127","0.506","22.557","5.440","0.222","161.696"
"25","GTLM","Alexander Sims","3","1:42.064","5:09.716","Green","Track","21.063","15.327","12.221","14.790","10.936","0.504","21.634","5.367","0.222","162.338"
"66","GTLM","Joey Hand","3","1:42.753","5:12.939","Green","Track","21.348","15.440","12.255","14.891","10.914","0.502","21.849","5.335","0.219","162.984"
"24","GTLM","John Edwards","3","1:43.159","5:13.692","Green","Track","21.492","15.574","12.210","15.012","10.958","0.503","21.850","5.340","0.220","162.660"
"4","GTLM","Tommy Milner","3","1:43.052","5:13.971","Green","Track","21.521","15.427","12.243","15.047","10.797","0.489","22.035","5.276","0.217","167.317"
"3","GTLM","Jan Magnussen","3","1:42.620","5:14.392","Green","Track","21.202","15.462","12.158","14.932","10.802","0.493","22.069","5.285","0.217","165.960"
"67","GTLM","Richard Westbrook","3","1:42.594","5:15.808","Green","Track","21.210","15.404","12.251","14.922","10.917","0.497","21.863","5.312","0.218","164.624"
"62","GTLM","Giancarlo Fisichella","3","1:42.610","5:16.471","Green","Track","21.040","15.309","12.293","14.951","10.921","0.498","22.053","5.327","0.218","164.294"
"912","GTLM","Laurens Vanthoor","3","1:42.868","5:17.794","Green","Track","21.200","15.279","12.357","15.021","11.099","0.507","21.843","5.343","0.219","161.377"
