"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"2","P","Luis Felipe Derani","1","1:37.146","1:37.146","Green","Track","3.315","8.565","11.338","3.570","0.461","12.573","19.626","29.498","5.126","3.073","178.219"
"52","P","Olivier Pla","1","1:38.719","1:38.719","Green","Track","3.389","9.017","11.568","3.605","0.464","12.664","19.937","29.674","5.164","3.062","177.067"
"5","P","Christian Fittipaldi","1","1:39.811","1:39.811","Green","Track","3.324","9.171","11.618","3.610","0.466","13.144","20.076","29.672","5.268","3.103","176.307"
"31","P","Eric Curran","1","1:40.515","1:40.515","Green","Track","3.373","9.120","11.629","3.600","0.465","13.237","20.171","29.792","5.322","3.128","176.686"
"85","P","Misha Goikhberg","1","1:41.552","1:41.552","Green","Track","3.287","9.273","11.757","3.624","0.473","13.453","20.315","30.083","5.307","3.086","173.698"
"22","P","Johannes van Overbeek","1","1:42.751","1:42.751","Green","Track","3.440","9.367","11.757","3.656","0.539","13.795","20.794","30.175","5.335","3.109","152.429"
"55","P","Tristan Nunez","1","1:43.377","1:43.377","Green","Track","3.422","9.277","11.657","3.581","0.513","14.013","20.734","30.359","5.536","3.188","160.154"
"90","P","Renger Van Der Zande","1","1:45.087","1:45.087","Green","Track","3.506","9.406","13.586","3.959","0.498","13.398","20.309","30.191","5.828","3.222","164.978"
"26","PC","Gustavo Yacaman","1","1:52.018","1:52.018","Green","Track","3.421","9.279","16.289","4.584","0.561","14.422","21.829","31.112","5.571","3.275","146.451"
"38","PC","James French","1","1:52.857","1:52.857","Green","Track","3.489","9.602","16.318","4.502","0.556","14.382","22.257","31.481","5.542","3.224","147.768"
"20","PC","Don Yount","1","1:52.793","1:52.793","Green","Track","3.576","9.724","15.192","4.287","0.539","14.384","21.824","32.424","5.775","3.269","152.429"
"25","GTLM","Alexander Sims","1","1:53.576","1:53.576","Green","Track","3.325","9.171","12.954","4.150","0.522","14.553","22.106","31.508","5.665","3.317","157.393"
"24","GTLM","Martin Tomczyk","1","1:54.460","1:54.460","Green","Track","3.329","9.278","13.002","4.203","0.532","14.632","22.114","31.929","5.736","3.315","154.434"
"67","GTLM","Richard Westbrook","1","1:54.927","1:54.927","Green","Track","3.395","9.252","13.037","4.218","0.560","14.721","22.122","32.089","5.683","3.354","146.713"
"66","GTLM","Joey Hand","1","1:55.297","1:55.297","Green","Track","3.446","9.594","12.994","4.200","0.592","15.054","21.863","32.193","5.685","3.341","138.782"
"911","GTLM","Patrick Pilet","1","1:55.771","1:55.771","Green","Track","3.440","9.661","12.839","4.052","0.575","15.171","21.869","32.228","5.776","3.367","142.885"
"4","GTLM","Tommy Milner","1","1:56.050","1:56.050","Green","Track","3.400","9.350","13.176","4.138","0.565","15.380","21.909","32.145","5.805","3.365","145.414"
"912","GTLM","Laurens Vanthoor","1","1:56.271","1:56.271","Green","Track","3.471","9.591","12.903","4.015","0.561","15.570","22.034","32.044","5.750","3.344","146.451"
"3","GTLM","Antonio Garcia","1","1:56.902","1:56.902","Green","Track","3.438","9.524","13.626","4.183","0.530","14.647","22.139","32.148","5.891","3.408","155.017"
"93","GTD","Andy Lally","1","1:57.782","1:57.782","Green","Track","3.443","9.436","13.999","4.225","0.530","14.664","22.099","32.452","5.975","3.433","155.017"
"70","P","Joel Miller","1","1:58.284","1:58.284","Green","Pit","3.304","9.444","11.939","3.606","0.531","14.146","20.928","30.554","6.709","16.014","154.725"
"57","GTD","Lawson Aschenbach","1","1:58.470","1:58.470","Green","Track","3.395","9.839","13.893","4.227","0.533","14.634","22.126","32.747","5.948","3.464","154.145"
"15","GTD","Jack Hawksworth","1","1:59.056","1:59.056","Green","Track","3.431","9.703","13.734","4.372","0.558","15.295","22.320","32.583","0.000","0.000","147.239"
"86","GTD","Jeff Segal","1","2:00.385","2:00.385","Green","Track","3.451","9.800","14.163","4.297","0.572","15.875","22.357","32.746","5.916","3.439","143.635"
"48","GTD","Madison Snow","1","2:01.460","2:01.460","Green","Track","3.472","9.766","14.552","4.280","0.534","15.753","22.337","32.980","5.910","3.464","153.856"
"16","GTD","Corey Lewis","1","2:02.168","2:02.168","Green","Track","3.508","10.096","14.046","4.307","0.547","15.998","22.521","33.217","5.956","3.440","150.199"
"96","GTD","Justin Marks","1","2:02.519","2:02.519","Green","Track","3.526","9.847","14.620","4.306","0.538","15.596","22.442","34.206","6.034","3.431","152.712"
"27","GTD","Paolo Ruberti","1","2:02.955","2:02.955","Green","Track","3.488","9.967","14.510","4.290","0.568","16.160","22.688","33.447","5.987","3.447","144.646"
"63","GTD","Christina Nielsen","1","2:03.343","2:03.343","Green","Track","3.436","10.194","14.466","4.248","0.541","16.072","22.733","33.469","6.032","3.428","151.865"
"33","GTD","Ben Keating","1","2:03.895","2:03.895","Green","Track","3.427","10.018","14.509","4.473","0.564","16.593","22.733","33.305","6.099","3.461","145.672"
"10","P","Ricky Taylor","1","2:04.005","2:04.005","Green","Pit","3.340","9.427","19.393","5.301","0.735","28.075","0.000","0.000","10.696","15.995","111.781"
"23","GTD","Townsend Bell","1","2:04.247","2:04.247","Green","Track","3.446","9.710","14.660","4.350","0.544","15.988","22.809","33.166","6.055","3.496","151.028"
"75","GTD","Boris Said","1","2:04.930","2:04.930","Green","Track","3.462","9.947","14.332","4.651","0.572","16.284","23.149","33.759","6.062","3.481","143.635"
"14","GTD","Sage Karam","1","2:05.100","2:05.100","Green","Track","3.460","9.923","14.946","4.394","0.541","16.123","23.063","33.599","6.082","3.439","151.865"
"73","GTD","Matthew McMurry","1","2:05.555","2:05.555","Green","Track","3.522","10.028","15.284","4.396","0.551","15.962","23.038","33.798","6.080","3.485","149.109"
"28","GTD","Michael de Quesada","1","2:06.362","2:06.362","Green","Track","3.538","10.243","15.313","4.412","0.554","16.042","22.924","33.927","6.156","3.519","148.302"
"50","GTD","Cooper MacNeil","1","2:07.075","2:07.075","Green","Track","3.431","10.253","15.713","4.410","0.553","16.649","23.228","33.760","6.134","3.482","148.570"
"54","GTD","Jonathan Bennett","1","2:07.564","2:07.564","Green","Track","3.492","9.730","15.190","4.372","0.555","16.789","23.499","33.630","6.145","3.507","148.034"
"2","P","Luis Felipe Derani","2","1:35.373","3:12.519","Green","Track","2.966","8.013","11.268","3.558","0.460","12.406","19.579","29.037","5.037","3.049","178.607"
"52","P","Olivier Pla","2","1:35.679","3:14.398","Green","Track","2.980","8.022","11.320","3.576","0.463","12.364","19.644","29.162","5.101","3.047","177.449"
"5","P","Christian Fittipaldi","2","1:36.687","3:16.498","Green","Track","3.003","8.153","11.430","3.584","0.462","12.584","19.832","29.318","5.231","3.090","177.834"
"31","P","Eric Curran","2","1:37.119","3:17.634","Green","Track","3.024","8.247","11.405","3.565","0.460","12.668","19.909","29.582","5.177","3.082","178.607"
"85","P","Misha Goikhberg","2","1:37.122","3:18.674","Green","Track","2.978","8.181","11.315","3.551","0.457","12.535","20.046","29.819","5.171","3.069","179.779"
"22","P","Johannes van Overbeek","2","1:37.512","3:20.263","Green","Track","3.034","8.226","11.383","3.619","0.465","12.731","20.213","29.557","5.207","3.077","176.686"
"55","P","Tristan Nunez","2","1:37.703","3:21.080","Green","Track","3.044","8.354","11.287","3.545","0.457","12.864","20.052","29.694","5.331","3.075","179.779"
"90","P","Renger Van Der Zande","2","1:37.515","3:22.602","Green","Track","3.091","8.236","11.511","3.632","0.474","12.701","19.915","29.439","5.370","3.146","173.331"
"26","PC","Gustavo Yacaman","2","1:42.207","3:34.225","Green","Track","3.174","8.470","12.169","3.834","0.497","13.453","20.998","30.749","5.596","3.267","165.310"
"38","PC","James French","2","1:42.076","3:34.933","Green","Track","3.176","8.759","11.985","3.803","0.492","13.514","20.799","30.880","5.465","3.203","166.990"
"20","PC","Don Yount","2","1:44.168","3:36.961","Green","Track","3.171","9.210","11.994","3.787","0.497","13.863","21.453","31.394","5.570","3.229","165.310"
"25","GTLM","Alexander Sims","2","1:44.011","3:37.587","Green","Track","3.218","8.644","12.176","3.835","0.497","13.927","21.369","31.383","5.657","3.305","165.310"
"24","GTLM","Martin Tomczyk","2","1:43.813","3:38.273","Green","Track","3.224","8.648","12.125","3.817","0.494","13.696","21.399","31.475","5.642","3.293","166.314"
"67","GTLM","Richard Westbrook","2","1:44.369","3:39.296","Green","Track","3.261","8.681","12.313","3.848","0.495","13.779","21.374","31.626","5.644","3.348","165.978"
"66","GTLM","Joey Hand","2","1:44.327","3:39.624","Green","Track","3.251","8.601","12.178","3.783","0.505","14.066","21.283","31.687","5.632","3.341","162.691"
"911","GTLM","Patrick Pilet","2","1:44.501","3:40.272","Green","Track","3.265","8.678","12.246","3.814","0.492","13.778","21.392","31.646","5.810","3.380","166.990"
"4","GTLM","Tommy Milner","2","1:45.224","3:41.274","Green","Track","3.258","8.681","12.199","3.814","0.491","13.942","21.632","32.174","5.684","3.349","167.330"
"912","GTLM","Laurens Vanthoor","2","1:45.366","3:41.637","Green","Track","3.286","8.724","12.098","3.760","0.492","13.895","21.840","32.275","5.666","3.330","166.990"
"3","GTLM","Antonio Garcia","2","1:45.000","3:41.902","Green","Track","3.283","8.690","12.251","3.828","0.493","13.603","21.494","32.317","5.716","3.325","166.651"
"93","GTD","Andy Lally","2","1:46.753","3:44.535","Green","Track","3.287","9.092","12.621","3.910","0.502","13.976","21.859","32.277","5.824","3.405","163.664"
"57","GTD","Lawson Aschenbach","2","1:46.825","3:45.295","Green","Track","3.317","8.895","12.614","3.923","0.506","13.889","21.908","32.443","5.885","3.445","162.370"
"15","GTD","Jack Hawksworth","2","1:47.037","3:46.093","Green","Track","3.274","8.946","12.495","3.884","0.502","14.186","22.052","32.456","5.824","3.418","163.664"
"86","GTD","Jeff Segal","2","1:47.294","3:47.679","Green","Track","3.301","8.974","12.566","3.918","0.505","14.144","22.081","32.495","5.892","3.418","162.691"
"48","GTD","Madison Snow","2","1:47.502","3:48.962","Green","Track","3.315","8.981","12.665","3.955","0.508","14.186","22.032","32.489","5.924","3.447","161.730"
"16","GTD","Corey Lewis","2","1:47.687","3:49.855","Green","Track","3.286","8.927","12.532","3.880","0.496","14.412","22.102","32.641","5.969","3.442","165.643"
"96","GTD","Justin Marks","2","1:47.767","3:50.286","Green","Track","3.299","9.016","12.556","3.916","0.504","14.375","22.232","32.506","5.961","3.402","163.014"
"27","GTD","Paolo Ruberti","2","1:47.967","3:50.922","Green","Track","3.308","9.079","12.606","3.891","0.501","14.308","22.212","32.605","5.999","3.458","163.990"
"63","GTD","Christina Nielsen","2","1:48.554","3:51.897","Green","Track","3.289","8.934","12.642","3.910","0.501","14.477","22.417","32.889","6.028","3.467","163.990"
"70","P","Joel Miller","2","1:54.505","3:52.789","Green","Track","14.639","8.778","11.446","3.606","0.529","14.160","21.194","31.018","5.978","3.157","155.310"
"33","GTD","Ben Keating","2","1:49.783","3:53.678","Green","Track","3.327","9.007","12.637","3.937","0.508","14.766","22.495","32.979","6.617","3.510","161.730"
"23","GTD","Townsend Bell","2","1:49.626","3:53.873","Green","Track","3.339","8.950","12.695","3.916","0.502","14.743","22.511","33.361","6.127","3.482","163.664"
"14","GTD","Sage Karam","2","1:48.916","3:54.016","Green","Track","3.285","9.298","12.632","3.920","0.506","14.159","22.380","33.307","6.012","3.417","162.370"
"73","GTD","Matthew McMurry","2","1:49.541","3:55.096","Green","Track","3.384","9.393","12.777","3.944","0.507","14.556","22.427","33.085","5.981","3.487","162.049"
"75","GTD","Boris Said","2","1:51.056","3:55.986","Green","Track","3.352","10.060","13.276","4.013","0.515","14.388","22.734","33.114","6.112","3.492","159.532"
"28","GTD","Michael de Quesada","2","1:50.796","3:57.158","Green","Track","3.389","9.240","12.986","3.979","0.522","14.785","22.967","33.381","6.064","3.483","157.393"
"50","GTD","Cooper MacNeil","2","1:50.846","3:57.921","Green","Track","3.360","9.224","12.754","3.960","0.528","15.330","22.773","33.335","6.110","3.472","155.604"
"54","GTD","Jonathan Bennett","2","1:51.192","3:58.756","Green","Track","3.371","9.306","12.671","3.925","0.539","15.431","23.040","33.277","6.126","3.506","152.429"
"2","P","Luis Felipe Derani","3","1:35.276","4:47.795","Green","Track","2.953","7.971","11.283","3.560","0.460","12.177","19.582","29.217","5.030","3.043","178.607"
"52","P","Olivier Pla","3","1:35.459","4:49.857","Green","Track","2.962","7.976","11.347","3.571","0.461","12.222","19.634","29.207","5.045","3.034","178.219"
"5","P","Christian Fittipaldi","3","1:36.546","4:53.044","Green","Track","2.993","8.124","11.419","3.586","0.461","12.601","19.824","29.301","5.162","3.075","178.219"
"31","P","Eric Curran","3","1:36.676","4:54.310","Green","Track","2.995","8.180","11.373","3.566","0.460","12.637","19.914","29.310","5.164","3.077","178.607"
"85","P","Misha Goikhberg","3","1:37.146","4:55.820","Green","Track","2.959","8.119","11.289","3.534","0.456","12.459","20.124","29.820","5.284","3.102","180.173"
"22","P","Johannes van Overbeek","3","1:36.856","4:57.119","Green","Track","2.983","8.131","11.404","3.613","0.468","12.553","20.131","29.367","5.137","3.069","175.554"
"55","P","Tristan Nunez","3","1:37.564","4:58.644","Green","Track","2.992","8.353","11.372","3.563","0.460","12.685","20.065","29.647","5.331","3.096","178.607"
"90","P","Renger Van Der Zande","3","1:37.292","4:59.894","Green","Track","3.037","8.081","11.449","3.625","0.467","12.635","20.104","29.500","5.262","3.132","175.930"
"26","PC","Gustavo Yacaman","3","1:41.058","5:15.283","Green","Track","3.170","8.303","12.087","3.838","0.497","13.137","20.633","30.614","5.533","3.246","165.310"
